resolution,isReIntervention,timeIntervalUntilReIntervention,timestamp,app,interventionType,interventionDuration,timezone,purpose
openedApp,True,660.0,1752268866.683469,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752269366.063767,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1752273783.1078482,tradeRepublic,breathingExercise,6.0,Europe/Berlin,
openedApp,False,600.0,1752338113.830816,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752338725.1407552,youtube,,,Europe/Berlin,
openedApp,True,900.0,1752338763.0964751,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752339336.090186,youtube,,,Europe/Berlin,
openedApp,False,,1752344572.028408,tradeRepublic,breathingExercise,6.0,Europe/Berlin,Infos suchen
openedApp,False,300.0,1752344983.3415499,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752345006.830594,icecubes,,,Europe/Berlin,
closedApp,False,,1752345093.516829,icecubes,,,Europe/Berlin,
closedApp,False,,1752345419.3278399,icecubes,,,Europe/Berlin,
closedApp,False,,1752346068.931752,icecubes,,,Europe/Berlin,
openedApp,False,1200.0,1752347252.594105,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1752348097.8914351,youtube,,,Europe/Berlin,
openedApp,False,240.0,1752348175.573083,linkedin,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1752348419.797974,linkedin,,,Europe/Berlin,
openedApp,False,1800.0,1752349714.654527,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
dismissedAppOpening,False,,1752350021.545775,youtube,breathingExercise,6.0,Europe/Berlin,
closedApp,False,,1752349841.08511,youtube,,,Europe/Berlin,
openedApp,False,1800.0,1752350272.098309,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752350416.035491,youtube,,,Europe/Berlin,
closedApp,False,,1752350685.169244,youtube,,,Europe/Berlin,
closedApp,False,,1752350767.4059238,youtube,,,Europe/Berlin,
closedApp,False,,1752353185.5600019,youtube,,,Europe/Berlin,
openedApp,False,900.0,1752353401.471165,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752353960.895934,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1752397065.957408,youtube,breathingExercise,6.0,Europe/Berlin,
openedApp,False,300.0,1752397075.769346,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752397384.09899,icecubes,,,Europe/Berlin,
openedApp,False,720.0,1752397406.503024,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1752397569.6891031,youtube,,,Europe/Berlin,
openedApp,False,1020.0,1752421278.7210832,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1752422310.4600348,youtube,,,Europe/Berlin,
openedApp,True,660.0,1752422326.3036861,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1752422989.490415,youtube,,,Europe/Berlin,
openedApp,True,600.0,1752423005.662262,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1752423103.947023,youtube,,,Europe/Berlin,
openedApp,False,60.0,1752430769.12633,youtube,breathingExercise,6.0,Europe/Berlin,Infos suchen
closedApp,False,,1752430806.836492,youtube,,,Europe/Berlin,
openedApp,False,780.0,1752439710.573196,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752440306.5015821,youtube,,,Europe/Berlin,
dismissedAppOpening,False,,1752471179.494684,icecubes,askForTimeLimit,6.0,Europe/Berlin,
openedApp,False,1200.0,1752472103.772018,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752473056.75978,youtube,,,Europe/Berlin,
openedApp,False,900.0,1752473620.462182,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1752474042.964892,youtube,,,Europe/Berlin,
closedApp,False,,1752474127.17803,youtube,,,Europe/Berlin,
closedApp,False,,1752474215.826843,youtube,,,Europe/Berlin,
openedApp,False,300.0,1752480798.4828138,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752481105.409254,icecubes,,,Europe/Berlin,
openedApp,False,360.0,1752482446.724633,linkedin,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1752482555.776229,linkedin,,,Europe/Berlin,
openedApp,False,60.0,1752499598.258428,linkedin,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1752499663.9672198,linkedin,,,Europe/Berlin,
openedApp,False,300.0,1752502986.116127,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752503074.700727,icecubes,,,Europe/Berlin,
openedApp,False,300.0,1752503092.072372,youtube,breathingExercise,6.0,Europe/Berlin,Infos suchen
closedApp,False,,1752503115.5253701,youtube,,,Europe/Berlin,
openedApp,False,300.0,1752504814.020625,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752504830.132263,icecubes,,,Europe/Berlin,
closedApp,False,,1752504982.8963342,icecubes,,,Europe/Berlin,
closedApp,False,,1752505199.1519399,icecubes,,,Europe/Berlin,
openedApp,False,900.0,1752505398.032477,icecubes,askForTimeLimit,6.0,Europe/Berlin,
openedApp,False,900.0,1752505414.999563,icecubes,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1752505780.088146,icecubes,,,Europe/Berlin,
openedApp,False,780.0,1752505797.215475,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1752506272.708852,youtube,,,Europe/Berlin,
openedApp,False,900.0,1752508378.225589,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752509284.831548,youtube,,,Europe/Berlin,
openedApp,False,1260.0,1752526418.2676,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752527619.51853,youtube,,,Europe/Berlin,
openedApp,False,600.0,1752555260.8963552,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752555871.237004,icecubes,,,Europe/Berlin,
dismissedAppOpening,True,,1752555884.5328588,icecubes,breathingExercise,6.0,Europe/Berlin,
openedApp,False,300.0,1752556204.204739,linkedin,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752556289.126751,linkedin,,,Europe/Berlin,
closedApp,False,,1752556823.9224,linkedin,,,Europe/Berlin,
openedApp,False,360.0,1752644650.443444,youtube,breathingExercise,6.0,Europe/Berlin,Kann nicht schlafen
closedApp,False,,1752645020.284109,youtube,,,Europe/Berlin,
openedApp,True,600.0,1752645042.221661,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1752645651.872828,youtube,,,Europe/Berlin,
openedApp,False,1800.0,1752646161.571604,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1752647967.97774,youtube,,,Europe/Berlin,
openedApp,True,1800.0,1752647992.48038,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752649270.057946,youtube,,,Europe/Berlin,
closedApp,False,,1752649611.724111,youtube,,,Europe/Berlin,
closedApp,False,,1752649796.332025,youtube,,,Europe/Berlin,
openedApp,False,,1752656617.6416988,beReal,breathingExercise,6.0,Europe/Berlin,Auf dem Laufenden bleiben
dismissedAppOpening,False,,1752658746.570982,youtube,breathingExercise,6.0,Europe/Berlin,
openedApp,False,1500.0,1752658769.566829,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1752660151.617443,youtube,,,Europe/Berlin,
closedApp,False,,1752660279.988286,youtube,,,Europe/Berlin,
openedApp,True,1800.0,1752660301.15887,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752661240.986899,youtube,,,Europe/Berlin,
closedApp,False,,1752661999.975943,youtube,,,Europe/Berlin,
openedApp,False,420.0,1752662027.422544,icecubes,askForTimeLimit,6.0,Europe/Berlin,
openedApp,False,900.0,1752662502.740782,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752662547.1848102,icecubes,,,Europe/Berlin,
openedApp,False,480.0,1752664544.412983,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752664559.679831,icecubes,,,Europe/Berlin,
closedApp,False,,1752665152.4023,icecubes,,,Europe/Berlin,
openedApp,False,420.0,1752670945.3347049,icecubes,askForTimeLimit,6.0,Europe/Berlin,
dismissedAppOpening,False,,1752671280.227913,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752671028.359833,icecubes,,,Europe/Berlin,
openedApp,False,540.0,1752671783.917692,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752671902.804501,icecubes,,,Europe/Berlin,
openedApp,False,420.0,1752674426.7793078,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752674716.530226,icecubes,,,Europe/Berlin,
closedApp,False,,1752674989.2524939,icecubes,,,Europe/Berlin,
openedApp,True,420.0,1752675011.326222,icecubes,breathingExercise,6.0,Europe/Berlin,Auf dem Laufenden bleiben
closedApp,False,,1752675152.855513,icecubes,,,Europe/Berlin,
openedApp,False,1080.0,1752675808.266578,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1752676293.802301,youtube,,,Europe/Berlin,
openedApp,False,540.0,1752685415.8531299,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752685566.245895,icecubes,,,Europe/Berlin,
closedApp,False,,1752685641.903913,icecubes,,,Europe/Berlin,
openedApp,False,600.0,1752700483.240635,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752700564.0574021,icecubes,,,Europe/Berlin,
closedApp,False,,1752700885.00001,icecubes,,,Europe/Berlin,
openedApp,False,120.0,1752727064.207197,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752727128.7079592,icecubes,,,Europe/Berlin,
openedApp,False,960.0,1752727695.41369,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752728522.194048,icecubes,,,Europe/Berlin,
closedApp,False,,1752728729.895934,icecubes,,,Europe/Berlin,
openedApp,False,420.0,1752728947.177188,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752729215.189516,icecubes,,,Europe/Berlin,
closedApp,False,,1752731656.0526562,icecubes,,,Europe/Berlin,
closedApp,False,,1752731920.664361,icecubes,,,Europe/Berlin,
closedApp,False,,1752732622.436419,icecubes,,,Europe/Berlin,
openedApp,False,900.0,1752767719.949844,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1752767965.368588,youtube,,,Europe/Berlin,
openedApp,False,360.0,1752768393.250558,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752768546.916117,icecubes,,,Europe/Berlin,
openedApp,False,960.0,1752771855.9209409,linkedin,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1752772229.223314,linkedin,,,Europe/Berlin,
openedApp,False,1140.0,1752772251.151983,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1752773359.6935968,youtube,,,Europe/Berlin,
openedApp,False,1380.0,1752782102.813849,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752782227.068835,icecubes,,,Europe/Berlin,
openedApp,False,1440.0,1752782596.673624,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752782669.6477299,youtube,,,Europe/Berlin,
closedApp,False,,1752782798.203624,youtube,,,Europe/Berlin,
closedApp,False,,1752783020.038903,youtube,,,Europe/Berlin,
closedApp,False,,1752783955.07901,youtube,,,Europe/Berlin,
openedApp,False,360.0,1752784038.128854,linkedin,breathingExercise,6.0,Europe/Berlin,Auf dem Laufenden bleiben
closedApp,False,,1752784100.390873,linkedin,,,Europe/Berlin,
openedApp,False,420.0,1752785220.583513,linkedin,breathingExercise,6.0,Europe/Berlin,Nachricht / Schreiben
openedApp,False,1500.0,1752817738.473896,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1752819246.367775,youtube,,,Europe/Berlin,
openedApp,True,1800.0,1752819263.1997871,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752819760.8780289,youtube,,,Europe/Berlin,
closedApp,False,,1752821048.4586558,youtube,,,Europe/Berlin,
openedApp,True,1800.0,1752821067.3413382,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752821247.261993,youtube,,,Europe/Berlin,
closedApp,False,,1752821270.3506851,youtube,,,Europe/Berlin,
openedApp,False,1800.0,1752821922.489553,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1752823521.7971401,youtube,,,Europe/Berlin,
openedApp,False,1320.0,1752830276.0495172,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1752831586.140995,youtube,,,Europe/Berlin,
closedApp,False,,1752831817.616057,youtube,,,Europe/Berlin,
closedApp,False,,1752831864.375083,youtube,,,Europe/Berlin,
openedApp,True,1800.0,1752831881.0322099,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752832309.8484612,youtube,,,Europe/Berlin,
openedApp,False,480.0,1752837660.164767,linkedin,breathingExercise,6.0,Europe/Berlin,Nachricht / Schreiben
closedApp,False,,1752837758.7431378,linkedin,,,Europe/Berlin,
closedApp,False,,1752837826.9536738,linkedin,,,Europe/Berlin,
closedApp,False,,1752837894.311837,linkedin,,,Europe/Berlin,
openedApp,False,540.0,1752838417.675111,linkedin,breathingExercise,6.0,Europe/Berlin,Nachricht / Schreiben
closedApp,False,,1752838504.572223,linkedin,,,Europe/Brussels,
openedApp,False,480.0,1752884012.7412372,linkedin,breathingExercise,6.0,Europe/Brussels,Ablenkung
closedApp,False,,1752884131.2125611,linkedin,,,Europe/Brussels,
openedApp,False,360.0,1752907624.55162,icecubes,askForTimeLimit,6.0,Europe/Brussels,
closedApp,False,,1752907813.4425979,icecubes,,,Europe/Brussels,
closedApp,False,,1752909627.410853,icecubes,,,Europe/Brussels,
openedApp,False,360.0,1752911082.753149,icecubes,askForTimeLimit,6.0,Europe/Brussels,
closedApp,False,,1752911264.117116,icecubes,,,Europe/Brussels,
closedApp,False,,1752911526.897187,icecubes,,,Europe/Brussels,
openedApp,False,780.0,1752918257.372844,icecubes,askForTimeLimit,6.0,Europe/Brussels,
closedApp,False,,1752918374.19327,icecubes,,,Europe/Brussels,
closedApp,False,,1752918997.338128,icecubes,,,Europe/Brussels,
openedApp,False,360.0,1752922738.961385,icecubes,askForTimeLimit,6.0,Europe/Brussels,
closedApp,False,,1752922834.259534,icecubes,,,Europe/Brussels,
openedApp,False,300.0,1752938170.560503,icecubes,askForTimeLimit,6.0,Europe/Brussels,
closedApp,False,,1752938373.6899118,icecubes,,,Europe/Brussels,
closedApp,False,,1752938504.521246,icecubes,,,Europe/Brussels,
closedApp,False,,1752938601.2507238,icecubes,,,Europe/Brussels,
openedApp,False,480.0,1752945528.440823,icecubes,askForTimeLimit,6.0,Europe/Brussels,
closedApp,False,,1752945615.184533,icecubes,,,Europe/Brussels,
openedApp,False,840.0,1752950053.310614,icecubes,askForTimeLimit,6.0,Europe/Brussels,
closedApp,False,,1752950151.249969,icecubes,,,Europe/Brussels,
closedApp,False,,1752950364.105143,icecubes,,,Europe/Brussels,
closedApp,False,,1752950439.270183,icecubes,,,Europe/Brussels,
openedApp,False,300.0,1752951574.338238,linkedin,breathingExercise,6.0,Europe/Brussels,Auf dem Laufenden bleiben
closedApp,False,,1752951880.049428,linkedin,,,Europe/Brussels,
openedApp,False,300.0,1752953054.455101,icecubes,askForTimeLimit,6.0,Europe/Brussels,
closedApp,False,,1752953143.893286,icecubes,,,Europe/Berlin,
closedApp,False,,1752955377.057421,icecubes,,,Europe/Berlin,
closedApp,False,,1752960012.723737,icecubes,,,Europe/Berlin,
closedApp,False,,1752960380.0567799,icecubes,,,Europe/Berlin,
closedApp,False,,1752961880.548573,icecubes,,,Europe/Berlin,
openedApp,False,480.0,1753018870.527779,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753018950.7348862,icecubes,,,Europe/Berlin,
closedApp,False,,1753019452.646957,icecubes,,,Europe/Berlin,
openedApp,True,780.0,1753019470.338592,icecubes,breathingExercise,6.0,Europe/Berlin,Nachricht / Schreiben
dismissedAppOpening,False,,1753019688.514749,icecubes,askForTimeLimit,6.0,Europe/Berlin,
openedApp,False,480.0,1753021705.129745,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753021963.512212,icecubes,,,Europe/Berlin,
openedApp,False,600.0,1753025033.143862,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753025640.458208,youtube,,,Europe/Berlin,
openedApp,True,360.0,1753025662.8526568,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753026024.779392,youtube,,,Europe/Berlin,
openedApp,False,600.0,1753027860.71876,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1753028017.07146,youtube,,,Europe/Berlin,
closedApp,False,,1753028386.387583,youtube,,,Europe/Berlin,
openedApp,False,600.0,1753029000.996238,youtube,breathingExercise,6.0,Europe/Berlin,Entspannung
closedApp,False,,1753029609.039563,youtube,,,Europe/Berlin,
openedApp,True,180.0,1753029625.61232,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753029721.9545078,youtube,,,Europe/Berlin,
openedApp,False,300.0,1753031079.388942,linkedin,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753031370.703814,linkedin,,,Europe/Berlin,
openedApp,False,480.0,1753031900.558356,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753032005.803333,icecubes,,,Europe/Berlin,
closedApp,False,,1753032220.536304,icecubes,,,Europe/Berlin,
closedApp,False,,1753033821.341507,icecubes,,,Europe/Berlin,
openedApp,False,300.0,1753035089.575712,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753035183.940644,icecubes,,,Europe/Berlin,
openedApp,False,300.0,1753039655.01865,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753039735.088942,youtube,,,Europe/Berlin,
closedApp,False,,1753040097.8396912,youtube,,,Europe/Berlin,
openedApp,True,660.0,1753040116.4599872,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1753040397.142761,youtube,,,Europe/Berlin,
openedApp,False,900.0,1753043037.247035,youtube,breathingExercise,6.0,Europe/Berlin,Kann nicht schlafen
closedApp,False,,1753043393.648456,youtube,,,Europe/Berlin,
openedApp,False,1200.0,1753073657.523265,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753074876.590547,youtube,,,Europe/Berlin,
openedApp,True,780.0,1753074902.023876,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1753075692.316928,youtube,,,Europe/Berlin,
openedApp,True,900.0,1753075719.259097,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753076341.882417,youtube,,,Europe/Berlin,
closedApp,False,,1753076740.702575,youtube,,,Europe/Berlin,
openedApp,False,300.0,1753111482.846332,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753111788.866018,icecubes,,,Europe/Berlin,
openedApp,False,1500.0,1753114243.839202,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753115755.007618,youtube,,,Europe/Berlin,
openedApp,True,900.0,1753115769.8602219,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1753116111.114845,youtube,,,Europe/Berlin,
closedApp,False,,1753116503.406327,youtube,,,Europe/Berlin,
openedApp,False,1200.0,1753117112.962255,youtube,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1753117364.42365,youtube,,,Europe/Berlin,
openedApp,False,360.0,1753118208.3301039,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753118314.678813,icecubes,,,Europe/Berlin,
openedApp,False,1200.0,1753119646.637909,youtube,breathingExercise,6.0,Europe/Berlin,Auf dem Laufenden bleiben
closedApp,False,,1753119660.78912,youtube,,,Europe/Berlin,
closedApp,False,,1753127202.727552,youtube,,,Europe/Berlin,
openedApp,False,840.0,1753130111.6791902,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753130970.590323,youtube,,,Europe/Berlin,
openedApp,False,960.0,1753130997.148202,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753131097.7935119,youtube,,,Europe/Berlin,
closedApp,False,,1753131185.8083448,youtube,,,Europe/Berlin,
openedApp,False,1200.0,1753131429.996996,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753132643.893958,youtube,,,Europe/Berlin,
openedApp,True,960.0,1753132661.40141,youtube,breathingExercise,6.0,Europe/Berlin,Entspannung
closedApp,False,,1753132844.613546,youtube,,,Europe/Berlin,
openedApp,False,300.0,1753134008.250042,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753134251.960377,icecubes,,,Europe/Berlin,
openedApp,False,1800.0,1753162680.3558779,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
dismissedAppOpening,False,,1753162680.618638,youtube,breathingExercise,6.0,Europe/Berlin,
closedApp,False,,1753162698.048092,youtube,,,Europe/Berlin,
closedApp,False,,1753164483.4548721,youtube,,,Europe/Berlin,
closedApp,False,,1753164808.1209931,youtube,,,Europe/Berlin,
openedApp,False,240.0,1753183534.460631,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753183609.558525,icecubes,,,Europe/Berlin,
dismissedAppOpening,False,,1753192042.781269,youtube,breathingExercise,6.0,Europe/Berlin,
openedApp,False,1620.0,1753192067.693616,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1753193334.470094,youtube,,,Europe/Berlin,
closedApp,False,,1753194187.704471,youtube,,,Europe/Berlin,
openedApp,False,840.0,1753195309.5066,youtube,breathingExercise,6.0,Europe/Berlin,Crush stalken
closedApp,False,,1753196057.96066,youtube,,,Europe/Berlin,
openedApp,False,960.0,1753219620.922797,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753220151.834111,youtube,,,Europe/Berlin,
openedApp,False,660.0,1753220231.43743,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753220489.901629,icecubes,,,Europe/Berlin,
closedApp,False,,1753221603.3916578,icecubes,,,Europe/Berlin,
openedApp,False,60.0,1753222490.771301,guardian,breathingExercise,6.0,Europe/Berlin,Infos suchen
openedApp,False,1800.0,1753251355.7759972,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1753253167.165935,youtube,,,Europe/Berlin,
openedApp,True,660.0,1753253192.6391401,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753253413.978016,youtube,,,Europe/Berlin,
closedApp,False,,1753253468.245641,youtube,,,Europe/Berlin,
closedApp,False,,1753253576.3203049,youtube,,,Europe/Berlin,
closedApp,False,,1753253959.014896,youtube,,,Europe/Berlin,
openedApp,False,300.0,1753258259.094839,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753258454.522427,icecubes,,,Europe/Berlin,
closedApp,False,,1753258456.984153,icecubes,,,Europe/Berlin,
dismissedAppOpening,False,,1753260719.62574,icecubes,askForTimeLimit,6.0,Europe/Berlin,
dismissedAppOpening,False,,1753261095.2838159,youtube,breathingExercise,6.0,Europe/Berlin,
openedApp,False,1740.0,1753261127.3148031,youtube,breathingExercise,6.0,Europe/Berlin,Klo
closedApp,False,,1753262178.3737369,youtube,,,Europe/Berlin,
closedApp,False,,1753262863.6920671,youtube,,,Europe/Berlin,
openedApp,False,420.0,1753269703.653469,youtube,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1753270129.701119,youtube,,,Europe/Berlin,
openedApp,False,600.0,1753270653.0477638,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753270830.209836,youtube,,,Europe/Berlin,
openedApp,False,660.0,1753301070.0374851,youtube,breathingExercise,6.0,Europe/Berlin,Infos suchen
closedApp,False,,1753301132.123898,youtube,,,Europe/Berlin,
closedApp,False,,1753301156.882474,youtube,,,Europe/Berlin,
closedApp,False,,1753301419.419135,youtube,,,Europe/Berlin,
openedApp,False,2100.0,1753301935.2324162,youtube,breathingExercise,6.0,Europe/Berlin,Infos suchen
closedApp,False,,1753302189.0561562,youtube,,,Europe/Berlin,
closedApp,False,,1753303214.821505,youtube,,,Europe/Berlin,
openedApp,False,420.0,1753332994.624047,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1753333093.972511,icecubes,,,Europe/Berlin,
closedApp,False,,1753333349.302172,icecubes,,,Europe/Berlin,
closedApp,False,,1753333445.756943,icecubes,,,Europe/Berlin,
closedApp,False,,1753336641.6554332,icecubes,,,Europe/Berlin,
closedApp,False,,1753337775.2799559,icecubes,,,Europe/Berlin,
openedApp,False,1200.0,1753367058.4335542,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1753367927.3960428,youtube,,,Europe/Berlin,
