resolution,timestamp,interventionDuration,interventionType,timezone,isReIntervention,app,timeIntervalUntilReIntervention
openedApp,1752684926.164692,6,askForTimeLimit,Europe/Paris,False,instagram,660.0
openedApp,1752684982.874181,6,askForTimeLimit,Europe/Paris,False,instagram,840.0
openedApp,1752685059.9989228,6,askForTimeLimit,Europe/Paris,False,instagram,840.0
openedApp,1752685087.4259648,6,askForTimeLimit,Europe/Paris,False,instagram,480.0
dismissedAppOpening,1752685151.979889,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1752685168.3434548,6,askForTimeLimit,Europe/Paris,False,instagram,540.0
openedApp,1752687276.0607991,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1752689295.4656591,6,askForTimeLimit,Europe/Paris,False,instagram,480.0
openedApp,1752690802.2573829,6,askForTimeLimit,Europe/Paris,False,instagram,480.0
openedApp,1752704372.004993,6,askForTimeLimit,Europe/Paris,False,instagram,1320.0
dismissedAppOpening,1752704488.773006,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1752706890.5808249,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1752732073.874331,6,askForTimeLimit,Europe/Paris,False,instagram,420.0
openedApp,1752734655.453278,6,askForTimeLimit,Europe/Paris,False,instagram,420.0
openedApp,1752738110.333482,6,askForTimeLimit,Europe/Paris,False,instagram,540.0
openedApp,1752738847.672137,6,askForTimeLimit,Europe/Paris,False,instagram,480.0
openedApp,1752739529.289588,6,askForTimeLimit,Europe/Paris,False,instagram,540.0
openedApp,1752739942.770159,6,askForTimeLimit,Europe/Paris,False,instagram,480.0
openedApp,1752741005.289497,6,askForTimeLimit,Europe/Paris,False,instagram,600.0
openedApp,1752747267.1736221,6,askForTimeLimit,Europe/Paris,False,instagram,900.0
openedApp,1752747890.546031,6,askForTimeLimit,Europe/Paris,False,instagram,540.0
openedApp,1752750423.219641,6,askForTimeLimit,Europe/Paris,False,instagram,840.0
openedApp,1752750490.942133,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1752751275.043922,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1752751572.716885,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
