isReIntervention,interventionType,timezone,app,resolution,timestamp,interventionDuration,purpose
False,breathingExercise,America/Chicago,instagram,openedApp,1749008034.9331012,6,Search Info
False,breathingExercise,America/Chicago,instagram,openedApp,1749008174.3306022,6,Post something
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749008730.5185652,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749012923.265644,6,Message
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749052294.142869,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749060732.865246,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749062131.038455,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1749062163.7609859,6,Post something
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749063373.380166,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749064812.5890021,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1749068255.059348,6,Post something
False,breathingExercise,America/Chicago,tikTok,openedApp,1749068615.168638,6,Post something
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749073714.834313,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749089513.921514,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749125359.877934,6,Stay In the Loop
False,breathingExercise,America/Chicago,tikTok,openedApp,1749126702.105847,6,Post something
False,breathingExercise,America/Chicago,tikTok,openedApp,1749126939.5082831,6,Entertainment
False,breathingExercise,America/Chicago,instagram,openedApp,1749141319.724903,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749143010.3654861,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749146644.9546242,6,Check likes
False,breathingExercise,America/Chicago,tikTok,dismissedAppOpening,1749147415.797806,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749167979.941364,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749174591.7345839,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749219408.256713,6,Search Info
False,breathingExercise,America/Chicago,tikTok,openedApp,1749220115.037777,6,Bored
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749221396.157007,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749221401.223449,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749233601.023493,6,Stay In the Loop
False,breathingExercise,America/Chicago,instagram,openedApp,1749233846.807832,6,Message
False,breathingExercise,America/Chicago,instagram,openedApp,1749234160.642895,6,Message
False,breathingExercise,America/Chicago,instagram,openedApp,1749234939.611987,6,Search Info
False,breathingExercise,America/Chicago,instagram,openedApp,1749235431.5358582,6,Message
False,breathingExercise,America/Chicago,instagram,openedApp,1749240087.293336,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749243877.717351,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749245240.804442,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749308921.078113,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1749313699.957998,6,Post something
