interventionDuration,timezone,timestamp,purpose,resolution,isReIntervention,interventionType,app
6.0,Europe/Zurich,1753875800.8074632,Aburrido,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753878192.249675,Mensaje,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753878252.8760362,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753878768.856816,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753878773.7040582,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753881034.0799851,Buscar info,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753882035.099451,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753883794.520885,Buscar info,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753884424.1248322,Mantente Informado,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753884548.893341,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753884569.6704612,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753884594.570915,Inodoro,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753885144.4235492,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753885253.435499,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753886261.251524,Mensaje,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753886352.520572,Mensaje,openedApp,False,breathingExercise,safari
6.0,Europe/Zurich,1753887456.883854,Mensaje,openedApp,False,breathingExercise,youtube
,Europe/Zurich,1753888420.298758,,closedApp,False,,youtube
6.0,Europe/Zurich,1753888514.564189,Buscar info,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753889811.323176,Mensaje,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753891787.351287,Mantente Informado,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753892582.309936,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753892640.78691,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753894110.792407,Mensaje,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753896874.159147,Mensaje,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753897539.012078,Buscar info,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753898884.77088,Aburrido,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753899097.1114569,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753899109.133006,,dismissedAppOpening,False,breathingExercise,safari
6.0,Europe/Zurich,1753901387.3466868,No puedo dormir,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753902220.556141,Buscar info,openedApp,False,breathingExercise,safari
6.0,Europe/Zurich,1753902814.791508,Mensaje,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753903229.3866692,répondre à qqun,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753904641.962998,Buscar info,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753905633.152245,No puedo dormir,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753906227.122589,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753906344.984417,No puedo dormir,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753906629.005269,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753945030.68666,Publicar algo,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753948880.244663,Escapar / Evitar,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753948983.954201,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753949032.373049,Mantente Informado,openedApp,False,breathingExercise,youtube
,Europe/Zurich,1753949431.4435759,,closedApp,False,,youtube
6.0,Europe/Zurich,1753949564.897352,Mantente Informado,openedApp,False,breathingExercise,youtube
,Europe/Zurich,1753949628.881588,,closedApp,False,,youtube
,Europe/Zurich,1753951091.319439,,closedApp,False,,youtube
6.0,Europe/Zurich,1753951106.547044,Mensaje,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753952241.5436292,,dismissedAppOpening,False,breathingExercise,youtube
6.0,Europe/Zurich,1753952286.484494,Mensaje,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753953867.590524,Mantente Informado,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753955060.8101301,Buscar info,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753964034.1696758,No puedo dormir,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753964169.002567,répondre à qqun,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753964612.332483,Mantente Informado,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753964973.886805,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753965031.356518,Revisar me gusta,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753965107.090852,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753965111.378113,,dismissedAppOpening,False,breathingExercise,instagram
,Europe/Zurich,1753965148.680139,,closedApp,False,,instagram
,Europe/Zurich,1753965229.435941,,closedApp,False,,instagram
,Europe/Zurich,1753965418.596889,,closedApp,False,,instagram
,Europe/Zurich,1753965581.799831,,closedApp,False,,instagram
,Europe/Zurich,1753965778.620297,,closedApp,False,,instagram
,Europe/Zurich,1753968818.8835092,,closedApp,False,,instagram
,Europe/Zurich,1753969196.331414,,closedApp,False,,instagram
,Europe/Zurich,1753969293.41591,,closedApp,False,,instagram
,Europe/Zurich,1753969595.7084231,,closedApp,False,,instagram
,Europe/Zurich,1753970122.027121,,closedApp,False,,instagram
,Europe/Zurich,1753970602.177248,,closedApp,False,,instagram
,Europe/Zurich,1753970986.151048,,closedApp,False,,instagram
,Europe/Zurich,1753971420.151647,,closedApp,False,,instagram
,Europe/Zurich,1753971494.7643461,,closedApp,False,,instagram
,Europe/Zurich,1753971593.142991,,closedApp,False,,instagram
