resolution,timezone,app,interventionType,isReIntervention,timestamp,interventionDuration
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750085984.177659,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750086167.701027,6
openedApp,America/New_York,instagram,breathingExercise,False,1750087525.133035,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750088758.660394,6
openedApp,America/New_York,instagram,breathingExercise,False,1750089207.589941,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750091011.286685,6
openedApp,America/New_York,instagram,breathingExercise,False,1750091027.0415258,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750091824.1937199,6
openedApp,America/New_York,instagram,breathingExercise,False,1750091848.7324529,6
openedApp,America/New_York,instagram,breathingExercise,False,1750092668.2684221,6
openedApp,America/New_York,instagram,breathingExercise,False,1750093299.5841842,6
openedApp,America/New_York,instagram,breathingExercise,False,1750093537.3853621,6
openedApp,America/New_York,instagram,breathingExercise,False,1750093573.817894,6
openedApp,America/New_York,instagram,breathingExercise,False,1750094602.567157,6
openedApp,America/New_York,instagram,breathingExercise,False,1750096321.731699,6
openedApp,America/New_York,instagram,breathingExercise,False,1750097163.385838,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750097199.461986,6
openedApp,America/New_York,instagram,breathingExercise,False,1750097222.993886,6
openedApp,America/New_York,instagram,breathingExercise,False,1750097809.6599379,6
openedApp,America/New_York,instagram,breathingExercise,False,1750098403.955463,6
openedApp,America/New_York,instagram,breathingExercise,False,1750099273.4587898,6
openedApp,America/New_York,instagram,breathingExercise,False,1750099446.6484442,6
openedApp,America/New_York,instagram,breathingExercise,False,1750100124.8078241,6
openedApp,America/New_York,instagram,breathingExercise,False,1750101025.2608418,6
openedApp,America/New_York,instagram,breathingExercise,False,1750101305.706925,6
openedApp,America/New_York,instagram,breathingExercise,False,1750102282.8326669,6
openedApp,America/New_York,instagram,breathingExercise,False,1750102929.517515,6
openedApp,America/New_York,instagram,breathingExercise,False,1750103525.769882,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750104229.118185,6
openedApp,America/New_York,instagram,breathingExercise,False,1750106239.108501,6
openedApp,America/New_York,instagram,breathingExercise,False,1750107869.647198,6
openedApp,America/New_York,instagram,breathingExercise,False,1750109872.019984,6
openedApp,America/New_York,instagram,breathingExercise,False,1750111051.638458,6
openedApp,America/New_York,instagram,breathingExercise,False,1750114822.6829062,6
openedApp,America/New_York,instagram,breathingExercise,False,1750115599.7598438,6
openedApp,America/New_York,instagram,breathingExercise,False,1750116079.751163,6
openedApp,America/New_York,instagram,breathingExercise,False,1750116643.806694,6
openedApp,America/New_York,instagram,breathingExercise,False,1750116785.780707,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750117788.319196,6
openedApp,America/New_York,instagram,breathingExercise,False,1750117809.153889,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750117836.625399,6
openedApp,America/New_York,instagram,breathingExercise,False,1750118151.3771229,6
openedApp,America/New_York,instagram,breathingExercise,False,1750118248.8298159,6
openedApp,America/New_York,instagram,breathingExercise,False,1750120726.300435,6
openedApp,America/New_York,instagram,breathingExercise,False,1750122648.010158,6
openedApp,America/New_York,instagram,breathingExercise,False,1750123474.38379,6
openedApp,America/New_York,instagram,breathingExercise,False,1750124091.223812,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750125359.2389379,6
openedApp,America/New_York,instagram,breathingExercise,False,1750125378.531975,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750125943.7012548,6
openedApp,America/New_York,instagram,breathingExercise,False,1750125960.9877548,6
openedApp,America/New_York,instagram,breathingExercise,False,1750126141.678402,6
openedApp,America/New_York,instagram,breathingExercise,False,1750126987.193604,6
openedApp,America/New_York,instagram,breathingExercise,False,1750128276.4490361,6
openedApp,America/New_York,instagram,breathingExercise,False,1750129022.099904,6
openedApp,America/New_York,instagram,breathingExercise,False,1750159945.404797,6
openedApp,America/New_York,instagram,breathingExercise,False,1750160865.453747,6
openedApp,America/New_York,instagram,breathingExercise,False,1750163640.249762,6
openedApp,America/New_York,instagram,breathingExercise,False,1750164060.154408,6
openedApp,America/New_York,instagram,breathingExercise,False,1750164126.901877,6
openedApp,America/New_York,instagram,breathingExercise,False,1750164860.467895,6
openedApp,America/New_York,instagram,breathingExercise,False,1750165169.513811,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750166410.729786,6
openedApp,America/New_York,instagram,breathingExercise,False,1750166427.153672,6
openedApp,America/New_York,instagram,breathingExercise,False,1750168308.283519,6
openedApp,America/New_York,instagram,breathingExercise,False,1750169842.5674329,6
openedApp,America/New_York,instagram,breathingExercise,False,1750171233.493145,6
openedApp,America/New_York,instagram,breathingExercise,False,1750172661.8126988,6
openedApp,America/New_York,instagram,breathingExercise,False,1750173904.8705149,6
openedApp,America/New_York,instagram,breathingExercise,False,1750175682.7503881,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750177676.457344,6
openedApp,America/New_York,instagram,breathingExercise,False,1750177696.0409842,6
openedApp,America/New_York,instagram,breathingExercise,False,1750179924.117484,6
openedApp,America/New_York,instagram,breathingExercise,False,1750180360.832067,6
openedApp,America/New_York,instagram,breathingExercise,False,1750180868.571313,6
openedApp,America/New_York,instagram,breathingExercise,False,1750181372.010685,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750181546.1961231,6
openedApp,America/New_York,instagram,breathingExercise,False,1750181564.3895922,6
openedApp,America/New_York,instagram,breathingExercise,False,1750183061.199759,6
openedApp,America/New_York,instagram,breathingExercise,False,1750184182.207103,6
openedApp,America/New_York,instagram,breathingExercise,False,1750185869.265152,6
openedApp,America/New_York,instagram,breathingExercise,False,1750185911.359973,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750186472.159357,6
openedApp,America/New_York,instagram,breathingExercise,False,1750186514.2488089,6
openedApp,America/New_York,instagram,breathingExercise,False,1750186963.3586621,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750188391.117439,6
openedApp,America/New_York,instagram,breathingExercise,False,1750188407.5391989,6
openedApp,America/New_York,instagram,breathingExercise,False,1750192868.417686,6
openedApp,America/New_York,instagram,breathingExercise,False,1750193611.20266,6
openedApp,America/New_York,instagram,breathingExercise,False,1750197136.443722,6
openedApp,America/New_York,instagram,breathingExercise,False,1750197933.357679,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750199830.397826,6
openedApp,America/New_York,instagram,breathingExercise,False,1750199855.9319859,6
openedApp,America/New_York,instagram,breathingExercise,False,1750203861.4954991,6
openedApp,America/New_York,instagram,breathingExercise,False,1750204433.710547,6
openedApp,America/New_York,instagram,breathingExercise,False,1750216295.202394,6
openedApp,America/New_York,instagram,breathingExercise,False,1750217345.60813,6
openedApp,America/New_York,instagram,breathingExercise,False,1750217861.115518,6
openedApp,America/New_York,instagram,breathingExercise,False,1750218694.044934,6
openedApp,America/New_York,instagram,breathingExercise,False,1750219390.683733,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750219562.024416,6
openedApp,America/New_York,instagram,breathingExercise,False,1750220525.776026,6
openedApp,America/New_York,instagram,breathingExercise,False,1750222149.592794,6
openedApp,America/New_York,instagram,breathingExercise,False,1750222827.2944422,6
openedApp,America/New_York,instagram,breathingExercise,False,1750223313.759778,6
openedApp,America/New_York,instagram,breathingExercise,False,1750223717.559202,6
openedApp,America/New_York,instagram,breathingExercise,False,1750255902.599393,6
openedApp,America/New_York,instagram,breathingExercise,False,1750256072.718804,6
openedApp,America/New_York,instagram,breathingExercise,False,1750256437.034113,6
openedApp,America/New_York,instagram,breathingExercise,False,1750259450.695167,6
openedApp,America/New_York,instagram,breathingExercise,False,1750261551.725278,6
openedApp,America/New_York,instagram,breathingExercise,False,1750262581.376477,6
openedApp,America/New_York,instagram,breathingExercise,False,1750262757.065069,6
openedApp,America/New_York,instagram,breathingExercise,False,1750263003.612854,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750263489.989234,6
openedApp,America/New_York,instagram,breathingExercise,False,1750264153.147749,6
openedApp,America/New_York,instagram,breathingExercise,False,1750264843.674964,6
openedApp,America/New_York,instagram,breathingExercise,False,1750265256.156594,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750265300.117692,6
openedApp,America/New_York,instagram,breathingExercise,False,1750265364.717756,6
openedApp,America/New_York,instagram,breathingExercise,False,1750266000.354526,6
openedApp,America/New_York,instagram,breathingExercise,False,1750272734.339363,6
openedApp,America/New_York,instagram,breathingExercise,False,1750273523.555457,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750273547.607271,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750273595.704496,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750273606.917537,6
openedApp,America/New_York,instagram,breathingExercise,False,1750273624.101273,6
openedApp,America/New_York,instagram,breathingExercise,False,1750273664.88313,6
openedApp,America/New_York,instagram,breathingExercise,False,1750276108.642819,6
openedApp,America/New_York,instagram,breathingExercise,False,1750278686.1990252,6
openedApp,America/New_York,instagram,breathingExercise,False,1750280206.9993029,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750284002.7217798,6
openedApp,America/New_York,instagram,breathingExercise,False,1750284018.372531,6
openedApp,America/New_York,instagram,breathingExercise,False,1750287025.880457,6
openedApp,America/New_York,instagram,breathingExercise,False,1750288320.0328388,6
openedApp,America/New_York,instagram,breathingExercise,False,1750292529.322748,6
openedApp,America/New_York,instagram,breathingExercise,False,1750293538.296607,6
openedApp,America/New_York,instagram,breathingExercise,False,1750296015.336123,6
openedApp,America/New_York,instagram,breathingExercise,False,1750297974.044828,6
openedApp,America/New_York,instagram,breathingExercise,False,1750298676.102641,6
openedApp,America/New_York,instagram,breathingExercise,False,1750299335.428263,6
openedApp,America/New_York,instagram,breathingExercise,False,1750300550.95687,6
openedApp,America/New_York,instagram,breathingExercise,False,1750301536.44099,6
openedApp,America/New_York,instagram,breathingExercise,False,1750302365.56094,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750302752.140969,6
openedApp,America/New_York,instagram,breathingExercise,False,1750304055.3598099,6
openedApp,America/New_York,instagram,breathingExercise,False,1750336212.623064,6
openedApp,America/New_York,instagram,breathingExercise,False,1750336742.26617,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750338040.974783,6
openedApp,America/New_York,instagram,breathingExercise,False,1750338062.876315,6
openedApp,America/New_York,instagram,breathingExercise,False,1750340058.10315,6
openedApp,America/New_York,instagram,breathingExercise,False,1750342007.392198,6
openedApp,America/New_York,instagram,breathingExercise,False,1750342146.383728,6
openedApp,America/New_York,instagram,breathingExercise,False,1750342979.47334,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750343521.3722339,6
openedApp,America/New_York,instagram,breathingExercise,False,1750347802.391366,6
openedApp,America/New_York,instagram,breathingExercise,False,1750349732.760155,6
openedApp,America/New_York,instagram,breathingExercise,False,1750351715.9046679,6
openedApp,America/New_York,instagram,breathingExercise,False,1750353198.188312,6
openedApp,America/New_York,instagram,breathingExercise,False,1750354287.076019,6
openedApp,America/New_York,instagram,breathingExercise,False,1750354535.655209,6
openedApp,America/New_York,instagram,breathingExercise,False,1750356953.1105819,6
openedApp,America/New_York,instagram,breathingExercise,False,1750358591.625327,6
openedApp,America/New_York,instagram,breathingExercise,False,1750361243.701799,6
openedApp,America/New_York,instagram,breathingExercise,False,1750362750.004169,6
openedApp,America/New_York,instagram,breathingExercise,False,1750367255.578415,6
openedApp,America/New_York,instagram,breathingExercise,False,1750367284.5853682,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750367555.491157,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750367558.958467,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750369644.587675,6
openedApp,America/New_York,instagram,breathingExercise,False,1750369660.148488,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750369748.07451,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750369781.1765919,6
openedApp,America/New_York,instagram,breathingExercise,False,1750369805.1623812,6
openedApp,America/New_York,instagram,breathingExercise,False,1750373713.100298,6
openedApp,America/New_York,instagram,breathingExercise,False,1750373737.679769,6
openedApp,America/New_York,instagram,breathingExercise,False,1750375459.236038,6
openedApp,America/New_York,instagram,breathingExercise,False,1750375509.56685,6
openedApp,America/New_York,instagram,breathingExercise,False,1750377497.622236,6
openedApp,America/New_York,instagram,breathingExercise,False,1750380956.0938501,6
openedApp,America/New_York,instagram,breathingExercise,False,1750381700.3825111,6
openedApp,America/New_York,instagram,breathingExercise,False,1750383780.644003,6
openedApp,America/New_York,instagram,breathingExercise,False,1750384496.331244,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750385467.639565,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750388027.082336,6
openedApp,America/New_York,instagram,breathingExercise,False,1750388050.850192,6
openedApp,America/New_York,instagram,breathingExercise,False,1750389819.003149,6
openedApp,America/New_York,instagram,breathingExercise,False,1750419096.151295,6
openedApp,America/New_York,instagram,breathingExercise,False,1750423682.075416,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750424336.769899,6
openedApp,America/New_York,instagram,breathingExercise,False,1750424674.8725228,6
openedApp,America/New_York,instagram,breathingExercise,False,1750426779.811518,6
openedApp,America/New_York,instagram,breathingExercise,False,1750428212.2588902,6
openedApp,America/New_York,instagram,breathingExercise,False,1750429154.423973,6
openedApp,America/New_York,instagram,breathingExercise,False,1750434248.7739801,6
openedApp,America/New_York,instagram,breathingExercise,False,1750435327.762642,6
openedApp,America/New_York,instagram,breathingExercise,False,1750436977.15153,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750437255.7343369,6
openedApp,America/New_York,instagram,breathingExercise,False,1750439315.0408301,6
openedApp,America/New_York,instagram,breathingExercise,False,1750444901.2417111,6
openedApp,America/New_York,instagram,breathingExercise,False,1750445097.155201,6
openedApp,America/New_York,instagram,breathingExercise,False,1750450836.659262,6
openedApp,America/New_York,instagram,breathingExercise,False,1750452580.2031631,6
openedApp,America/New_York,instagram,breathingExercise,False,1750454310.181243,6
openedApp,America/New_York,instagram,breathingExercise,False,1750454715.7332,6
openedApp,America/New_York,instagram,breathingExercise,False,1750456707.086917,6
openedApp,America/New_York,instagram,breathingExercise,False,1750460740.592815,6
openedApp,America/New_York,instagram,breathingExercise,False,1750462294.8388019,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750464608.157164,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750464611.482177,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750472512.235999,6
openedApp,America/New_York,instagram,breathingExercise,False,1750472529.978047,6
dismissedAppOpening,America/New_York,instagram,breathingExercise,False,1750472982.610637,6
openedApp,America/New_York,instagram,breathingExercise,False,1750487993.422761,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750507229.181334,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750507272.652947,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750507736.881877,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750522077.521912,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750524801.814062,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750535839.542469,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750536495.0067868,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750538230.44905,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750538246.10433,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750539549.90976,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750539564.228448,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750539864.881744,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750540495.2704039,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750543343.929357,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750543660.178694,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750546217.906276,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750550884.682135,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750551750.476183,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750552294.8844109,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750553262.430791,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750553480.7243462,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750553748.628958,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750553765.876569,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750555154.234241,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750556091.865221,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750556795.5095348,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750557949.385072,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750558190.159895,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750602645.416085,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750602660.695868,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750609934.332614,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750610740.793723,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750633631.920594,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750633672.2319012,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750634657.127248,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750634902.904845,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750635445.01752,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750636413.072949,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750638675.171572,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750667338.460926,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750667699.1067019,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750667714.55424,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750669897.912427,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750671801.777297,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750671914.672165,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750699202.134646,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750700523.402676,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750701186.926029,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750701739.523488,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750702466.164113,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750702982.23312,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750702996.1446629,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750705062.880155,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750705075.849936,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750705967.1249452,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750705982.755262,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750706099.182629,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750709418.836746,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750710864.89892,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750711164.2004209,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750713126.658001,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750713146.167737,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750714086.3028998,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750714386.142844,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750716067.2009568,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750716930.057091,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750743094.197809,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750744020.468442,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750745080.403926,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750799087.892694,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750800026.252849,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750800930.8171191,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750801106.921132,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750801322.936769,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750801406.420476,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750801528.305475,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750802685.5587668,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750803480.874771,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750803505.3169131,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750804442.673091,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750805159.310515,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750807860.221044,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750851600.117557,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750852294.127485,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750853256.104086,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750853671.694098,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750855132.767645,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750855955.145253,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750860520.352272,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750861290.350801,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750863178.411663,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750872176.664542,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750872959.2135139,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750873251.697092,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750874175.734113,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750875704.513552,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750879459.651428,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750888857.653386,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889091.144137,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889100.729243,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889100.754414,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889100.763362,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889100.772279,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889100.780539,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889100.7888079,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889100.79649,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889100.8056412,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889100.815011,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889100.824508,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889100.833107,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889100.841487,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889100.8511581,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889100.860393,6
dismissedAppOpening,Atlantic/Reykjavik,instagram,breathingExercise,False,1750889790.24255,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750890932.233395,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750892040.021741,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750892221.561716,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750892436.3273711,6
openedApp,Atlantic/Reykjavik,instagram,breathingExercise,False,1750893126.919811,6
