resolution,timezone,app,interventionDuration,timestamp,isReIntervention,interventionType,purpose
closedApp,Europe/Berlin,76A414B7-FCD8-4D56-B8E8-0F20DABD6466,,1748786320.8795881,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1748880061.702124,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1748880265.695617,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1748881487.873631,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1748882980.204472,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1748883204.904413,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1748974237.575283,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1748974267.367775,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1748974607.241558,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1748974724.881139,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749041321.3966799,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749043923.688169,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749046907.9116158,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749053258.298603,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749060811.40091,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749062758.4747338,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749062983.737149,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749063627.269825,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749063840.349011,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749063857.914847,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749065494.239177,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749066392.0460649,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1748812278.319324,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1748812381.996021,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1748812402.936333,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1748812411.299994,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1748812502.9455662,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1748812519.069782,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1748812520.1853728,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1748812520.8340101,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1748812531.025943,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1748881867.52542,False,,
closedApp,Europe/Berlin,hackerNews,,1748786415.7556338,False,,
closedApp,Europe/Berlin,hackerNews,,1748786420.826669,False,,
closedApp,Europe/Berlin,hackerNews,,1749046927.9878821,False,,
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749068197.726136,False,breathingExercise,Stay In the Loop
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749069105.463304,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749069152.547377,False,,
dismissedAppOpening,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749122617.53273,False,breathingExercise,
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749122684.787144,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749130610.7376652,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749132341.9112449,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,hackerNews,6.0,1749134211.51247,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749134465.42794,False,breathingExercise,Search Info
openedApp,Europe/Berlin,hackerNews,6.0,1749134974.077101,False,breathingExercise,Bored
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749135192.460174,False,breathingExercise,Stay In the Loop
dismissedAppOpening,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749137439.409539,False,breathingExercise,
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749137463.22184,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749141270.367076,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749148328.604198,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749191204.724616,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,6.0,1749193559.084084,False,breathingExercise,Stay In the Loop
dismissedAppOpening,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,6.0,1749194042.8197489,False,breathingExercise,
openedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,6.0,1749194067.08328,False,breathingExercise,Stay In the Loop
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749122696.365662,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749123031.587919,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749123054.888087,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749131495.6925812,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749134171.279115,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749134946.331114,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749136789.915937,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749137370.66345,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749145305.9225268,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749153958.649187,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749191245.828886,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749193196.492763,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193596.739402,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193618.348618,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193634.8029242,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193636.868649,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193666.985681,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193676.906876,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193678.1273599,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193681.62848,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193697.12143,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193705.1830158,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193714.7287068,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193743.082067,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193747.3418531,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193772.133133,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193909.032902,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193922.806359,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193949.293395,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193981.718935,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193984.429826,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193989.790636,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193991.050205,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193993.171066,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749193995.0632281,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749194090.1970658,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749194135.367838,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749194220.1984181,False,,
closedApp,Europe/Berlin,hackerNews,,1749134224.564192,False,,
closedApp,Europe/Berlin,hackerNews,,1749134984.245754,False,,
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749201165.336032,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749204938.047868,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749206943.333113,False,breathingExercise,Stay In the Loop
dismissedAppOpening,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749217114.0684361,False,breathingExercise,
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749217131.221181,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,6.0,1749217516.88802,False,breathingExercise,Stay In the Loop
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749201170.243098,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749201407.303102,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749204973.8878431,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749207026.856673,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749207036.965118,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749217389.4031491,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749217538.79851,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749217586.4083838,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749217595.2701712,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749217645.822871,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749217649.207264,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749217686.471827,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749217909.5927892,False,,
dismissedAppOpening,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749219365.3316832,False,breathingExercise,
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749219417.48246,False,breathingExercise,Stay In the Loop
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749220719.2023082,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749221248.0849319,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749221258.7630548,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749221280.741631,False,,
openedApp,Europe/Berlin,hackerNews,6.0,1749221300.175084,False,breathingExercise,Escape / Avoid
closedApp,Europe/Berlin,hackerNews,,1749221308.806679,False,,
closedApp,Europe/Berlin,hackerNews,,1749221328.942195,False,,
closedApp,Europe/Berlin,hackerNews,,1749221332.178314,False,,
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749223347.6455522,False,breathingExercise,Stay In the Loop
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749223810.68507,False,,
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749225305.244876,False,breathingExercise,Stay In the Loop
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749225797.101069,False,,
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749231630.8704019,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749333820.6600208,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749335648.1302109,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,6.0,1749336078.772231,False,breathingExercise,Stay In the Loop
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749231676.772301,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749335103.36978,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336102.517187,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336121.376707,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336132.130505,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336132.946426,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336135.1433702,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336200.969075,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336202.4401479,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336212.713834,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336216.756139,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336234.907844,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336291.495391,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336295.171764,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336298.884748,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336302.553154,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336345.7760692,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336360.208833,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336382.229703,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336404.7332911,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749336407.842309,False,,
openedApp,Europe/Berlin,hackerNews,6.0,1749336582.067491,False,breathingExercise,Stay In the Loop
closedApp,Europe/Berlin,hackerNews,,1749336591.2594972,False,,
closedApp,Europe/Berlin,hackerNews,,1749336597.277368,False,,
dismissedAppOpening,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,6.0,1749336860.543892,False,breathingExercise,
openedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,6.0,1749336882.523196,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,76A414B7-FCD8-4D56-B8E8-0F20DABD6466,6.0,1749338552.93888,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749378860.7967339,False,breathingExercise,Stay In the Loop
closedApp,Europe/Berlin,76A414B7-FCD8-4D56-B8E8-0F20DABD6466,,1749338579.538237,False,,
closedApp,Europe/Berlin,76A414B7-FCD8-4D56-B8E8-0F20DABD6466,,1749338588.782692,False,,
closedApp,Europe/Berlin,76A414B7-FCD8-4D56-B8E8-0F20DABD6466,,1749338645.538552,False,,
closedApp,Europe/Berlin,76A414B7-FCD8-4D56-B8E8-0F20DABD6466,,1749338682.7170339,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749378888.405179,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749379159.982316,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749379374.384338,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749337495.366444,False,,
openedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,6.0,1749382141.304801,False,breathingExercise,Escape / Avoid
openedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,6.0,1749382290.157117,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,hackerNews,6.0,1749382721.4096131,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,hackerNews,6.0,1749382940.9432468,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749383298.600477,False,breathingExercise,Stay In the Loop
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749383407.177608,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749382179.874265,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749382702.009218,False,,
closedApp,Europe/Berlin,hackerNews,,1749382728.432745,False,,
closedApp,Europe/Berlin,hackerNews,,1749382742.829087,False,,
closedApp,Europe/Berlin,hackerNews,,1749382958.554218,False,,
closedApp,Europe/Berlin,hackerNews,,1749382961.1117811,False,,
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749392456.893361,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749395922.380058,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749400285.450664,False,breathingExercise,Stay In the Loop
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749393382.805491,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749396303.452167,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749400804.002657,False,,
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749405029.832608,False,breathingExercise,Stay In the Loop
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749405032.091714,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749406313.499121,False,,
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749406503.0518,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,6.0,1749406718.126151,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749408823.088304,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749410946.927979,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749467419.2266169,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749470796.2325501,False,breathingExercise,Stay In the Loop
dismissedAppOpening,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749475589.017191,False,breathingExercise,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749406677.279052,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749409167.640648,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749411052.9766111,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749467837.839905,False,,
closedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,,1749471503.791384,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749406724.457942,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749406766.7292151,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749406767.86614,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749406835.5538092,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749406845.901279,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749406885.7965078,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749406895.443023,False,,
closedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,,1749406905.391707,False,,
openedApp,Europe/Berlin,CCC4B472-EA7A-4A61-9E1C-DFCFE73C6460,6.0,1749475607.3201652,False,breathingExercise,Stay In the Loop
openedApp,Europe/Berlin,1F585C6F-BEEC-4167-BB99-0C109027C9A9,6.0,1749476094.858416,False,breathingExercise,Stay In the Loop
