timezone,timestamp,app,isReIntervention,resolution,interventionType,interventionDuration,timeIntervalUntilReIntervention
Europe/Ljubljana,1751215936.380249,snapchat,False,openedApp,breathingExercise,6.0,60.0
Europe/Ljubljana,1751212016.193976,snapchat,False,closedApp,,,
Europe/Ljubljana,1751216004.03446,snapchat,False,closedApp,,,
Europe/Ljubljana,1751216018.011486,snapchat,True,openedApp,breathingExercise,6.0,300.0
Europe/Ljubljana,1751216129.771669,snapchat,False,closedApp,,,
Europe/Ljubljana,1751216162.990731,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751216318.723637,snapchat,False,openedApp,breathingExercise,6.0,60.0
Europe/Ljubljana,1751216318.889404,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751216392.724024,snapchat,False,closedApp,,,
Europe/Ljubljana,1751216406.9869661,snapchat,True,openedApp,breathingExercise,6.0,300.0
Europe/Ljubljana,1751216708.330799,snapchat,False,closedApp,,,
Europe/Ljubljana,1751216722.958616,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751217310.112859,snapchat,False,closedApp,,,
Europe/Ljubljana,1751217312.8402848,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751217328.557869,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751217457.466652,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751218627.4038649,snapchat,False,openedApp,breathingExercise,6.0,300.0
Europe/Ljubljana,1751218913.12427,snapchat,False,closedApp,,,
Europe/Ljubljana,1751220128.423425,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751220131.1760411,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751221194.470289,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751221725.5984,snapchat,False,closedApp,,,
Europe/Ljubljana,1751221782.8930979,snapchat,False,closedApp,,,
Europe/Ljubljana,1751222036.3966699,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751222241.867795,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751222348.4666,snapchat,False,closedApp,,,
Europe/Ljubljana,1751222360.293892,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751222873.085381,snapchat,False,openedApp,breathingExercise,6.0,420.0
Europe/Ljubljana,1751222907.868861,snapchat,False,closedApp,,,
Europe/Ljubljana,1751222932.3645911,snapchat,False,closedApp,,,
Europe/Ljubljana,1751223065.648902,snapchat,False,closedApp,,,
Europe/Ljubljana,1751223172.776077,snapchat,False,closedApp,,,
Europe/Ljubljana,1751223268.553649,snapchat,False,closedApp,,,
Europe/Ljubljana,1751223321.563395,snapchat,False,closedApp,,,
Europe/Ljubljana,1751223359.6215382,snapchat,False,closedApp,,,
Europe/Ljubljana,1751223408.147492,snapchat,False,closedApp,,,
Europe/Ljubljana,1751223423.919543,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751223958.442614,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751228796.244083,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751228828.0159268,snapchat,False,closedApp,,,
Europe/Ljubljana,1751229009.366794,snapchat,False,closedApp,,,
Europe/Ljubljana,1751230432.734261,snapchat,False,closedApp,,,
Europe/Ljubljana,1751230461.4087892,snapchat,False,closedApp,,,
Europe/Ljubljana,1751230538.679111,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751230566.959548,snapchat,False,closedApp,,,
Europe/Ljubljana,1751231874.091089,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751232780.055907,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751232944.577277,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751232834.997376,snapchat,False,closedApp,,,
Europe/Ljubljana,1751233020.964776,snapchat,False,closedApp,,,
Europe/Ljubljana,1751233179.325441,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751263446.864685,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751265218.9101639,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751266861.6241,snapchat,False,openedApp,breathingExercise,6.0,180.0
Europe/Ljubljana,1751267511.406057,snapchat,False,closedApp,,,
Europe/Ljubljana,1751274913.151206,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751274942.4647899,snapchat,False,closedApp,,,
Europe/Ljubljana,1751274979.462759,snapchat,False,closedApp,,,
Europe/Ljubljana,1751275422.5098882,snapchat,False,closedApp,,,
Europe/Ljubljana,1751276254.172752,snapchat,False,closedApp,,,
Europe/Ljubljana,1751276553.594263,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751276732.496029,snapchat,False,closedApp,,,
Europe/Ljubljana,1751276996.7196531,snapchat,False,closedApp,,,
Europe/Ljubljana,1751277105.903256,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751278639.905189,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751279159.985022,snapchat,False,closedApp,,,
Europe/Ljubljana,1751279395.714987,snapchat,False,closedApp,,,
Europe/Ljubljana,1751280869.036216,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751281147.6146421,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751281165.729711,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751282260.255018,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751281189.904498,snapchat,False,closedApp,,,
Europe/Ljubljana,1751282193.4142342,snapchat,False,closedApp,,,
Europe/Ljubljana,1751282284.969109,snapchat,False,closedApp,,,
Europe/Ljubljana,1751282402.4273338,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751282434.627777,snapchat,False,closedApp,,,
Europe/Ljubljana,1751282786.781561,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751283549.671966,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751283576.4700289,snapchat,False,closedApp,,,
Europe/Ljubljana,1751283817.4620728,snapchat,False,closedApp,,,
Europe/Ljubljana,1751285239.610344,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751285427.278489,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751285297.033072,snapchat,False,closedApp,,,
Europe/Ljubljana,1751287907.099481,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751288033.700379,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751288124.502963,snapchat,False,closedApp,,,
Europe/Ljubljana,1751288245.503325,snapchat,False,closedApp,,,
Europe/Ljubljana,1751288289.954121,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751288706.6141958,snapchat,False,closedApp,,,
Europe/Ljubljana,1751288766.987165,snapchat,False,closedApp,,,
Europe/Ljubljana,1751288780.1659908,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751291807.701796,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751291941.3884392,snapchat,False,closedApp,,,
Europe/Ljubljana,1751292045.430777,snapchat,False,closedApp,,,
Europe/Ljubljana,1751292521.093113,snapchat,False,closedApp,,,
Europe/Ljubljana,1751292535.63059,snapchat,True,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751293137.198216,snapchat,False,closedApp,,,
Europe/Ljubljana,1751293366.206486,snapchat,True,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751296372.210727,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751296390.875915,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751296444.471518,snapchat,False,closedApp,,,
Europe/Ljubljana,1751296462.911016,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751296861.0091748,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751296882.025023,snapchat,False,closedApp,,,
Europe/Ljubljana,1751297018.384324,snapchat,False,closedApp,,,
Europe/Ljubljana,1751304149.228413,appStore,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751304319.730404,appStore,False,closedApp,,,
Europe/Ljubljana,1751307503.479706,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751307519.808692,snapchat,False,openedApp,breathingExercise,6.0,420.0
Europe/Ljubljana,1751359142.3221421,appStore,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751359287.024414,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751359355.484734,snapchat,False,closedApp,,,
Europe/Ljubljana,1751361393.629848,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751361434.764817,snapchat,False,closedApp,,,
Europe/Ljubljana,1751362809.582181,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751362839.544108,snapchat,False,closedApp,,,
Europe/Ljubljana,1751362912.976561,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751363204.037327,snapchat,False,closedApp,,,
Europe/Ljubljana,1751363231.80335,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751363361.413034,snapchat,False,closedApp,,,
Europe/Ljubljana,1751363635.554909,snapchat,False,closedApp,,,
Europe/Ljubljana,1751363671.008071,snapchat,False,closedApp,,,
Europe/Ljubljana,1751364054.164929,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751364499.880264,snapchat,False,openedApp,breathingExercise,6.0,300.0
Europe/Ljubljana,1751367381.474039,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751364775.035007,snapchat,False,closedApp,,,
Europe/Ljubljana,1751365888.515223,snapchat,False,closedApp,,,
Europe/Ljubljana,1751365928.501277,snapchat,False,closedApp,,,
Europe/Ljubljana,1751366737.391546,snapchat,False,closedApp,,,
Europe/Ljubljana,1751367576.9373531,appStore,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751367603.230762,appStore,False,closedApp,,,
Europe/Ljubljana,1751367641.664793,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751367672.868763,snapchat,False,closedApp,,,
Europe/Ljubljana,1751369479.507965,appStore,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751369685.6471648,appStore,False,closedApp,,,
Europe/Ljubljana,1751369771.389842,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751370378.8804588,snapchat,False,closedApp,,,
Europe/Ljubljana,1751370485.496636,snapchat,True,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751371092.197276,snapchat,False,closedApp,,,
Europe/Ljubljana,1751371105.498884,snapchat,True,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751372214.332652,snapchat,False,closedApp,,,
Europe/Ljubljana,1751384028.2929602,snapchat,False,openedApp,breathingExercise,6.0,420.0
Europe/Ljubljana,1751384096.057314,snapchat,False,closedApp,,,
Europe/Ljubljana,1751385131.514862,snapchat,False,closedApp,,,
Europe/Ljubljana,1751385615.165166,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751385918.956204,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751386468.595973,snapchat,False,closedApp,,,
Europe/Ljubljana,1751386666.448092,snapchat,False,closedApp,,,
Europe/Ljubljana,1751386743.939276,snapchat,False,closedApp,,,
Europe/Ljubljana,1751389061.24211,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751389106.723363,snapchat,False,closedApp,,,
Europe/Ljubljana,1751390297.345199,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751390954.1970658,snapchat,False,closedApp,,,
Europe/Ljubljana,1751390985.9288979,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751391005.528384,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751391020.941211,snapchat,False,openedApp,breathingExercise,6.0,540.0
Europe/Ljubljana,1751391054.451056,snapchat,False,closedApp,,,
Europe/Ljubljana,1751391105.776192,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751391143.185752,snapchat,False,closedApp,,,
Europe/Ljubljana,1751391151.979694,snapchat,False,closedApp,,,
Europe/Ljubljana,1751391172.808302,snapchat,False,closedApp,,,
Europe/Ljubljana,1751393099.98246,snapchat,False,closedApp,,,
Europe/Ljubljana,1751393432.974897,snapchat,False,closedApp,,,
Europe/Ljubljana,1751393635.524383,snapchat,False,closedApp,,,
Europe/Ljubljana,1751393798.642016,snapchat,False,closedApp,,,
Europe/Ljubljana,1751396882.6092792,snapchat,False,openedApp,breathingExercise,6.0,420.0
Europe/Ljubljana,1751396919.134584,snapchat,False,closedApp,,,
Europe/Ljubljana,1751397176.52498,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751397218.202681,snapchat,False,closedApp,,,
Europe/Ljubljana,1751397443.047162,snapchat,False,closedApp,,,
Europe/Ljubljana,1751398667.859086,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751398735.1534,snapchat,False,closedApp,,,
Europe/Ljubljana,1751398981.470015,snapchat,False,closedApp,,,
Europe/Ljubljana,1751399120.276365,snapchat,False,closedApp,,,
Europe/Ljubljana,1751399249.355506,snapchat,False,closedApp,,,
Europe/Ljubljana,1751399559.282686,snapchat,False,closedApp,,,
Europe/Ljubljana,1751400253.118411,snapchat,False,closedApp,,,
Europe/Ljubljana,1751400444.62913,snapchat,False,closedApp,,,
Europe/Ljubljana,1751401280.111505,snapchat,False,closedApp,,,
Europe/Ljubljana,1751403181.4955158,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751403213.65312,snapchat,False,closedApp,,,
Europe/Ljubljana,1751403363.663224,snapchat,False,closedApp,,,
Europe/Ljubljana,1751403422.3657498,snapchat,False,closedApp,,,
Europe/Ljubljana,1751403634.643838,snapchat,False,closedApp,,,
Europe/Ljubljana,1751403823.4193602,snapchat,False,closedApp,,,
Europe/Ljubljana,1751403948.7649999,snapchat,False,closedApp,,,
Europe/Ljubljana,1751404082.6628861,snapchat,False,closedApp,,,
Europe/Ljubljana,1751404128.7664719,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751404152.074883,appStore,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751404255.402172,appStore,False,openedApp,breathingExercise,6.0,540.0
Europe/Ljubljana,1751404270.368671,appStore,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751404311.016603,appStore,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751404429.49699,appStore,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751404647.238666,snapchat,False,openedApp,breathingExercise,6.0,420.0
Europe/Ljubljana,1751438808.454387,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751404897.657727,snapchat,False,closedApp,,,
Europe/Ljubljana,1751405091.1199489,snapchat,False,closedApp,,,
Europe/Ljubljana,1751405183.306147,snapchat,False,closedApp,,,
Europe/Ljubljana,1751438829.479402,snapchat,False,closedApp,,,
Europe/Ljubljana,1751439120.7737741,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751439235.308991,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751445708.338666,snapchat,False,openedApp,breathingExercise,6.0,540.0
Europe/Ljubljana,1751445816.1916509,snapchat,False,closedApp,,,
Europe/Ljubljana,1751450302.6563768,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751450323.808279,snapchat,False,closedApp,,,
Europe/Ljubljana,1751450535.1250849,snapchat,False,openedApp,breathingExercise,6.0,420.0
Europe/Ljubljana,1751450556.630999,snapchat,False,closedApp,,,
Europe/Ljubljana,1751450796.380258,snapchat,False,closedApp,,,
Europe/Ljubljana,1751451207.695949,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751458590.57416,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751458614.543484,snapchat,False,closedApp,,,
Europe/Ljubljana,1751458634.591155,appStore,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751458676.475826,appStore,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751463998.201792,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751464604.3374848,snapchat,False,closedApp,,,
Europe/Ljubljana,1751472500.605725,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751473101.271805,snapchat,False,closedApp,,,
Europe/Ljubljana,1751473118.784833,appStore,False,openedApp,breathingExercise,6.0,420.0
Europe/Ljubljana,1751473119.016015,appStore,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751473246.6165562,appStore,False,closedApp,,,
Europe/Ljubljana,1751479336.858063,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751479378.0246801,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751479423.117923,snapchat,False,closedApp,,,
Europe/Ljubljana,1751479568.811202,snapchat,False,closedApp,,,
Europe/Ljubljana,1751479773.036253,snapchat,False,closedApp,,,
Europe/Ljubljana,1751480904.0068989,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751480964.0688128,snapchat,False,closedApp,,,
Europe/Ljubljana,1751482858.6449718,snapchat,False,openedApp,breathingExercise,6.0,360.0
Europe/Ljubljana,1751487622.70814,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751482889.39234,snapchat,False,closedApp,,,
Europe/Ljubljana,1751482944.845823,snapchat,False,closedApp,,,
Europe/Ljubljana,1751483139.690064,snapchat,False,closedApp,,,
Europe/Ljubljana,1751483392.002802,snapchat,False,closedApp,,,
Europe/Ljubljana,1751484042.9881,snapchat,False,closedApp,,,
Europe/Ljubljana,1751484317.096209,snapchat,False,closedApp,,,
Europe/Ljubljana,1751520787.068126,snapchat,False,openedApp,breathingExercise,6.0,540.0
Europe/Ljubljana,1751520787.3467689,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751520931.954132,snapchat,False,closedApp,,,
Europe/Ljubljana,1751522705.150782,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751523336.107147,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751523432.110081,snapchat,False,closedApp,,,
Europe/Ljubljana,1751524358.834369,snapchat,False,closedApp,,,
Europe/Ljubljana,1751526723.406609,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751527424.965804,snapchat,False,closedApp,,,
Europe/Ljubljana,1751530318.8172832,snapchat,False,closedApp,,,
Europe/Ljubljana,1751531582.8944159,snapchat,False,openedApp,breathingExercise,6.0,300.0
Europe/Ljubljana,1751532754.496136,snapchat,False,openedApp,breathingExercise,6.0,420.0
Europe/Ljubljana,1751531629.684236,snapchat,False,closedApp,,,
Europe/Ljubljana,1751531759.37674,snapchat,False,closedApp,,,
Europe/Ljubljana,1751532800.5384011,snapchat,False,closedApp,,,
Europe/Ljubljana,1751532833.1611161,snapchat,False,closedApp,,,
Europe/Ljubljana,1751533093.073386,snapchat,False,closedApp,,,
Europe/Ljubljana,1751533107.142451,snapchat,False,closedApp,,,
Europe/Ljubljana,1751533184.530401,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751533265.496541,snapchat,False,closedApp,,,
Europe/Ljubljana,1751536153.364911,snapchat,False,openedApp,breathingExercise,6.0,360.0
Europe/Ljubljana,1751536210.4572248,snapchat,False,closedApp,,,
Europe/Ljubljana,1751536249.288766,snapchat,False,closedApp,,,
Europe/Ljubljana,1751536846.387199,snapchat,False,openedApp,breathingExercise,6.0,540.0
Europe/Ljubljana,1751536955.3464,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751537347.7896771,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751536864.786041,snapchat,False,closedApp,,,
Europe/Ljubljana,1751536984.89483,snapchat,False,closedApp,,,
Europe/Ljubljana,1751537393.0084991,snapchat,False,closedApp,,,
Europe/Ljubljana,1751537429.6169739,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751537639.672165,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751537456.471043,snapchat,False,closedApp,,,
Europe/Ljubljana,1751537596.395481,snapchat,False,closedApp,,,
Europe/Ljubljana,1751537912.103553,snapchat,False,closedApp,,,
Europe/Ljubljana,1751538142.05051,appStore,False,closedApp,,,
Europe/Ljubljana,1751538533.63955,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751538617.067265,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751538583.257206,snapchat,False,closedApp,,,
Europe/Ljubljana,1751538824.5330582,snapchat,False,closedApp,,,
Europe/Ljubljana,1751538900.2045531,appStore,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751538930.095738,appStore,False,closedApp,,,
Europe/Ljubljana,1751541194.768189,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751541218.024111,snapchat,False,closedApp,,,
Europe/Ljubljana,1751541426.279629,snapchat,False,closedApp,,,
Europe/Ljubljana,1751541495.497488,snapchat,False,closedApp,,,
Europe/Ljubljana,1751541614.325923,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751541642.3107119,snapchat,False,closedApp,,,
Europe/Ljubljana,1751543751.6803908,snapchat,False,openedApp,breathingExercise,6.0,600.0
Europe/Ljubljana,1751543917.255669,snapchat,False,closedApp,,,
Europe/Ljubljana,1751551308.7697,snapchat,False,openedApp,breathingExercise,6.0,540.0
Europe/Ljubljana,1751551373.5493,snapchat,False,closedApp,,,
Europe/Ljubljana,1751551869.09221,snapchat,False,closedApp,,,
Europe/Ljubljana,1751551982.23932,snapchat,False,closedApp,,,
