interventionDuration,timezone,interventionType,timestamp,resolution,app,isReIntervention
6,Europe/Madrid,breathingExercise,1749503061.3332539,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749503083.08293,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749504427.843137,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749532323.14151,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749533135.288841,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749534240.120446,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749534260.0020099,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749534869.8159208,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749535359.8832889,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749535364.855116,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749535612.9036899,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749538256.3334532,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749538362.3645291,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749542265.4062471,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749542293.236752,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749549606.2458692,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749551444.7506618,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749552426.741585,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749552625.501147,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749556478.377623,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749558772.1393619,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749559658.541708,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749572452.830305,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749572973.151995,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749574292.108883,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749586635.429322,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749586664.73764,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749587935.576391,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749590525.789019,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749591184.1476378,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749591202.518966,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749620891.247683,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749621492.252225,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749626724.920477,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749629469.214483,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749640528.983685,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749641366.036809,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749641949.302331,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749641999.483138,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749642246.948518,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749643699.615911,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749645794.327704,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749645822.729135,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749650550.59518,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749650852.3929682,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749652306.367805,openedApp,instagram,False
