resolution,timestamp,app,interventionDuration,timezone,isReIntervention,interventionType
dismissedAppOpening,1752822624.8266602,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1752826781.4805079,youtube,,Asia/Kolkata,False,
closedApp,1752828037.607253,youtube,,Asia/Kolkata,False,
closedApp,1752828255.903318,youtube,,Asia/Kolkata,False,
closedApp,1752828443.8578749,youtube,,Asia/Kolkata,False,
closedApp,1752828762.701937,youtube,,Asia/Kolkata,False,
closedApp,1752828767.04425,youtube,,Asia/Kolkata,False,
openedApp,1752828791.5316648,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1752828791.873872,youtube,,Asia/Kolkata,False,
closedApp,1752828823.641183,youtube,,Asia/Kolkata,False,
closedApp,1752828830.508014,youtube,,Asia/Kolkata,False,
openedApp,1752828852.786026,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1752828853.044672,youtube,,Asia/Kolkata,False,
closedApp,1752830660.024214,youtube,,Asia/Kolkata,False,
closedApp,1752830716.498889,youtube,,Asia/Kolkata,False,
closedApp,1752836502.003302,youtube,,Asia/Kolkata,False,
closedApp,1752843563.641252,youtube,,Asia/Kolkata,False,
closedApp,1752843585.5779529,youtube,,Asia/Kolkata,False,
closedApp,1752843600.546811,youtube,,Asia/Kolkata,False,
closedApp,1752843633.348768,youtube,,Asia/Kolkata,False,
closedApp,1752843655.697021,youtube,,Asia/Kolkata,False,
closedApp,1752843681.177459,youtube,,Asia/Kolkata,False,
closedApp,1752843704.18299,youtube,,Asia/Kolkata,False,
closedApp,1752843731.1025481,youtube,,Asia/Kolkata,False,
closedApp,1752843750.510418,youtube,,Asia/Kolkata,False,
closedApp,1752843758.569734,youtube,,Asia/Kolkata,False,
dismissedAppOpening,1752843766.359243,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752843768.46748,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752843770.714261,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752843793.659669,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1752843793.996608,youtube,,Asia/Kolkata,False,
closedApp,1752843876.325556,youtube,,Asia/Kolkata,False,
closedApp,1752843881.8848782,youtube,,Asia/Kolkata,False,
closedApp,1752843943.797971,youtube,,Asia/Kolkata,False,
closedApp,1752843967.561614,youtube,,Asia/Kolkata,False,
closedApp,1752843983.817173,youtube,,Asia/Kolkata,False,
closedApp,1752844001.937502,youtube,,Asia/Kolkata,False,
closedApp,1752844020.419601,youtube,,Asia/Kolkata,False,
closedApp,1752844036.5219002,youtube,,Asia/Kolkata,False,
closedApp,1752844051.712717,youtube,,Asia/Kolkata,False,
closedApp,1752844072.888997,youtube,,Asia/Kolkata,False,
dismissedAppOpening,1752844085.664863,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752844090.6339788,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1752844099.199914,youtube,,Asia/Kolkata,False,
closedApp,1752844298.937258,youtube,,Asia/Kolkata,False,
closedApp,1752844305.287939,youtube,,Asia/Kolkata,False,
closedApp,1752844321.666747,youtube,,Asia/Kolkata,False,
closedApp,1752844347.5915809,youtube,,Asia/Kolkata,False,
closedApp,1752844670.038598,youtube,,Asia/Kolkata,False,
closedApp,1752849704.444116,youtube,,Asia/Kolkata,False,
closedApp,1752896313.3294659,youtube,,Asia/Kolkata,False,
closedApp,1752896594.02266,youtube,,Asia/Kolkata,False,
closedApp,1752897147.1129599,youtube,,Asia/Kolkata,False,
closedApp,1752897160.446845,youtube,,Asia/Kolkata,False,
closedApp,1752897183.229785,youtube,,Asia/Kolkata,False,
closedApp,1752898204.603997,youtube,,Asia/Kolkata,False,
closedApp,1752898352.3989558,youtube,,Asia/Kolkata,False,
closedApp,1752898705.57286,youtube,,Asia/Kolkata,False,
closedApp,1752898825.4361172,youtube,,Asia/Kolkata,False,
closedApp,1752898891.1024342,youtube,,Asia/Kolkata,False,
closedApp,1752898908.349973,youtube,,Asia/Kolkata,False,
closedApp,1752898926.5848532,youtube,,Asia/Kolkata,False,
closedApp,1752899216.601335,youtube,,Asia/Kolkata,False,
closedApp,1752899662.620082,youtube,,Asia/Kolkata,False,
closedApp,1752900068.2281451,youtube,,Asia/Kolkata,False,
closedApp,1752900204.89624,youtube,,Asia/Kolkata,False,
closedApp,1752910853.207735,youtube,,Asia/Kolkata,False,
closedApp,1752910942.191942,youtube,,Asia/Kolkata,False,
openedApp,1752914878.9963489,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1752914879.3057132,youtube,,Asia/Kolkata,False,
closedApp,1752914971.6271172,youtube,,Asia/Kolkata,False,
closedApp,1752914977.819343,youtube,,Asia/Kolkata,False,
closedApp,1752915135.550043,youtube,,Asia/Kolkata,False,
closedApp,1752915167.54431,youtube,,Asia/Kolkata,False,
closedApp,1752915224.5931349,youtube,,Asia/Kolkata,False,
closedApp,1752915233.709389,youtube,,Asia/Kolkata,False,
closedApp,1752915318.9123812,youtube,,Asia/Kolkata,False,
closedApp,1752924099.124826,youtube,,Asia/Kolkata,False,
closedApp,1752924331.294585,youtube,,Asia/Kolkata,False,
closedApp,1752924333.663424,youtube,,Asia/Kolkata,False,
closedApp,1752924461.331327,youtube,,Asia/Kolkata,False,
closedApp,1752924810.7347832,youtube,,Asia/Kolkata,False,
closedApp,1752925590.017942,youtube,,Asia/Kolkata,False,
closedApp,1752926931.6664639,youtube,,Asia/Kolkata,False,
closedApp,1752927302.965917,youtube,,Asia/Kolkata,False,
closedApp,1752937968.839026,youtube,,Asia/Kolkata,False,
openedApp,1752937992.1097388,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1752937992.42176,youtube,,Asia/Kolkata,False,
closedApp,1752938212.884704,youtube,,Asia/Kolkata,False,
closedApp,1752938217.786745,youtube,,Asia/Kolkata,False,
dismissedAppOpening,1752938225.878807,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1752938236.951579,youtube,,Asia/Kolkata,False,
closedApp,1752938249.996593,youtube,,Asia/Kolkata,False,
closedApp,1752938464.4953609,youtube,,Asia/Kolkata,False,
closedApp,1752940168.4129,youtube,,Asia/Kolkata,False,
closedApp,1752940311.029489,youtube,,Asia/Kolkata,False,
closedApp,1752941546.072407,youtube,,Asia/Kolkata,False,
closedApp,1752941625.791583,youtube,,Asia/Kolkata,False,
closedApp,1752941636.282609,youtube,,Asia/Kolkata,False,
closedApp,1752941651.90132,youtube,,Asia/Kolkata,False,
closedApp,1752941664.664695,youtube,,Asia/Kolkata,False,
closedApp,1752941704.6781,youtube,,Asia/Kolkata,False,
closedApp,1752941708.323913,youtube,,Asia/Kolkata,False,
closedApp,1752941755.539571,youtube,,Asia/Kolkata,False,
closedApp,1752941765.3740768,youtube,,Asia/Kolkata,False,
closedApp,1752941781.260929,youtube,,Asia/Kolkata,False,
closedApp,1752941801.4833279,youtube,,Asia/Kolkata,False,
closedApp,1752941826.802561,youtube,,Asia/Kolkata,False,
closedApp,1752941845.316612,youtube,,Asia/Kolkata,False,
closedApp,1752941857.142869,youtube,,Asia/Kolkata,False,
closedApp,1752941876.453642,youtube,,Asia/Kolkata,False,
closedApp,1752941895.1641989,youtube,,Asia/Kolkata,False,
closedApp,1752941922.77634,youtube,,Asia/Kolkata,False,
closedApp,1752941941.803712,youtube,,Asia/Kolkata,False,
closedApp,1752942000.073695,youtube,,Asia/Kolkata,False,
closedApp,1752942016.345912,youtube,,Asia/Kolkata,False,
closedApp,1752942020.835552,youtube,,Asia/Kolkata,False,
closedApp,1752942044.756736,youtube,,Asia/Kolkata,False,
closedApp,1752942049.5853782,youtube,,Asia/Kolkata,False,
