timezone,resolution,timestamp,interventionDuration,app,interventionType,isReIntervention,timeIntervalUntilReIntervention,purpose
Australia/Melbourne,dismissedAppOpening,1750935048.4490042,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1750935111.640537,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750935913.05157,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1750935931.37116,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1750935947.0805678,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750936133.82169,,tikTok,,False,,
Australia/Melbourne,openedApp,1750941837.050055,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750942350.038897,,tikTok,,False,,
Australia/Melbourne,closedApp,1750942783.190295,,tikTok,,False,,
Australia/Melbourne,openedApp,1751014615.207456,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751015545.0457768,,tikTok,,False,,
Australia/Melbourne,openedApp,1751015662.083672,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751015928.660143,,tikTok,,False,,
Australia/Melbourne,closedApp,1751016169.6830978,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751016234.37467,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751016248.519925,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751016335.1978889,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751016495.2873712,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751016656.676876,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751016824.600295,,tikTok,,False,,
Australia/Melbourne,openedApp,1751017989.17879,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,dismissedAppOpening,1751018330.835291,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751018218.059864,,tikTok,,False,,
Australia/Melbourne,openedApp,1751020001.0280519,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751021928.160347,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751020118.630404,,tikTok,,False,,
Australia/Melbourne,openedApp,1751025286.087669,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751025421.882112,,tikTok,,False,,
Australia/Melbourne,openedApp,1751059616.139215,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751079491.744297,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751060808.403269,,tikTok,,False,,
Australia/Melbourne,closedApp,1751061215.443105,,tikTok,,False,,
Australia/Melbourne,closedApp,1751061735.7781692,,tikTok,,False,,
Australia/Melbourne,closedApp,1751079604.662605,,tikTok,,False,,
Australia/Melbourne,closedApp,1751079628.627279,,tikTok,,False,,
Australia/Melbourne,openedApp,1751080157.131576,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751080325.0538468,,tikTok,,False,,
Australia/Melbourne,openedApp,1751096916.552136,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751097041.436452,,tikTok,,False,,
Australia/Melbourne,openedApp,1751097332.337802,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751098436.592202,,tikTok,,False,,
Australia/Melbourne,openedApp,1751113371.318476,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751114208.303022,,tikTok,,False,,
Australia/Melbourne,closedApp,1751114613.8563452,,tikTok,,False,,
Australia/Melbourne,openedApp,1751116264.954797,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751116598.709828,,tikTok,,False,,
Australia/Melbourne,openedApp,1751116622.690141,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751116691.1893911,,tikTok,,False,,
Australia/Melbourne,openedApp,1751121505.109232,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751121645.717483,,tikTok,,False,,
Australia/Melbourne,openedApp,1751121673.2957978,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751121946.4353771,,tikTok,,False,,
Australia/Melbourne,openedApp,1751122419.7325659,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751122558.562117,,tikTok,,False,,
Australia/Melbourne,openedApp,1751122643.972708,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751123144.726052,,tikTok,,False,,
Australia/Melbourne,openedApp,1751150043.8609772,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751150694.990052,,tikTok,,False,,
Australia/Melbourne,openedApp,1751150735.290416,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751154295.5327802,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751154419.818435,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,dismissedAppOpening,1751154423.035084,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751166675.877239,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751166747.976233,,tikTok,,False,,
Australia/Melbourne,openedApp,1751176400.8388128,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751176425.499092,,tikTok,,False,,
Australia/Melbourne,openedApp,1751178749.945813,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751178870.111302,,tikTok,,False,,
Australia/Melbourne,openedApp,1751201898.660729,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751202478.052943,,tikTok,,False,,
Australia/Melbourne,openedApp,1751203313.036792,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751206077.086303,,tikTok,,False,,
Australia/Melbourne,openedApp,1751235994.870368,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751236302.216193,,tikTok,,False,,
Australia/Melbourne,openedApp,1751236435.278026,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751236659.475803,,tikTok,,False,,
Australia/Melbourne,openedApp,1751237098.588784,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751237560.326312,,tikTok,,False,,
Australia/Melbourne,openedApp,1751237592.687681,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751238281.1498609,,tikTok,,False,,
Australia/Melbourne,openedApp,1751238313.850964,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751240137.617872,,tikTok,,False,,
Australia/Melbourne,closedApp,1751240601.556165,,tikTok,,False,,
Australia/Melbourne,openedApp,1751259378.211114,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751259703.5442472,,tikTok,,False,,
Australia/Melbourne,closedApp,1751260410.883306,,tikTok,,False,,
Australia/Melbourne,closedApp,1751260444.559428,,tikTok,,False,,
Australia/Melbourne,closedApp,1751260632.442078,,tikTok,,False,,
Australia/Melbourne,openedApp,1751262919.107784,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751262982.721101,,tikTok,,False,,
Australia/Melbourne,closedApp,1751263075.5978851,,tikTok,,False,,
Australia/Melbourne,closedApp,1751263861.882844,,tikTok,,False,,
Australia/Melbourne,closedApp,1751265486.875033,,tikTok,,False,,
Australia/Melbourne,openedApp,1751265506.950166,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751266633.762052,,tikTok,,False,,
Australia/Melbourne,openedApp,1751268418.675733,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751268454.351005,,tikTok,,False,,
Australia/Melbourne,openedApp,1751331311.018966,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751331354.4172502,,tikTok,,False,,
Australia/Melbourne,openedApp,1751340825.291894,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751341945.600126,,tikTok,,False,,
Australia/Melbourne,closedApp,1751342168.108766,,tikTok,,False,,
Australia/Melbourne,openedApp,1751345828.977151,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751346401.09686,,tikTok,,False,,
Australia/Melbourne,openedApp,1751350154.2549748,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751350412.786749,,tikTok,,False,,
Australia/Melbourne,openedApp,1751360307.9846559,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751360343.997412,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751369973.813019,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,dismissedAppOpening,1751370036.312324,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,dismissedAppOpening,1751370136.799336,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751417679.2494612,6.0,tikTok,breathingExercise,False,300.0,
Australia/Melbourne,closedApp,1751417999.0955029,,tikTok,,False,,
Australia/Melbourne,openedApp,1751444805.485351,6.0,tikTok,breathingExercise,False,600.0,
Australia/Melbourne,closedApp,1751445054.384423,,tikTok,,False,,
Australia/Melbourne,closedApp,1751445209.237098,,tikTok,,False,,
Australia/Melbourne,closedApp,1751445420.7720752,,tikTok,,False,,
Australia/Melbourne,openedApp,1751445614.45311,6.0,tikTok,breathingExercise,False,720.0,
Australia/Melbourne,closedApp,1751445682.7786288,,tikTok,,False,,
Australia/Melbourne,closedApp,1751447479.295361,,tikTok,,False,,
Australia/Melbourne,openedApp,1751448366.009279,6.0,tikTok,breathingExercise,False,540.0,
Australia/Melbourne,closedApp,1751448542.15961,,tikTok,,False,,
Australia/Melbourne,closedApp,1751448855.513561,,tikTok,,False,,
Australia/Melbourne,closedApp,1751449264.382516,,tikTok,,False,,
Australia/Melbourne,openedApp,1751451292.264257,6.0,tikTok,breathingExercise,False,300.0,
Australia/Melbourne,closedApp,1751451589.172474,,tikTok,,False,,
Australia/Melbourne,closedApp,1751451642.087955,,tikTok,,False,,
Australia/Melbourne,openedApp,1751452191.171601,6.0,tikTok,breathingExercise,False,1200.0,
Australia/Melbourne,openedApp,1751455749.247272,6.0,tikTok,breathingExercise,False,420.0,
Australia/Melbourne,closedApp,1751452529.126787,,tikTok,,False,,
Australia/Melbourne,closedApp,1751456176.936578,,tikTok,,False,,
Australia/Melbourne,openedApp,1751500586.9628081,6.0,tikTok,breathingExercise,False,540.0,
Australia/Melbourne,closedApp,1751500724.865728,,tikTok,,False,,
Australia/Melbourne,openedApp,1751502338.4630609,6.0,tikTok,breathingExercise,False,1260.0,
Australia/Melbourne,closedApp,1751503601.246299,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751503721.686383,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751507576.042354,6.0,tikTok,breathingExercise,False,600.0,
Australia/Melbourne,closedApp,1751508189.7385669,,tikTok,,False,,
Australia/Melbourne,openedApp,1751535929.438309,6.0,tikTok,breathingExercise,False,1140.0,
Australia/Melbourne,closedApp,1751536036.5952811,,tikTok,,False,,
Australia/Melbourne,openedApp,1751536089.309176,6.0,tikTok,breathingExercise,False,1200.0,
Australia/Melbourne,closedApp,1751536749.076715,,tikTok,,False,,
Australia/Melbourne,openedApp,1751576321.656625,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751577908.7596211,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751577925.5417418,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751601299.563171,6.0,tikTok,breathingExercise,False,180.0,
Australia/Melbourne,openedApp,1751601378.0470629,6.0,tikTok,breathingExercise,False,180.0,
Australia/Melbourne,closedApp,1751601338.13677,,tikTok,,False,,
Australia/Melbourne,closedApp,1751601558.720005,,tikTok,,False,,
Australia/Melbourne,closedApp,1751616163.392043,,tikTok,,False,,
Australia/Melbourne,openedApp,1751619035.213651,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751619312.3776522,,tikTok,,False,,
Australia/Melbourne,openedApp,1751619363.241129,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751619710.175998,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751619786.158673,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751620086.109376,6.0,tikTok,breathingExercise,False,960.0,
Australia/Melbourne,closedApp,1751620321.773188,,tikTok,,False,,
Australia/Melbourne,openedApp,1751664575.326874,6.0,tikTok,breathingExercise,False,420.0,
Australia/Melbourne,closedApp,1751665003.1419492,,tikTok,,False,,
Australia/Melbourne,openedApp,1751665209.484036,6.0,tikTok,breathingExercise,False,300.0,
Australia/Melbourne,closedApp,1751665515.9793792,,tikTok,,False,,
Australia/Melbourne,openedApp,1751701712.1570358,6.0,tikTok,breathingExercise,False,1200.0,
Australia/Melbourne,closedApp,1751702124.789572,,tikTok,,False,,
Australia/Melbourne,closedApp,1751702131.2863688,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751702138.5613651,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751705085.8033671,6.0,tikTok,breathingExercise,False,600.0,
Australia/Melbourne,openedApp,1751717940.3071818,6.0,tikTok,breathingExercise,False,1080.0,
Australia/Melbourne,closedApp,1751705409.902075,,tikTok,,False,,
Australia/Melbourne,closedApp,1751718345.40154,,tikTok,,False,,
Australia/Melbourne,openedApp,1751718389.595665,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751719073.067597,,tikTok,,False,,
Australia/Melbourne,openedApp,1751719092.278088,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751720969.5733209,,tikTok,,False,,
Australia/Melbourne,openedApp,1751721152.7664351,6.0,tikTok,breathingExercise,False,1140.0,
Australia/Melbourne,openedApp,1751754569.645077,6.0,tikTok,breathingExercise,False,1200.0,
Australia/Melbourne,closedApp,1751754607.576648,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751754621.0766912,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751754643.00159,6.0,tikTok,breathingExercise,False,900.0,
Australia/Melbourne,closedApp,1751755550.3614311,,tikTok,,False,,
Australia/Melbourne,openedApp,1751755788.501946,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751758504.80252,,tikTok,,False,,
Australia/Melbourne,closedApp,1751758776.860421,,tikTok,,False,,
Australia/Melbourne,openedApp,1751760227.075151,6.0,tikTok,breathingExercise,False,1260.0,
Australia/Melbourne,closedApp,1751760267.195935,,tikTok,,False,,
Australia/Melbourne,openedApp,1751760316.673562,6.0,tikTok,breathingExercise,False,1260.0,
Australia/Melbourne,closedApp,1751761585.4582481,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751761596.3506808,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751762904.865165,6.0,tikTok,breathingExercise,False,600.0,
Australia/Melbourne,closedApp,1751763517.2109141,,tikTok,,False,,
Australia/Melbourne,openedApp,1751768387.595798,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751768493.2641048,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751768616.328205,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751771207.102385,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751773211.117892,,tikTok,,False,,
Australia/Melbourne,openedApp,1751774690.193847,6.0,tikTok,breathingExercise,False,1020.0,
Australia/Melbourne,closedApp,1751774994.705318,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751776726.5460792,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,dismissedAppOpening,1751776900.817105,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751777110.3452249,6.0,tikTok,breathingExercise,False,660.0,
Australia/Melbourne,closedApp,1751777221.062963,,tikTok,,False,,
Australia/Melbourne,openedApp,1751777352.790065,6.0,tikTok,breathingExercise,False,600.0,
Australia/Melbourne,closedApp,1751777830.60659,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751777841.894366,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751779486.9736,6.0,tikTok,breathingExercise,False,60.0,
Australia/Melbourne,closedApp,1751779557.2213569,,tikTok,,False,,
Australia/Melbourne,openedApp,1751792754.756871,6.0,tikTok,breathingExercise,False,1620.0,
Australia/Melbourne,closedApp,1751793003.505583,,tikTok,,False,,
Australia/Melbourne,closedApp,1751793394.6398559,,tikTok,,False,,
Australia/Melbourne,openedApp,1751793514.8005571,6.0,tikTok,breathingExercise,False,1620.0,
Australia/Melbourne,closedApp,1751793911.264457,,tikTok,,False,,
Australia/Melbourne,closedApp,1751793921.9922109,,tikTok,,False,,
Australia/Melbourne,closedApp,1751793978.252159,,tikTok,,False,,
Australia/Melbourne,openedApp,1751794226.886056,6.0,tikTok,breathingExercise,False,1560.0,
Australia/Melbourne,closedApp,1751794622.781671,,tikTok,,False,,
Australia/Melbourne,openedApp,1751800900.753738,6.0,tikTok,breathingExercise,False,1020.0,
Australia/Melbourne,closedApp,1751801016.185237,,tikTok,,False,,
Australia/Melbourne,closedApp,1751801516.8556318,,tikTok,,False,,
Australia/Melbourne,openedApp,1751809811.8869882,6.0,tikTok,breathingExercise,False,1320.0,
Australia/Melbourne,closedApp,1751811144.8442822,,tikTok,,False,,
Australia/Melbourne,openedApp,1751841970.06664,6.0,tikTok,breathingExercise,False,600.0,
Australia/Melbourne,closedApp,1751844261.26966,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751844291.583087,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751856135.929939,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1751856308.927388,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751856343.391697,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1751866564.441474,6.0,tikTok,breathingExercise,False,840.0,
Australia/Melbourne,closedApp,1751867414.601026,,tikTok,,False,,
Australia/Melbourne,openedApp,1751867454.35424,6.0,tikTok,breathingExercise,False,1140.0,
Australia/Melbourne,closedApp,1751868484.190409,,tikTok,,False,,
Australia/Melbourne,closedApp,1751868742.07531,,tikTok,,False,,
Australia/Melbourne,openedApp,1751870010.318991,6.0,tikTok,breathingExercise,False,720.0,
Australia/Melbourne,closedApp,1751870501.762542,,tikTok,,False,,
Australia/Melbourne,openedApp,1751944104.273837,6.0,tikTok,breathingExercise,False,600.0,
Australia/Melbourne,closedApp,1751944715.19469,,tikTok,,False,,
Australia/Melbourne,openedApp,1751944732.596662,6.0,tikTok,breathingExercise,False,900.0,
Australia/Melbourne,closedApp,1751945629.6566,,tikTok,,False,,
Australia/Melbourne,openedApp,1751964351.7646651,6.0,tikTok,breathingExercise,False,840.0,
Australia/Melbourne,closedApp,1751964418.614595,,tikTok,,False,,
Australia/Melbourne,closedApp,1751964599.695308,,tikTok,,False,,
Australia/Melbourne,openedApp,1751972067.7347798,6.0,tikTok,breathingExercise,False,540.0,
Australia/Melbourne,closedApp,1751972827.4601479,,tikTok,,False,,
Australia/Melbourne,openedApp,1751972847.2092252,6.0,tikTok,breathingExercise,False,1020.0,
Australia/Melbourne,closedApp,1751973334.578354,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1751973360.3541741,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1752012131.7700028,6.0,tikTok,breathingExercise,False,780.0,
Australia/Melbourne,closedApp,1752012922.890328,,tikTok,,False,,
Australia/Melbourne,openedApp,1752014825.540464,6.0,tikTok,breathingExercise,False,900.0,
Australia/Melbourne,closedApp,1752014949.181874,,tikTok,,False,,
Australia/Melbourne,openedApp,1752015016.9872441,6.0,tikTok,breathingExercise,False,840.0,
Australia/Melbourne,closedApp,1752015592.033646,,tikTok,,False,,
Australia/Melbourne,openedApp,1752032845.993413,6.0,tikTok,breathingExercise,False,960.0,
