resolution,timezone,timestamp,interventionType,isReIntervention,interventionDuration,app
dismissedAppOpening,America/Mexico_City,1750093295.551153,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750093306.4899511,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750095745.0837312,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750099494.539381,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750123188.2373939,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750123239.1288018,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750124521.728147,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750124535.78844,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750133832.241065,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750136471.812341,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750136757.871372,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750139751.228345,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750142634.116403,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750175022.2698588,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750175515.981748,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750175740.3284202,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750175750.70328,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750175862.9555721,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750176774.3107529,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750178463.144311,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750179773.091182,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750191953.573442,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750204469.722375,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750210912.4383159,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750220290.688731,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750224149.939961,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750224727.560515,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750227329.244423,breathingExercise,False,6,instagram
