interventionDuration,app,resolution,isReIntervention,timezone,interventionType,timestamp,timeIntervalUntilReIntervention,purpose
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751459593.349111,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751459681.7029948,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751473841.6871638,180.0,
,instagram,closedApp,False,Asia/Kolkata,,1751474025.8023481,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751484307.175396,180.0,
,instagram,closedApp,False,Asia/Kolkata,,1751484367.013402,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751549671.2773361,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751549742.991076,,
,instagram,openedApp,False,Asia/Kolkata,,1751549982.305752,,
,instagram,closedApp,False,Asia/Kolkata,,1751550042.305753,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751550042.305753,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751551040.78848,,
,instagram,openedApp,False,Asia/Kolkata,,1751552100.417852,,
,instagram,closedApp,False,Asia/Kolkata,,1751552160.417852,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751552160.417852,,
,instagram,openedApp,False,Asia/Kolkata,,1751573685.052901,,
,instagram,closedApp,False,Asia/Kolkata,,1751573745.052901,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751573745.052901,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751588433.57654,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751638100.571867,,
,instagram,openedApp,False,Asia/Kolkata,,1751588495.816451,,
,instagram,closedApp,False,Asia/Kolkata,,1751588555.816452,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751588555.816453,,
,instagram,openedApp,False,Asia/Kolkata,,1751638017.6335192,,
,instagram,closedApp,False,Asia/Kolkata,,1751638077.6335201,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751638077.6335201,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751681765.369009,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751681963.409618,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751682282.245171,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751682418.10115,,
,instagram,openedApp,False,Asia/Kolkata,,1751687621.100381,,
,instagram,closedApp,False,Asia/Kolkata,,1751687681.100381,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751687681.100381,,
,instagram,openedApp,False,Asia/Kolkata,,1751687622.96907,,
,instagram,closedApp,False,Asia/Kolkata,,1751687682.969071,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751687682.969071,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751687699.376872,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751688608.4009871,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751696926.6213899,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751697093.617219,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751699582.946567,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751701949.4563,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751702089.160602,,
,instagram,openedApp,False,Asia/Kolkata,,1751705555.967287,,
,instagram,closedApp,False,Asia/Kolkata,,1751705615.967288,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751705615.967288,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751706916.959269,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751707135.107751,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751709168.979742,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751712443.748168,,
,instagram,openedApp,False,Asia/Kolkata,,1751707256.718858,,
,instagram,closedApp,False,Asia/Kolkata,,1751707316.718859,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751707316.718859,,
,instagram,openedApp,False,Asia/Kolkata,,1751707935.969936,,
,instagram,closedApp,False,Asia/Kolkata,,1751707995.9699368,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751707995.9699368,,
,instagram,openedApp,False,Asia/Kolkata,,1751717294.125874,,
,instagram,closedApp,False,Asia/Kolkata,,1751717354.125874,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751717354.125874,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751717453.5488029,,
,instagram,openedApp,False,Asia/Kolkata,,1751740345.7915359,,
,instagram,closedApp,False,Asia/Kolkata,,1751740405.7915359,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751740405.791537,,
,instagram,openedApp,False,Asia/Kolkata,,1751744272.335658,,
,instagram,closedApp,False,Asia/Kolkata,,1751744332.335659,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751744332.335659,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751744402.774881,,
,instagram,openedApp,False,Asia/Kolkata,,1751765771.412833,,
,instagram,closedApp,False,Asia/Kolkata,,1751765831.4128342,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751765831.4128342,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751766889.840841,,
,instagram,openedApp,False,Asia/Kolkata,,1751766952.772656,,
,instagram,closedApp,False,Asia/Kolkata,,1751767012.772657,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751767012.772657,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751767029.9435549,,
,instagram,openedApp,False,Asia/Kolkata,,1751767090.4692988,,
,instagram,closedApp,False,Asia/Kolkata,,1751767150.4693,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751767150.4693,,
6.0,whastapp,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751767557.988185,,
6.0,whastapp,openedApp,False,Asia/Kolkata,breathingExercise,1751768941.486243,,
6.0,whastapp,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751769270.583509,,
6.0,whastapp,openedApp,False,Asia/Kolkata,breathingExercise,1751769299.836362,,
6.0,whastapp,openedApp,False,Asia/Kolkata,breathingExercise,1751770475.026459,,
6.0,whastapp,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751771289.681823,,
6.0,whastapp,openedApp,False,Asia/Kolkata,breathingExercise,1751771412.644805,,
,instagram,openedApp,False,Asia/Kolkata,,1751771392.287633,,
,instagram,closedApp,False,Asia/Kolkata,,1751771452.287633,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,,1751771452.287633,,
6.0,whastapp,openedApp,False,Asia/Kolkata,breathingExercise,1751771794.314024,,
