interventionType,app,interventionDuration,timestamp,isReIntervention,resolution,timezone,purpose
,youtube,,1749271135.13491,False,closedApp,Asia/Kolkata,
,youtube,,1749271142.515133,False,closedApp,Asia/Kolkata,
,youtube,,1749271754.316174,False,closedApp,Asia/Kolkata,
,youtube,,1749274358.223247,False,closedApp,Asia/Kolkata,
,youtube,,1749282238.6317968,False,closedApp,Asia/Kolkata,
,youtube,,1749285273.348404,False,closedApp,Asia/Kolkata,
,youtube,,1749328712.7872128,False,closedApp,Asia/Kolkata,
,youtube,,1749333137.015199,False,closedApp,Asia/Kolkata,
,youtube,,1749334724.0744128,False,closedApp,Asia/Kolkata,
,youtube,,1749334738.41113,False,closedApp,Asia/Kolkata,
,youtube,,1749334750.842564,False,closedApp,Asia/Kolkata,
breathingExercise,youtube,6.0,1749335760.9229,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749364838.772913,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749372571.706452,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749379449.600719,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749405129.504468,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749447843.415608,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749449673.25414,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749466410.5394049,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749469348.0361729,False,openedApp,Asia/Kolkata,Escape / Avoid
,youtube,,1749337184.970438,False,closedApp,Asia/Kolkata,
,youtube,,1749338158.45239,False,closedApp,Asia/Kolkata,
,youtube,,1749364924.284764,False,closedApp,Asia/Kolkata,
,youtube,,1749364938.4652638,False,closedApp,Asia/Kolkata,
,youtube,,1749365403.735623,False,closedApp,Asia/Kolkata,
,youtube,,1749374400.708226,False,closedApp,Asia/Kolkata,
,youtube,,1749379760.415371,False,closedApp,Asia/Kolkata,
,youtube,,1749379776.340085,False,closedApp,Asia/Kolkata,
