timezone,interventionType,isReIntervention,interventionDuration,resolution,timestamp,purpose,app,timeIntervalUntilReIntervention
Asia/Bishkek,breathingExercise,False,6,openedApp,1751802060.712827,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751802364.16227,дм,instagram,600.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1751802988.026036,дм,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751803181.7937322,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751804017.244523,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751809409.7246199,dm,instagram,660.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751810289.650042,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751810316.7051802,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751812070.8620272,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751820510.45115,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751868405.394059,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751871286.2741199,check,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751881560.1936169,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751883564.189271,reels,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751891249.989479,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751891251.507955,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751892058.85787,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751898617.427321,dm,instagram,660.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751899662.298458,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751901419.82112,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751905480.9438338,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751950720.387752,dm,instagram,600.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751952039.007142,reels,instagram,360.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1751952423.475072,dm,instagram,540.0
Asia/Bishkek,breathingExercise,True,6,dismissedAppOpening,1751952983.859935,,instagram,
Asia/Bishkek,breathingExercise,True,6,dismissedAppOpening,1751952983.952155,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751956399.0712252,dm,instagram,480.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1751956903.948429,reels,instagram,780.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751957121.7087212,story,instagram,360.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1751957505.297274,reels,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751966508.8536072,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751966609.715832,story,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751978303.528761,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751978968.6177812,dm,instagram,660.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751979210.304418,dm,instagram,900.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751980004.57028,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751980147.2986279,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751980757.124154,dm,instagram,360.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751981896.858151,story,instagram,360.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751982344.986321,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751982706.823113,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751982827.1959581,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751983908.245789,дм,instagram,600.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751984188.662612,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751984488.319758,дм,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751984790.7783089,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751984818.202908,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751985222.5616798,дм,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751986168.076308,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752032645.377969,find,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752035663.226869,reels,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752036179.369446,reels,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752039468.114074,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752047723.9625401,story,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752051335.3098001,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752051680.925089,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752052179.5873551,dm,instagram,360.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752056552.050132,dm,instagram,360.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752057686.3432422,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752062409.311644,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752062686.558208,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752063303.304508,reels,instagram,720.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752067738.305551,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752067750.9573622,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752069480.569603,стори,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752069836.5506911,dm,instagram,600.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752070255.976259,reels,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752115213.035181,story,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752120108.801851,reels,instagram,300.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752121528.0279489,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752138565.486218,stories,instagram,420.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1752139014.208396,reels,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752139531.8228002,check,instagram,420.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1752139976.961384,check,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752142928.722398,write,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752143145.365745,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752143224.958993,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752143315.9040852,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752143614.2748098,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752144125.7569551,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752145465.638712,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752145468.591055,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752146686.368857,дм,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752147033.462306,дм,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752148093.9608421,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752148206.758435,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752148462.581905,dm,instagram,540.0
Asia/Bishkek,breathingExercise,True,6,dismissedAppOpening,1752155870.43384,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752155906.321539,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752155985.5854769,dm,instagram,540.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1752156592.743404,дм,instagram,600.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752159768.100127,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752160559.520039,dm,instagram,360.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752203197.2016869,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752224348.02032,дм,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752225463.615347,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752226202.474535,dm,instagram,360.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752227105.380655,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752227835.477264,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752230389.64096,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752232127.975512,дм,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752232766.912977,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752233344.522816,dm,instagram,420.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1752234814.843028,dm,instagram,300.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752235462.501087,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752238576.612659,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752238578.036056,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752238579.4147549,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752238581.208559,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752238585.650094,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752243180.628449,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752247203.445589,dm,instagram,420.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1752247707.548418,dm,instagram,780.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752248713.20577,dm,instagram,660.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1752249397.368939,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752289516.7516398,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752295996.623015,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752297287.7755861,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752302289.611888,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752303736.3876119,дм,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752304371.677495,dm,instagram,360.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1752304757.6162229,reels,instagram,360.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752306860.050837,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752310433.03282,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752311127.456805,dm,instagram,300.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752311869.2185988,,instagram,
Asia/Bishkek,breathingExercise,True,6,openedApp,1752311898.799731,дм,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752316039.374181,dm,instagram,360.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752319602.8403249,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752320330.108554,ди,instagram,300.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752321457.7799659,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752327700.921873,dm,instagram,480.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1752328434.818657,dm,instagram,840.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752329345.966706,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752329417.7142859,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752329422.176018,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752330275.8697882,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752331221.597522,check,instagram,600.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752333406.7282681,dm,instagram,480.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1752333980.867968,дм,instagram,480.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1752334484.144606,дм,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752335132.196041,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752364231.718353,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752364886.374947,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752367284.64357,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752375091.9520879,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752377553.020643,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752378163.708524,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752379510.243767,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752380196.49711,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752381063.6533608,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752382747.4798841,dm,instagram,660.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752384966.8249168,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752384993.078673,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752386217.907278,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752387308.710396,дм,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752391249.4358978,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752402278.613501,dm,instagram,600.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752408204.349687,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752411692.443311,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752415402.007339,dm,instagram,480.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1752415925.118258,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752422020.382319,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752471424.216044,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752472308.88644,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752473032.953795,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752475501.336976,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752476246.835052,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752476347.956256,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752476910.626128,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752477367.500835,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752477631.896832,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752478526.319263,dm,instagram,480.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1752479237.156227,dm,instagram,360.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752480242.9330978,dm,instagram,600.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752481382.925861,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752483063.6642199,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752483069.974276,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752483767.726709,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752483919.812595,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752484682.781436,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752486399.20392,dm,instagram,600.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752488034.874607,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752490043.303271,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752491383.348882,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752491886.902756,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752492076.497436,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752492188.5348182,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752495470.15362,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752495605.853218,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752496830.934104,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752497486.559011,дм,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752500496.8791308,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752504043.339642,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752505814.207854,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752507336.211917,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752559275.558425,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752561557.197725,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752563614.169087,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752564441.736119,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752568114.181092,dm,instagram,540.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1752568719.336609,dm,instagram,600.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1752580260.875061,дм,instagram,360.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1752581134.1158462,reele,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752582460.6364942,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752583863.4749532,dm,instagram,600.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752585664.351824,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1752586085.903373,story,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1752586800.9989629,,instagram,
