interventionType,isReIntervention,timezone,interventionDuration,timestamp,resolution,app,purpose,timeIntervalUntilReIntervention
breathingExercise,False,Asia/Kolkata,6.0,1752594113.5340629,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752595568.2787051,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752597139.616194,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752598042.667108,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752598887.713282,openedApp,youtube,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752601248.9017649,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752601451.229619,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752630548.22499,openedApp,youtube,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752634091.795443,openedApp,youtube,Bored,
breathingExercise,False,Asia/Kolkata,6.0,1752641861.159655,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752654098.92165,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752654740.322573,openedApp,youtube,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752659749.574899,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752660646.3672218,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752672145.752232,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752672973.882667,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752675924.299433,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752676328.1072412,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752676799.296423,openedApp,youtube,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752680892.132681,openedApp,youtube,Escape / Avoid,
,False,Asia/Kolkata,,1752681455.25575,openedApp,youtube,,
,False,Asia/Kolkata,,1752681575.25575,closedApp,youtube,,
,False,Asia/Kolkata,,1752681575.25575,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752681675.6162271,openedApp,youtube,Entertainment,
,False,Asia/Kolkata,,1752682275.148108,openedApp,youtube,,
,False,Asia/Kolkata,,1752682395.148109,closedApp,youtube,,
,False,Asia/Kolkata,,1752682395.148109,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752682907.870195,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752683091.02544,dismissedAppOpening,youtube,,
,False,Asia/Kolkata,,1752683466.52546,openedApp,youtube,,
,False,Asia/Kolkata,,1752683586.52546,closedApp,youtube,,
,False,Asia/Kolkata,,1752683586.52546,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752686598.966416,openedApp,youtube,Escape / Avoid,
,False,Asia/Kolkata,,1752712865.2373629,openedApp,youtube,,
,False,Asia/Kolkata,,1752712985.237364,closedApp,youtube,,
,False,Asia/Kolkata,,1752712985.237364,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752717314.540803,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752718461.839942,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752718549.482394,openedApp,youtube,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752719544.966048,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752720351.698714,openedApp,youtube,Escape / Avoid,
,False,Asia/Kolkata,,1752720292.4809818,openedApp,youtube,,
,False,Asia/Kolkata,,1752720412.480983,closedApp,youtube,,
,False,Asia/Kolkata,,1752720412.480983,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752721258.055324,openedApp,youtube,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752732821.0051389,openedApp,youtube,To learn,
breathingExercise,False,Asia/Kolkata,6.0,1752734130.0659041,openedApp,youtube,Bored,
,False,Asia/Kolkata,,1752745672.8887281,openedApp,youtube,,
,False,Asia/Kolkata,,1752745792.8887281,closedApp,youtube,,
,False,Asia/Kolkata,,1752745792.8887281,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752745811.59641,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752752603.294579,openedApp,youtube,Entertainment,
