resolution,interventionDuration,interventionType,timestamp,timezone,timeIntervalUntilReIntervention,app,isReIntervention
dismissedAppOpening,6.0,breathingExercise,1752093355.1104422,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752094939.07652,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752095640.071502,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752095755.1730142,America/Sao_Paulo,1440.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752096217.852772,America/Sao_Paulo,840.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752098684.587367,America/Sao_Paulo,120.0,instagram,False
openedApp,6.0,askForTimeLimit,1752098824.625706,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752099890.054353,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752100004.293612,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752104974.47255,America/Sao_Paulo,300.0,instagram,False
dismissedAppOpening,6.0,askForTimeLimit,1752105337.283969,America/Sao_Paulo,,instagram,False
dismissedAppOpening,6.0,askForTimeLimit,1752108008.4940882,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752108018.724265,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752110205.911831,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752110222.3315039,America/Sao_Paulo,240.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752110310.651712,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752110396.229731,America/Sao_Paulo,480.0,tikTok,False
dismissedAppOpening,6.0,askForTimeLimit,1752111293.712422,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752111297.827681,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,breathingExercise,1752111497.428437,America/Sao_Paulo,480.0,instagram,True
openedApp,6.0,askForTimeLimit,1752144191.96805,America/Sao_Paulo,120.0,instagram,False
openedApp,6.0,breathingExercise,1752144330.562079,America/Sao_Paulo,300.0,instagram,True
openedApp,6.0,askForTimeLimit,1752144423.335706,America/Sao_Paulo,360.0,tikTok,False
dismissedAppOpening,6.0,askForTimeLimit,1752146018.318616,America/Sao_Paulo,,tikTok,False
openedApp,6.0,askForTimeLimit,1752146055.2362928,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752146239.45919,America/Sao_Paulo,180.0,instagram,False
dismissedAppOpening,6.0,breathingExercise,1752146472.972701,America/Sao_Paulo,,instagram,True
openedApp,6.0,askForTimeLimit,1752151099.077333,America/Sao_Paulo,120.0,instagram,False
openedApp,6.0,askForTimeLimit,1752153402.849932,America/Sao_Paulo,240.0,instagram,False
dismissedAppOpening,6.0,breathingExercise,1752154131.078141,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752155834.3404288,America/Sao_Paulo,60.0,instagram,False
openedApp,6.0,askForTimeLimit,1752157263.1380858,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752159255.9716191,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752159277.202433,America/Sao_Paulo,420.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752159344.752871,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,breathingExercise,1752159545.7647982,America/Sao_Paulo,360.0,instagram,True
openedApp,6.0,askForTimeLimit,1752159644.173213,America/Sao_Paulo,600.0,instagram,False
openedApp,6.0,askForTimeLimit,1752159768.407188,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752160285.458537,America/Sao_Paulo,360.0,instagram,False
openedApp,6.0,askForTimeLimit,1752160502.5057669,America/Sao_Paulo,1020.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752160926.212246,America/Sao_Paulo,720.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752162806.895482,America/Sao_Paulo,360.0,tikTok,False
dismissedAppOpening,6.0,breathingExercise,1752163182.116663,America/Sao_Paulo,,tikTok,True
openedApp,6.0,askForTimeLimit,1752163204.2310371,America/Sao_Paulo,120.0,instagram,False
dismissedAppOpening,6.0,breathingExercise,1752163329.13926,America/Sao_Paulo,,instagram,True
dismissedAppOpening,6.0,breathingExercise,1752163370.969489,America/Sao_Paulo,,instagram,False
dismissedAppOpening,6.0,breathingExercise,1752163387.513562,America/Sao_Paulo,,instagram,False
dismissedAppOpening,6.0,breathingExercise,1752163584.4763079,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752163884.624382,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752163924.978126,America/Sao_Paulo,420.0,tikTok,False
dismissedAppOpening,6.0,askForTimeLimit,1752164315.580618,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752164538.584209,America/Sao_Paulo,660.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752164558.251653,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752164757.878172,America/Sao_Paulo,240.0,tikTok,False
dismissedAppOpening,6.0,askForTimeLimit,1752164798.377819,America/Sao_Paulo,,instagram,False
openedApp,6.0,breathingExercise,1752165020.982689,America/Sao_Paulo,960.0,tikTok,True
openedApp,6.0,breathingExercise,1752166370.804494,America/Sao_Paulo,240.0,tikTok,True
