isReIntervention,timestamp,resolution,timezone,app,interventionDuration,interventionType,purpose
False,1748885936.146047,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748915690.881925,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Relax
False,1748916778.353647,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748918589.896205,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Check likes
False,1748919580.586154,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Bored
False,1748923152.5061789,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Bored
False,1748925988.3606281,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Can’t sleep
False,1748926584.389507,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Message
False,1748926750.0021791,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748976946.802146,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Message
False,1748977081.848274,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748977100.082374,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Search Info
False,1748977509.591068,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Can’t sleep
False,1748977770.236793,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Can’t sleep
False,1748985688.705175,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748985705.968162,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Search Info
False,1748991062.312468,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Stalk crush
False,1748991879.034581,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1749016250.1065621,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Relax
False,1749016838.3966699,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1749016970.850529,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1749017052.062537,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1749018232.303257,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Bored
False,1749020548.1379452,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Relax
False,1749021543.247129,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1749021978.739067,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1749022220.235867,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1749022237.727083,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Can’t sleep
False,1749023431.81725,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1749023448.563695,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Stalk crush
False,1749023595.247414,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Relax
False,1749027528.282085,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Can’t sleep
False,1749033710.884335,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1749033745.0755758,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Can’t sleep
False,1749033781.415688,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1749033783.917647,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
