timestamp,interventionType,isReIntervention,app,timezone,resolution,interventionDuration
1751466586.143976,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751480987.117032,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751521115.093653,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751530423.178546,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751533124.514039,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751536512.139606,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751539895.4993749,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751555669.651413,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751558159.564594,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751558644.826122,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751569993.1252809,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751570062.9926481,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751616760.102309,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751629706.433384,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751717439.3708801,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751800516.652555,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751875733.146703,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751895205.316051,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751906922.991374,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751907169.928381,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751913258.120658,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751971889.314096,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751977608.582923,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751978502.442389,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751983724.873733,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1752003119.701827,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752051862.335547,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752091834.367237,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752221447.6890059,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1752230060.284336,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752232082.625074,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752243570.958335,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752253701.953485,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752315667.591212,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1752347130.063663,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1752347135.1121988,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1752360798.906354,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752361829.5936542,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752362783.583068,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752364849.037931,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752365588.064055,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1752397271.9838629,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1752424858.588295,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752428122.218382,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752428683.6717649,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752489686.9010901,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752496798.75261,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1752499939.570963,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752562815.605159,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1752574502.852429,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752595791.669687,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752596032.714518,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1752740341.012209,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1752955358.650261,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753020398.707601,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753033179.695509,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753081066.0700688,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753093480.39463,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753098793.750465,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753110470.797278,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753111711.1854239,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1753117146.640184,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753117231.513197,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1753173822.044475,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1753187752.0581899,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1753198512.749786,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753205089.174191,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753263915.264254,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1753264001.654526,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1753264034.024798,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1753269160.0306969,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753269312.258449,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753340698.052802,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753436621.923542,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753452796.189259,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1753456000.164702,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1753460310.434887,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753520762.72358,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753521364.2987828,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753522383.5644631,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753527005.8858728,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1753527978.891494,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1753535067.044914,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1753604286.542079,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753789772.924039,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753874241.331133,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1753880715.99385,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753880916.508535,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753887326.2222009,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1753970701.64892,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1754164545.462047,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1754231589.481396,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1754236128.020503,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1754244581.528141,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1754244769.418445,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1754304033.379682,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1754304454.88489,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1754305943.437391,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1754327557.146447,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1754379845.492568,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1754384507.892319,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1754387455.234164,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1754417241.9564738,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
