timezone,timestamp,isReIntervention,app,resolution,interventionDuration,purpose,interventionType
America/Denver,1751379512.24676,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751384949.205914,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751413267.167515,False,facebook,openedApp,6.0,Escape / Avoid,breathingExercise
America/Denver,1751414263.0983481,False,tikTok,openedApp,6.0,Escape / Avoid,breathingExercise
America/Denver,1751415696.208385,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751416905.222338,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751419187.606751,False,bluesky,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751427900.333548,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751428459.349752,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751462185.110283,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751463558.988487,False,facebook,openedApp,6.0,Post something,breathingExercise
America/Denver,1751464529.964323,False,facebook,openedApp,6.0,Post something,breathingExercise
America/Denver,1751469229.3801951,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751472305.289394,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751500567.3807569,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751500880.419448,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751501456.978508,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751506582.59418,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751508408.3423572,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751508959.072808,False,instagram,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751546881.7538319,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751548197.763229,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751577258.508154,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751581879.2369928,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751582866.2100391,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751583083.176192,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751583742.261053,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751586853.5024981,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751587280.932277,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751591315.430801,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751595453.4271832,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751601054.083778,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751601837.669997,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751636867.574719,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751637681.397577,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751641142.968404,False,bluesky,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751641319.261221,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751647122.649168,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751652212.419966,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751656113.065261,False,facebook,dismissedAppOpening,6.0,,breathingExercise
