resolution,timezone,timestamp,interventionType,timeIntervalUntilReIntervention,isReIntervention,interventionDuration,app,purpose
openedApp,Europe/Berlin,1750431017.949575,breathingExercise,360.0,False,6,instagram,kka
openedApp,Europe/Berlin,1750431207.1255941,askForTimeLimit,240.0,False,6,instagram,
openedApp,Europe/Berlin,1750455221.878796,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750488450.263202,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750488790.569611,breathingExercise,360.0,False,6,instagram,trau mich nicht 
openedApp,Europe/Berlin,1750491240.800582,askForTimeLimit,360.0,False,6,instagram,
openedApp,Europe/Berlin,1750501875.8220959,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750502139.468463,askForTimeLimit,420.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1750502800.433782,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1750573594.1543012,askForTimeLimit,360.0,False,6,instagram,
openedApp,Europe/Berlin,1750612526.4561958,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750615446.717589,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750615777.539685,breathingExercise,540.0,False,6,instagram,prokaszinireudz
openedApp,Europe/Berlin,1750616350.101975,breathingExercise,300.0,False,6,instagram,🥹
openedApp,Europe/Berlin,1750618234.246863,askForTimeLimit,240.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1750625747.738791,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1750657682.341439,askForTimeLimit,360.0,False,6,instagram,
openedApp,Europe/Berlin,1750658674.563818,askForTimeLimit,480.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1750659422.660887,askForTimeLimit,,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1750660926.741786,askForTimeLimit,,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1750661949.372764,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1750665999.068972,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750666186.4576821,askForTimeLimit,540.0,False,6,instagram,
openedApp,Europe/Berlin,1750667058.780432,askForTimeLimit,780.0,False,6,instagram,
openedApp,Europe/Berlin,1750668106.4191852,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1750668479.224796,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1750668746.654644,askForTimeLimit,480.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1750669036.622886,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1750669679.27642,askForTimeLimit,720.0,False,6,instagram,
openedApp,Europe/Berlin,1750670378.392566,askForTimeLimit,540.0,False,6,instagram,
openedApp,Europe/Berlin,1750679491.96762,askForTimeLimit,240.0,False,6,instagram,
openedApp,Europe/Berlin,1750701614.501758,askForTimeLimit,600.0,False,6,instagram,
openedApp,Europe/Berlin,1750710790.115942,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1750756915.614012,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750758062.184392,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750758305.6606941,askForTimeLimit,300.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1750758585.591011,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1750767779.346937,askForTimeLimit,540.0,False,6,instagram,
openedApp,Europe/Berlin,1750768835.628789,askForTimeLimit,420.0,False,6,instagram,
openedApp,Europe/Berlin,1750775456.827173,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750775707.481583,askForTimeLimit,360.0,False,6,instagram,
openedApp,Europe/Berlin,1750794443.697027,askForTimeLimit,480.0,False,6,instagram,
openedApp,Europe/Berlin,1750827970.44944,askForTimeLimit,480.0,False,6,instagram,
openedApp,Europe/Berlin,1750868075.7836971,askForTimeLimit,300.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1750868303.5947142,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1750868316.432747,askForTimeLimit,540.0,False,6,instagram,
openedApp,Europe/Berlin,1750868714.0219421,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750871730.167727,askForTimeLimit,420.0,False,6,instagram,
dismissedAppOpening,Europe/Berlin,1750871941.407929,askForTimeLimit,,False,6,instagram,
openedApp,Europe/Berlin,1750872959.585521,askForTimeLimit,360.0,False,6,instagram,
openedApp,Europe/Berlin,1750874832.590641,askForTimeLimit,360.0,False,6,instagram,
openedApp,Europe/Berlin,1750875020.501792,askForTimeLimit,120.0,False,6,instagram,
openedApp,Europe/Berlin,1750875965.535121,askForTimeLimit,360.0,False,6,instagram,
openedApp,Europe/Berlin,1750877152.317782,askForTimeLimit,900.0,False,6,instagram,
openedApp,Europe/Berlin,1750877557.192943,askForTimeLimit,300.0,False,6,instagram,
openedApp,Europe/Berlin,1750877816.0529552,askForTimeLimit,360.0,False,6,instagram,
openedApp,Europe/Berlin,1750878331.838398,breathingExercise,120.0,False,6,instagram,krine shnujg
openedApp,Europe/Berlin,1750882160.4075332,askForTimeLimit,540.0,False,6,instagram,
openedApp,Europe/Berlin,1750882542.060615,askForTimeLimit,720.0,False,6,instagram,
openedApp,Europe/Berlin,1750883370.782594,breathingExercise,600.0,False,6,instagram,tim
openedApp,Europe/Berlin,1750884419.530947,askForTimeLimit,240.0,False,6,instagram,
openedApp,Europe/Berlin,1750913413.808332,askForTimeLimit,300.0,False,6,instagram,
