isReIntervention,timestamp,interventionType,app,resolution,interventionDuration,timezone,purpose
False,1752944756.6391912,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Message
False,1752948247.663192,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752948250.2248092,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752948253.7346358,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752948270.919213,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1752949816.431693,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752949940.958473,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1752960926.557804,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752965236.5044231,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752965290.7487001,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1752977683.965516,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752977696.791754,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752977704.162171,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752983607.203099,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752988851.6456962,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752988944.000176,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753018108.2359939,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753018110.470316,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753018112.268939,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753024584.788571,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1753025813.2806969,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753039973.5662599,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753042628.1112351,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753042650.4254022,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753044618.55693,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753044750.444936,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753045214.656652,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753046422.223024,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753047777.105295,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753048288.396771,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753049861.712438,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753049869.0067868,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753049940.443616,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1753049957.6588268,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
