resolution,timezone,timestamp,interventionDuration,isReIntervention,interventionType,app
openedApp,Africa/Cairo,1750258339.879472,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750258546.8804731,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750258620.285027,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750259505.9233289,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750262571.901665,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750265661.074436,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750265999.174096,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750266013.98732,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750302610.018717,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750303605.2213311,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750304814.425798,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750310470.852026,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750310986.562227,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750311012.662065,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750313390.74232,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750313568.517064,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750314723.670213,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750317849.889964,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750319154.947613,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750319357.7436519,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750319366.006551,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750320631.221147,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750322027.606338,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750322037.441329,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750323376.886806,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750324272.2814798,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750325237.728015,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750325723.28153,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750326350.127534,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750328046.5626469,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750331536.348906,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750332618.963118,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750332787.77568,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750334347.786802,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750334355.994839,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750336093.1016889,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750341779.505777,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750342100.308436,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750342661.411166,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750344042.796143,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750347164.0349321,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750347321.580101,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750349531.614114,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750353843.65447,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750356686.077993,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750390767.090104,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750391671.7778292,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750403207.490744,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750403312.5223851,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750408644.519697,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750409163.559266,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750409263.220155,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750410535.214294,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750410964.1630158,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750413261.3292909,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750419667.229618,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750422604.5379949,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750432690.708035,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750433043.78187,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750433105.565566,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750433172.218648,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750433336.883576,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750433418.6686,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750434348.292077,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750440452.092144,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750444537.266738,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750444726.303111,3,False,breathingExercise,whastapp
