interventionDuration,resolution,app,isReIntervention,timezone,interventionType,timestamp
3,openedApp,safari,False,America/Regina,breathingExercise,1750295514.232623
3,openedApp,safari,False,America/Regina,breathingExercise,1750316359.5693011
3,openedApp,safari,False,America/Regina,breathingExercise,1750349487.6412292
3,dismissedAppOpening,safari,False,America/Regina,breathingExercise,1750376812.478527
3,openedApp,safari,False,America/Regina,breathingExercise,1750395648.680412
3,dismissedAppOpening,safari,False,America/Regina,breathingExercise,1750396713.322452
3,openedApp,safari,False,America/Regina,breathingExercise,1750470398.078553
3,openedApp,safari,False,America/Regina,breathingExercise,1750531414.4122028
3,openedApp,safari,False,America/Regina,breathingExercise,1750533569.0212479
3,openedApp,safari,False,America/Regina,breathingExercise,1750549235.2153769
3,openedApp,safari,False,America/Regina,breathingExercise,1750552188.715287
3,openedApp,safari,False,America/Regina,breathingExercise,1750552297.550952
3,openedApp,safari,False,America/Regina,breathingExercise,1750552357.803335
3,dismissedAppOpening,safari,False,America/Regina,breathingExercise,1750563432.489927
3,openedApp,safari,False,America/Regina,breathingExercise,1750582958.696204
3,openedApp,safari,False,America/Regina,breathingExercise,1750583225.3202
3,dismissedAppOpening,safari,False,America/Regina,breathingExercise,1750611744.039526
3,dismissedAppOpening,safari,False,America/Regina,breathingExercise,1750611761.2734408
3,openedApp,safari,False,America/Regina,breathingExercise,1750618785.35357
3,openedApp,safari,False,America/Regina,breathingExercise,1750641868.8959951
3,openedApp,safari,False,America/Regina,breathingExercise,1750646476.484957
3,dismissedAppOpening,safari,False,America/Regina,breathingExercise,1750646549.116898
3,dismissedAppOpening,safari,False,America/Regina,breathingExercise,1750647313.4502149
3,openedApp,safari,False,America/Regina,breathingExercise,1750662049.901748
3,openedApp,safari,False,America/Regina,breathingExercise,1750717229.156375
3,openedApp,safari,False,America/Regina,breathingExercise,1750717709.497095
3,dismissedAppOpening,safari,False,America/Regina,breathingExercise,1750718374.950582
3,openedApp,safari,False,America/Regina,breathingExercise,1750718382.809788
3,openedApp,safari,False,America/Regina,breathingExercise,1750723307.434933
3,dismissedAppOpening,safari,False,America/Regina,breathingExercise,1750723755.297297
3,openedApp,safari,False,America/Regina,breathingExercise,1750725334.273961
