resolution,interventionDuration,timezone,timestamp,interventionType,app,isReIntervention
openedApp,3,America/Bogota,1751307546.906026,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751316755.252712,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751318511.174694,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751322402.056075,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751323355.3999472,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751323365.0083299,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751330113.0400991,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751330190.535349,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751330195.306306,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751332232.751882,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751332286.85667,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751336100.876548,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751374358.229426,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751392434.0953588,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751396183.1041288,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751422124.480977,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751422870.425322,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751425125.387188,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751425211.998424,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751427180.402308,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751429079.342754,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751465091.721918,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751474677.524313,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751483124.3283691,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751484314.930577,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751485942.8105059,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751511286.452846,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751511621.209084,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751511808.802716,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751512230.830886,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751545935.8602061,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751547259.657319,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751547771.2763572,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751552456.954067,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751552654.060522,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751555881.99644,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751597920.378372,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751598319.4162889,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751628263.048111,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751628361.1407719,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751633848.419162,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751633983.2685971,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751649895.56781,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751677957.1015558,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751681460.167294,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751683908.421904,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751685389.145897,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751686603.254753,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751686616.508243,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751722204.7155309,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751722216.1051068,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751722321.45368,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751722946.672008,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751725415.63933,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751725420.516159,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751728458.04136,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751730470.944262,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751736379.093272,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751739293.397681,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751742186.848794,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751742597.572063,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751744112.9192271,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751744194.947515,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751747484.652807,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751752871.245904,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751760972.7005548,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751761296.21854,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751767325.476707,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751771232.29179,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751771373.792335,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751771831.1443582,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751771844.697403,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751772111.687965,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751772533.771841,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751773207.236703,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751773398.05919,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751773723.527252,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751773725.7041159,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751773737.987473,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751773856.030829,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751774103.071869,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751774166.813266,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751774235.001347,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751774576.956706,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751774721.664649,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751774933.2265902,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751775066.827666,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751813205.271583,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751813924.9352,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751825089.174433,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751828042.991709,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751828160.77163,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751830551.5583549,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751830724.519115,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751830769.637358,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751830845.2430248,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751830958.5426788,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751831112.81692,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751831308.100065,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751831402.1965408,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751831464.429092,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751832707.300597,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751832806.8840818,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751833869.555438,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751834312.136591,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751835044.822978,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751835279.8927422,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751835459.476177,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751835632.431175,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751835640.8306022,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751835810.723748,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751836164.213599,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751837265.6600962,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751837468.540155,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751837897.28446,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751838083.21558,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751838092.811405,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751840068.2119188,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751840206.2868052,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751840916.6276212,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751841995.398131,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751853349.207005,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751854277.0255852,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751857607.2216659,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751860164.131517,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751860287.5317001,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751860359.674612,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751860647.3980598,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751891065.213532,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751892071.320149,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751892846.840147,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751893140.6319299,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751893163.05847,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751893444.728097,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751894180.506374,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751894528.492368,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751894635.851625,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751894671.081496,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751894764.753944,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751897808.423495,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751898784.710398,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751898957.762079,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751902907.540432,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751903153.555311,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751903222.753813,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751912531.353013,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751912573.5589151,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751918106.810549,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751918347.9664822,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751918421.846871,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751918494.830707,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751918623.602128,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751918669.5572019,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751918700.622448,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751919132.387937,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751919285.4333858,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751921218.0762439,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751923371.2445889,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751933275.3578072,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751933317.42552,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751933662.757618,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751934274.174856,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751934808.4296231,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751942139.071419,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751944718.455111,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751944936.4137201,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751944961.0263991,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751945024.265878,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751945064.0358539,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751945066.986617,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751950310.068322,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751950460.210935,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751980640.164717,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751981008.138639,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751981293.204797,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751981880.731365,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751981997.230789,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751982541.779568,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751983008.666029,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751983064.591439,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751983589.3250961,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751983684.711576,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751983737.146029,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751983854.776932,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751984083.223129,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751984394.144971,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751985438.194598,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751987763.712924,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751992797.9842439,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752007161.841134,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752023417.488133,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752023718.148246,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752025174.786629,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752025333.951582,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752030014.949765,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752032151.259002,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752032161.858382,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752032401.302343,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752032625.90679,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752033331.34227,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752066195.6599422,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752073832.7920341,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752085708.321593,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752087398.837914,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752087557.1252751,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752087697.062887,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752088110.8202,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752088313.2717118,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752096032.582131,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752096301.660668,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752110801.3292289,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752112985.714726,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752113061.781427,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752113086.30201,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752116402.094582,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752116553.262929,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752116826.821367,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752116945.72367,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752117095.036633,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752117190.357851,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752117223.1046782,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752117327.98905,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752117684.49817,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752117698.155653,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752117721.312014,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752117799.742525,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752117875.4265199,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752117977.433343,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752118177.63064,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752118819.5621,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752120158.725325,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752120175.462987,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752120272.746361,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752120493.356114,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752120619.060186,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752120658.233191,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752120753.7500138,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752120766.256104,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752151985.612011,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752152276.9856238,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752152350.03587,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752153711.649492,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752154873.084426,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752158895.117845,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752163532.01707,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752171938.356516,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752172064.883696,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752182657.370183,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752183970.692463,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752188065.201019,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752188177.359923,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752188245.348054,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752201607.9964628,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752201947.198145,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752201996.115821,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752202200.7608938,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752202213.4980931,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752202280.381259,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752202366.44327,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752203153.4810848,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752203475.548029,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752204098.7127352,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752204137.262576,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752204602.343892,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752204977.495765,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752205041.281672,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752237950.479768,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752239603.0780091,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752239684.534116,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752243640.5388122,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752243727.8856912,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752277980.9722672,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752278321.596004,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752278333.0162082,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752278526.977804,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752279696.374778,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752279791.265232,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752294417.268906,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752295254.683918,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752296197.290993,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752296343.938003,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752296357.439828,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752296502.989373,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752296676.2166948,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752296914.8084269,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752297018.94678,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752297237.097628,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752297474.0655851,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752297616.597441,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752308469.8921661,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752324518.2490091,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752324627.2183871,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752324723.551225,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752326887.5683599,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752327688.29122,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752328944.449651,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752343820.007238,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752344424.116267,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752344580.1772451,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752344719.548454,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752344814.669018,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752344886.453172,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752348250.061383,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752348302.7758532,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752348568.595049,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752348616.578789,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752350900.006486,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752351040.2244549,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752351052.565638,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752352044.3698401,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752352071.682523,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752352142.958126,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752359424.669698,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752360569.941808,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752361894.7294211,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752361975.980589,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752363292.3894281,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752363346.271435,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752363599.288639,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752364171.9478989,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752364730.337506,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752365825.575975,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752367394.288275,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752367496.835309,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752367757.004416,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752367935.483782,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752367966.0115418,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752368203.115693,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752368498.161014,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752368700.7564778,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752369547.322277,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752369572.2368221,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752369667.297718,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752369813.846209,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752370459.08618,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752371454.2104979,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752372785.70366,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752379752.520102,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752409002.350569,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752413226.6354861,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752413238.465334,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752416063.2974138,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752419303.930634,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752419315.844439,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752419376.2968168,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752423636.827468,breathingExercise,instagram,False
openedApp,3,America/Bogota,1752429154.9466438,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752429229.670311,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752429300.537094,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1752429342.273601,breathingExercise,instagram,False
