resolution,timestamp,app,interventionType,interventionDuration,isReIntervention,timezone,purpose,timeIntervalUntilReIntervention,terminationReason
closedApp,1752255659.89676,youtube,,,0.0,America/Aruba,,,
openedApp,1752256400.3389978,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752256706.803536,youtube,,,0.0,America/Aruba,,,
openedApp,1752256717.077187,youtube,breathingExercise,3.0,1.0,America/Aruba,Entretenimiento,180.0,
closedApp,1752256827.394998,youtube,,,0.0,America/Aruba,,,
dismissedAppOpening,1752257164.0143762,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752269799.3573089,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
openedApp,1752277697.454701,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752278003.1055431,youtube,,,0.0,America/Aruba,,,
openedApp,1752279935.755059,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752280162.347055,youtube,,,0.0,America/Aruba,,,
openedApp,1752330874.732415,instagram,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,,
dismissedAppOpening,1752331266.86344,instagram,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752331304.087237,twitter,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,,
openedApp,1752375057.835191,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
openedApp,1752412056.79887,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752412363.670969,youtube,,,0.0,America/Aruba,,,
openedApp,1752418784.240854,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
dismissedAppOpening,1752431070.018633,instagram,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752431081.916856,instagram,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,,
dismissedAppOpening,1752433032.747141,instagram,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752433086.3260021,twitter,breathingExercise,3.0,0.0,America/Aruba,Mantente Informado,,
dismissedAppOpening,1752433246.612154,twitter,breathingExercise,3.0,0.0,America/Aruba,,,
dismissedAppOpening,1752448344.1747808,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752448854.107419,instagram,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,,
openedApp,1752454887.999632,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
dismissedAppOpening,1752455231.789515,instagram,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752455433.598084,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
openedApp,1752455684.24333,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
openedApp,1752456010.787746,youtube,breathingExercise,3.0,0.0,America/Aruba,Buscar info,300.0,
closedApp,1752456118.281818,youtube,,,0.0,America/Aruba,,,
openedApp,1752456347.5538402,youtube,breathingExercise,3.0,0.0,America/Aruba,Buscar info,300.0,
closedApp,1752456656.429023,youtube,,,0.0,America/Aruba,,,
openedApp,1752456668.931892,youtube,breathingExercise,3.0,1.0,America/Aruba,Buscar info,300.0,
closedApp,1752456696.172502,youtube,,,0.0,America/Aruba,,,
openedApp,1752456707.1302938,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
openedApp,1752463007.62752,instagram,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,,
dismissedAppOpening,1752463813.135704,twitter,breathingExercise,3.0,0.0,America/Aruba,,,
dismissedAppOpening,1752463842.304966,twitter,breathingExercise,3.0,0.0,America/Aruba,,,
dismissedAppOpening,1752499265.947386,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752499291.031858,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
openedApp,1752500886.413528,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
openedApp,1752505928.410431,youtube,breathingExercise,3.0,0.0,America/Aruba,Buscar info,300.0,
closedApp,1752506194.034874,youtube,,,0.0,America/Aruba,,,
closedApp,1752506377.363707,youtube,,,0.0,America/Aruba,,,
dismissedAppOpening,1752508922.363906,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
dismissedAppOpening,1752508935.338468,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
dismissedAppOpening,1752520203.8904471,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752520221.6088161,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
dismissedAppOpening,1752522390.107987,instagram,breathingExercise,3.0,0.0,America/Aruba,,,
dismissedAppOpening,1752522393.240676,instagram,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752522407.9264178,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
openedApp,1752525092.146739,instagram,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,,
dismissedAppOpening,1752531545.0628061,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752531558.143501,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
openedApp,1752537871.913962,instagram,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,,
openedApp,1752539765.737094,instagram,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,,
openedApp,1752541004.943647,youtube,breathingExercise,3.0,0.0,America/Aruba,Buscar info,300.0,
closedApp,1752541418.95851,youtube,,,0.0,America/Aruba,,,
openedApp,1752541430.5117888,youtube,breathingExercise,3.0,1.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752541734.1528401,youtube,,,0.0,America/Aruba,,,
openedApp,1752541744.897511,youtube,breathingExercise,3.0,1.0,America/Aruba,Entretenimiento,120.0,
closedApp,1752541785.657288,youtube,,,0.0,America/Aruba,,,
dismissedAppOpening,1752541898.0422611,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752541925.714315,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
openedApp,1752542192.851413,youtube,breathingExercise,3.0,0.0,America/Aruba,Buscar info,300.0,
closedApp,1752542497.7091131,youtube,,,0.0,America/Aruba,,,
openedApp,1752542513.6054978,youtube,breathingExercise,3.0,1.0,America/Aruba,Entretenimiento,240.0,
closedApp,1752542755.354619,youtube,,,0.0,America/Aruba,,,
openedApp,1752542865.4582338,twitter,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,,
openedApp,1752544576.694272,twitter,breathingExercise,3.0,0.0,America/Aruba,Inodoro,,
openedApp,1752545926.991545,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
openedApp,1752546479.3302531,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
dismissedAppOpening,1752582970.8853211,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752680082.738507,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1752680663.8334532,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752680970.013276,youtube,,,0.0,America/Argentina/Cordoba,,,
dismissedAppOpening,1752680977.6549869,youtube,breathingExercise,3.0,1.0,America/Argentina/Cordoba,,,
openedApp,1752681042.547615,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752681349.050507,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752681361.13218,youtube,breathingExercise,3.0,1.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752681403.2413921,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752681523.2970052,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752681957.527359,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752681968.249099,youtube,breathingExercise,3.0,1.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752682270.842797,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752682280.904058,youtube,breathingExercise,3.0,1.0,America/Argentina/Cordoba,Entretenimiento,300.0,
closedApp,1752682583.452783,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752682594.0454612,youtube,breathingExercise,3.0,1.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752682779.260261,youtube,,,0.0,America/Argentina/Cordoba,,,
closedApp,1752682911.822921,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752682921.694188,youtube,breathingExercise,3.0,1.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752683114.881332,youtube,,,0.0,America/Argentina/Cordoba,,,
dismissedAppOpening,1752683358.727483,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1752683377.572556,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Entretenimiento,,
openedApp,1752692192.2308102,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,300.0,
dismissedAppOpening,1752692855.705554,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
closedApp,1752692376.291578,youtube,,,0.0,America/Argentina/Cordoba,,,
dismissedAppOpening,1752697830.419407,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1752697845.317347,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Entretenimiento,300.0,
closedApp,1752697937.7388291,youtube,,,0.0,America/Argentina/Cordoba,,,
closedApp,1752698001.8753362,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752698022.329912,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Entretenimiento,,
openedApp,1752699255.74505,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Entretenimiento,300.0,
closedApp,1752699417.8880692,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752699430.633875,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Entretenimiento,,
dismissedAppOpening,1752699712.661652,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1752699727.760582,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Entretenimiento,,
dismissedAppOpening,1752715458.88745,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1752715472.536038,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Mantente Informado,,
dismissedAppOpening,1752715727.3842149,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1752715808.459893,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1752716060.5933309,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Entretenimiento,300.0,
closedApp,1752716367.8338819,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752716378.2203112,youtube,breathingExercise,3.0,1.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752716422.8734488,youtube,,,0.0,America/Argentina/Cordoba,,,
dismissedAppOpening,1752725609.749364,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1752759255.890974,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1752764841.75668,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1752770328.824091,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752770429.124938,youtube,,,0.0,America/Argentina/Cordoba,,,
closedApp,1752770489.38429,youtube,,,0.0,America/Argentina/Cordoba,,,
dismissedAppOpening,1752784236.364193,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
dismissedAppOpening,1752786724.66885,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1752793501.921876,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752793804.873246,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752793817.1548738,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
dismissedAppOpening,1752793912.3488321,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1752793947.593628,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1752799441.87745,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752799748.257592,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752799758.200249,youtube,breathingExercise,3.0,1.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752800062.4278789,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752800072.542913,youtube,breathingExercise,3.0,1.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752800375.168843,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752800385.583085,youtube,breathingExercise,3.0,1.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752800678.701778,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752839705.096017,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752840018.079386,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752840032.812484,youtube,breathingExercise,3.0,1.0,America/Argentina/Cordoba,Buscar info,180.0,
closedApp,1752840149.258811,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1752844772.441695,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1752846379.049663,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
dismissedAppOpening,1752858005.440238,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1752859346.40885,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752859497.26951,youtube,,,0.0,America/Argentina/Cordoba,,,
dismissedAppOpening,1752876387.581387,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1752879352.525907,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1752879647.234682,youtube,,,0.0,America/Argentina/Cordoba,,,
dismissedAppOpening,1752887532.7530541,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1752887544.790585,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1752892074.074446,twitter,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1752892463.137347,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1752965053.008791,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1752986007.292121,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
dismissedAppOpening,1753031169.5230908,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1753035216.603918,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
dismissedAppOpening,1753035712.389032,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1753035747.9542909,twitter,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1753036188.849951,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1753039288.1848478,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
dismissedAppOpening,1753049239.6611218,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1753049256.079372,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1753059070.851363,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1753059377.995614,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1753059388.625171,youtube,breathingExercise,3.0,1.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1753059614.5146809,youtube,,,0.0,America/Argentina/Cordoba,,,
dismissedAppOpening,1753100060.44765,twitter,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1753111007.327643,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
dismissedAppOpening,1753111104.441055,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
dismissedAppOpening,1753115293.7934651,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1753115345.1459541,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1753115373.470922,youtube,,,0.0,America/Argentina/Cordoba,,,
closedApp,1753115614.791084,youtube,,,0.0,America/Argentina/Cordoba,,,
closedApp,1753115706.7244549,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1753119752.39752,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1753119858.184145,youtube,,,0.0,America/Argentina/Cordoba,,,
closedApp,1753120090.585092,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1753127831.560276,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Escapar / Evitar,,
openedApp,1753129102.947801,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1753130786.062815,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Entretenimiento,,
openedApp,1753132334.265792,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Escapar / Evitar,,
openedApp,1753137757.7037659,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Mantente Informado,300.0,
closedApp,1753137991.4138331,youtube,,,0.0,America/Argentina/Cordoba,,,
closedApp,1753138004.06229,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1753143499.893178,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,,
dismissedAppOpening,1753143643.996645,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
dismissedAppOpening,1753143646.755237,instagram,breathingExercise,3.0,0.0,America/Argentina/Cordoba,,,
openedApp,1753148985.237938,youtube,breathingExercise,3.0,0.0,America/Argentina/Cordoba,Buscar info,300.0,
closedApp,1753149051.733059,youtube,,,0.0,America/Argentina/Cordoba,,,
openedApp,1753157862.080411,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,Mantente Informado,,
dismissedAppOpening,1753220290.934509,youtube,breathingExercise,6.0,0.0,America/Argentina/Cordoba,,,
openedApp,1753221153.238212,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1753230558.326709,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,Buscar info,,
dismissedAppOpening,1753235047.965729,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,,,
openedApp,1753235132.5676908,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,Buscar info,,
dismissedAppOpening,1753246269.94785,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,,,
openedApp,1753248264.5065022,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,Buscar info,,
dismissedAppOpening,1753268740.474846,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,,,
dismissedAppOpening,1753271229.209251,youtube,breathingExercise,6.0,0.0,America/Argentina/Cordoba,,,
openedApp,1753271378.1677809,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1753281006.487257,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1753284448.827832,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1753284570.8284101,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,Entretenimiento,,
openedApp,1753287655.81879,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,Buscar info,,
dismissedAppOpening,1753289458.640327,youtube,breathingExercise,6.0,0.0,America/Argentina/Cordoba,,,
openedApp,1753307996.474856,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1753311198.251587,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1753313647.659931,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1753315510.518862,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,Buscar info,,
openedApp,1753355875.156955,instagram,breathingExercise,6.0,0.0,America/Argentina/Cordoba,Buscar info,,
dismissedByStructuredIntervention,1753375633.025959,instagram,structured,,0.0,America/Argentina/Cordoba,,,
