timestamp,interventionDuration,app,interventionType,isReIntervention,resolution,timezone
1749538332.283678,3,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1749539295.4915109,3,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1749541288.157727,3,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1749541722.3485432,3,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1749548162.098212,3,snapchat,breathingExercise,False,openedApp,Europe/Brussels
1749550180.940454,3,snapchat,breathingExercise,False,openedApp,Europe/Brussels
1749550919.157398,3,snapchat,breathingExercise,False,openedApp,Europe/Brussels
1749552547.389766,3,snapchat,breathingExercise,False,openedApp,Europe/Brussels
1749552870.844833,3,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Brussels
1749554886.4253569,3,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Brussels
1749554895.476485,3,snapchat,breathingExercise,False,openedApp,Europe/Brussels
1749555495.698792,3,snapchat,breathingExercise,False,openedApp,Europe/Brussels
1749555930.378214,3,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Brussels
1749557838.7458758,3,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Brussels
1749557918.9095058,3,snapchat,breathingExercise,False,openedApp,Europe/Brussels
1749562470.2658,3,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Brussels
1749565051.2943769,3,snapchat,breathingExercise,False,openedApp,Europe/Brussels
1749565623.095551,3,snapchat,breathingExercise,False,openedApp,Europe/Brussels
1749568026.917079,3,snapchat,breathingExercise,False,openedApp,Europe/Brussels
1749568817.9586968,3,snapchat,breathingExercise,False,openedApp,Europe/Brussels
1749568866.0453281,3,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Brussels
1749568871.820602,3,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Brussels
1749996859.489111,3,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750015013.2750878,3,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1750018215.6519,3,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1750021096.283005,3,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1750059160.1875892,3,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1750059211.556024,3,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750059257.5355191,3,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1750059290.1428719,3,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750059337.266655,3,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750061268.839345,3,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1750061775.236044,3,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1750064373.820729,3,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750761036.605294,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750775376.8041039,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1750775403.071453,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750784214.177126,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750793334.010744,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750795081.086088,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750795308.0304341,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750796759.474225,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750834211.6970859,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1750837868.668014,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750837987.3475451,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1750865626.545007,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1750868093.691447,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750885457.10816,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750886625.626312,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1750890747.2209349,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750893363.692764,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1750928825.018958,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1750928917.4422379,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1750960576.02407,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751025401.50508,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751029891.059214,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751036363.939519,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751050625.9460258,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751051596.724648,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751051698.709865,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751058209.9537458,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751059008.0947242,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751059318.5798922,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751062201.423646,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751062218.50603,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751062364.4451098,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751062796.859721,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751062999.671897,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751064464.88629,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751064480.309653,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751112545.6085172,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751115381.3999438,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751117639.2250628,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751151207.9241362,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751152475.613656,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751196160.9388762,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751196688.424865,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751202186.950588,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751216423.543493,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751217616.5169458,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751217630.136005,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751231350.843807,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751231356.4813461,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751280107.922497,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751292477.754019,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751292495.3334951,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751305427.9135761,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751354769.583406,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751354914.765503,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751356189.917928,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751356212.505444,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751356232.2418299,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751357009.506835,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751366538.556158,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751367128.460386,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751482481.377099,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751488062.114569,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751574959.473428,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751577781.052713,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751577782.4201698,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751579909.273594,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751579930.451515,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751621829.5797138,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751627657.2340012,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751627855.348003,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751661740.406384,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751662345.166953,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751665277.389515,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751668348.2084,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751668360.651566,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751668379.778494,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751668403.606492,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751668416.791953,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751669393.786715,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751673760.196426,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751706678.5082932,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751712348.304914,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751744633.005404,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751795461.232739,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751797823.840868,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751802820.111794,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751807118.264557,6,snapchat,breathingExercise,False,dismissedAppOpening,Europe/Berlin
1751807172.241348,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
1751829897.784124,6,snapchat,breathingExercise,False,openedApp,Europe/Berlin
