app,timestamp,isReIntervention,resolution,interventionDuration,interventionType,timezone
instagram,1751644417.283742,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751646788.558515,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751647590.9306312,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751666714.0600781,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751668921.2143512,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751706476.060889,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751707727.547982,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751708688.399957,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751709994.590921,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751727029.344932,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751823401.9440389,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751829767.538796,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751832906.751317,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751875686.142908,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751896976.838798,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751898151.825531,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751901528.955594,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751915172.475292,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751917019.2249231,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751919965.947147,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751961353.970562,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751981707.4884372,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751983581.7587,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1752015736.964282,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1752048580.763407,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1752068314.585264,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1752068914.29697,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1752073757.948367,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1752076949.9305239,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1752077076.672255,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1752077857.469094,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1752077888.6690931,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1752077898.757831,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1752102196.310447,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1752102281.1679459,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1752139696.944016,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1752144190.507169,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1752145131.442745,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1752155414.550537,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1752189308.581523,False,dismissedAppOpening,6,breathingExercise,Europe/Brussels
instagram,1752227583.528573,False,openedApp,6,breathingExercise,Europe/Brussels
instagram,1752228118.829677,False,openedApp,6,breathingExercise,Europe/Brussels
instagram,1752228355.029598,False,openedApp,6,breathingExercise,Europe/Brussels
instagram,1752240390.0918021,False,openedApp,6,breathingExercise,Europe/Brussels
instagram,1752269205.722837,False,openedApp,6,breathingExercise,Europe/Brussels
instagram,1752273833.987654,False,dismissedAppOpening,6,breathingExercise,Europe/Brussels
instagram,1752273957.8028588,False,dismissedAppOpening,6,breathingExercise,Europe/Brussels
instagram,1752273984.7924,False,openedApp,6,breathingExercise,Europe/Brussels
instagram,1752274359.369317,False,dismissedAppOpening,6,breathingExercise,Europe/Brussels
instagram,1752318144.1553369,False,openedApp,6,breathingExercise,Europe/Brussels
instagram,1752320225.0710459,False,openedApp,6,breathingExercise,Europe/Brussels
instagram,1752320459.1155062,False,openedApp,6,breathingExercise,Europe/Brussels
instagram,1752323673.728446,False,openedApp,6,breathingExercise,Europe/Brussels
instagram,1752328974.4770122,False,dismissedAppOpening,6,breathingExercise,Europe/Brussels
instagram,1752329271.801405,False,dismissedAppOpening,6,breathingExercise,Europe/Brussels
instagram,1752334698.2013521,False,openedApp,6,breathingExercise,Europe/Brussels
instagram,1752353819.971054,False,openedApp,6,breathingExercise,Europe/Brussels
instagram,1752353940.933728,False,dismissedAppOpening,6,breathingExercise,Europe/Brussels
instagram,1752354395.489304,False,openedApp,6,breathingExercise,Europe/Brussels
