resolution,interventionDuration,isReIntervention,timezone,app,interventionType,timestamp
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750662799.5773
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750663146.0932422
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750663158.193181
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750663685.063857
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750666331.908339
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750666463.669886
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750666472.340153
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750668374.251585
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750670232.05426
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750670253.850191
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750670294.693172
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750680410.834229
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750680421.024189
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750680566.912945
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750684319.088148
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750684681.849103
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750684904.8396
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750685401.1643748
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750685517.172431
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750687070.266303
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750687188.418995
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750689159.719781
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750689181.582905
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750689328.028479
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750689867.213007
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750690009.3779268
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750690218.30689
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750691728.136971
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750697620.5678658
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750706297.942194
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750706334.072126
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750706347.056488
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750706638.643589
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750707115.41193
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750707214.640184
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750707517.620275
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750707553.775398
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750707638.1118798
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750707768.100744
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750708133.422977
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750708174.734885
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750708181.2108579
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750708190.115147
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750725486.202972
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750725636.070951
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750753028.5899348
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750753737.6513839
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750753917.992775
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750754275.063559
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750754751.298465
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750754896.292135
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750754958.40306
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750755143.6462631
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750755374.881243
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750755748.631452
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750757177.453706
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750757644.381237
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750757680.72731
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750758764.8816419
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750758817.152684
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750758834.7782068
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750758871.4938679
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750758901.676616
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750758945.0997639
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750759016.0084128
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750760201.8095179
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750760260.12037
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750760279.3665051
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750761131.2658439
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750761361.752897
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750761806.3459811
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750761914.578162
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750764924.810369
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750771491.18834
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750771861.520949
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750773318.815577
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750773784.263736
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750777966.453034
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750778377.268317
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750783519.884774
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750784110.369143
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750784353.207392
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750785646.860249
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750787796.027614
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750796264.137692
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750796294.575433
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750796459.0160341
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750803014.1570659
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750804324.873158
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750805116.6129808
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750818047.016635
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750819145.889431
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750819192.901918
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750820977.714184
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750838379.198211
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750838564.623066
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750839653.720228
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750839663.986335
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750842452.334196
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750856991.3714771
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750857290.192589
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750857298.230819
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750858984.354545
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750859557.0910459
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750859650.2084599
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750859761.187011
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750859778.951802
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750859833.5159369
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750860291.65188
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750874222.41778
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750876019.336134
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750876058.671266
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750881056.858204
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750888503.8559299
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750905566.2701259
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750909277.112551
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750925350.25043
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750925396.265695
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750925935.592579
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750926600.465465
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750926810.54811
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750927280.794841
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750927544.2164311
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750928236.889138
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750928438.1384392
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750928454.4829102
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750928619.7654018
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750929018.91153
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750929918.99141
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750944805.144326
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750944912.841014
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750949777.555949
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750950056.661705
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750958987.187636
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750959003.520009
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750973140.205739
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750979149.501864
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751001490.6095319
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751024038.499243
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751050162.600183
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751050908.2881532
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751052805.6861691
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751054259.521899
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751054621.6116052
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751055541.3436809
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751056998.299392
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1751057109.0329108
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751057120.682701
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751057237.390765
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751058272.843893
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751062884.876332
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751077743.2192888
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751078710.8609161
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751078793.779614
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751079600.679115
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751079954.983539
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751080307.5356832
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751083077.2893848
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751083253.306017
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751083412.922266
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751084129.743558
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1751084183.0017219
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1751084187.7453032
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751084372.439317
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751084656.381462
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751084770.823292
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751085316.530901
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751085401.909717
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1751086297.831186
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751086309.600992
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751089279.170578
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751096828.34641
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751097667.9775639
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751101259.371564
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751105343.458675
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751115151.94011
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751115326.0299258
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1751115405.424737
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751115567.456316
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1751116599.4035711
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751116633.052623
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1751116822.480606
