resolution,interventionType,timestamp,interventionDuration,isReIntervention,timezone,app,purpose
openedApp,breathingExercise,1751034595.5582151,3,False,Europe/London,whastapp,Bored
dismissedAppOpening,breathingExercise,1751034710.216074,3,False,Europe/London,brawlStars,
dismissedAppOpening,breathingExercise,1751035371.8727288,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751035379.037293,3,False,Europe/London,gmail,
openedApp,breathingExercise,1751035394.546056,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1751035545.4769778,3,False,Europe/London,brawlStars,
openedApp,breathingExercise,1751035559.1552339,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751037448.6427488,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1751038350.783208,3,False,Europe/London,google,
dismissedAppOpening,breathingExercise,1751038467.114675,3,False,Europe/London,brawlStars,
openedApp,breathingExercise,1751038488.1869721,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751039315.838634,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751041009.0530019,3,False,Europe/London,spotify,Bored
openedApp,breathingExercise,1751041197.213299,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751043472.2406511,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751044844.135658,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751044877.063225,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751044886.715053,3,False,Europe/London,brawlStars,
openedApp,breathingExercise,1751045684.6638231,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751048519.955936,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751051244.463614,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751051263.108751,3,False,Europe/London,whastapp,Bored
dismissedAppOpening,breathingExercise,1751051334.817867,3,False,Europe/London,gmail,
dismissedAppOpening,breathingExercise,1751051338.238706,3,False,Europe/London,gmail,
openedApp,breathingExercise,1751051410.033214,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1751051613.8808188,3,False,Europe/London,brawlStars,
openedApp,breathingExercise,1751089737.96806,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751089812.8606381,3,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1751089877.080647,3,False,Europe/London,gmail,Bored
openedApp,breathingExercise,1751090022.804902,3,False,Europe/London,gmail,Bored
openedApp,breathingExercise,1751090158.7946548,3,False,Europe/London,gmail,Bored
openedApp,breathingExercise,1751090414.288299,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751090447.3732572,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751092270.0365372,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1751094068.644188,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751094081.1725888,3,False,Europe/London,clashOfClans,Bored
openedApp,breathingExercise,1751094203.9259949,3,False,Europe/London,spotify,Bored
openedApp,breathingExercise,1751094463.6404781,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751096923.878796,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751103250.6988611,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751103267.483097,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751103289.214912,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751104844.040878,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751105575.576686,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1751107403.91709,3,False,Europe/London,google,
openedApp,breathingExercise,1751109468.724916,3,False,Europe/London,whastapp,Bored
dismissedAppOpening,breathingExercise,1751110041.029972,3,False,Europe/London,google,
openedApp,breathingExercise,1751110050.4250178,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751112064.17922,3,False,Europe/London,gmail,
dismissedAppOpening,breathingExercise,1751112428.124152,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751112449.663441,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1751112568.891998,3,False,Europe/London,brawlStars,
dismissedAppOpening,breathingExercise,1751112599.3513188,3,False,Europe/London,brawlStars,
dismissedAppOpening,breathingExercise,1751112650.2650309,3,False,Europe/London,brawlStars,
dismissedAppOpening,breathingExercise,1751112652.606691,3,False,Europe/London,brawlStars,
dismissedAppOpening,breathingExercise,1751112668.192745,3,False,Europe/London,brawlStars,
openedApp,breathingExercise,1751112980.896157,3,False,Europe/London,whastapp,Bored
dismissedAppOpening,breathingExercise,1751112989.7915149,3,False,Europe/London,brawlStars,
dismissedAppOpening,breathingExercise,1751113129.016982,3,False,Europe/London,brawlStars,
openedApp,breathingExercise,1751115978.30983,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751118507.268042,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751120568.257966,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1751120787.464487,3,False,Europe/London,clashOfClans,
openedApp,breathingExercise,1751120915.403606,3,False,Europe/London,spotify,Bored
openedApp,breathingExercise,1751121189.602157,3,False,Europe/London,gmail,Bored
openedApp,breathingExercise,1751121733.467,3,False,Europe/London,gmail,Bored
openedApp,breathingExercise,1751122829.015136,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751124403.048715,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751124413.454011,3,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1751124442.806404,3,False,Europe/London,gmail,Bored
openedApp,breathingExercise,1751124465.7065802,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751125060.118569,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751134045.730176,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751135626.544415,3,False,Europe/London,gmail,Bored
openedApp,breathingExercise,1751135674.7941952,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751180944.316721,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751311267.534297,3,False,Europe/London,brawlStars,
openedApp,breathingExercise,1751311737.395206,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1751313213.705859,3,False,Europe/London,google,
openedApp,breathingExercise,1751313238.230263,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751313768.651479,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751314259.979882,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751314295.874775,3,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1751314321.30336,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751315824.7697191,3,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1751348670.091342,3,False,Europe/London,spotify,Bored
openedApp,breathingExercise,1751348684.941083,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751350672.403624,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751351138.135343,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751353183.67514,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751353920.547368,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751353924.284728,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751353930.914928,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751353934.248554,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751354012.620796,3,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1751354167.4811292,3,False,Europe/London,whastapp,Bored
dismissedAppOpening,breathingExercise,1751354192.753336,3,False,Europe/London,gmail,
openedApp,breathingExercise,1751380704.411968,3,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1751380788.1937308,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1751382867.8469071,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751382870.965826,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751382878.8704882,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751382881.9873161,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751382942.7222319,3,False,Europe/London,gmail,
openedApp,breathingExercise,1751383168.006645,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751385211.370693,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1751386054.440508,3,False,Europe/London,brawlStars,
dismissedAppOpening,breathingExercise,1751387608.9011412,3,False,Europe/London,brawlStars,
openedApp,breathingExercise,1751388205.9997349,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751390264.498273,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751391010.711077,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1751392424.882838,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751392427.5849361,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751392430.847791,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751392433.854758,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751392444.898901,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751396739.677392,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751437559.045889,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751438983.357918,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751441688.068244,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751441691.2544332,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751441695.4913769,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751441699.2233229,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751524559.190961,3,False,Europe/London,whastapp,Bored
dismissedAppOpening,breathingExercise,1751524612.204255,3,False,Europe/London,gmail,
openedApp,breathingExercise,1751524682.212654,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751525288.1056972,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751525761.2806768,3,False,Europe/London,gmail,
dismissedAppOpening,breathingExercise,1751525802.754548,3,False,Europe/London,google,
dismissedAppOpening,breathingExercise,1751553487.345622,3,False,Europe/London,gmail,
openedApp,breathingExercise,1751561107.604426,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751562030.212246,3,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1751563399.9775171,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751574915.5558848,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751575685.562203,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751607283.939897,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751611073.652143,3,False,Europe/London,gmail,
openedApp,breathingExercise,1751611081.6121988,3,False,Europe/London,gmail,Bored
dismissedAppOpening,breathingExercise,1751611099.2106872,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751611102.3195019,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751611113.405573,3,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1751612007.196964,3,False,Europe/London,google,Bored
