resolution,interventionType,timestamp,isReIntervention,timeIntervalUntilReIntervention,interventionDuration,timezone,app,purpose
openedApp,breathingExercise,1751121029.730396,False,120.0,3.0,Asia/Kolkata,whastapp,Message
dismissedAppOpening,breathingExercise,1751121957.399187,False,,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751121971.899193,False,60.0,3.0,Asia/Kolkata,whastapp,Message
dismissedAppOpening,breathingExercise,1751122109.075341,False,,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751125585.1596642,False,300.0,3.0,Asia/Kolkata,whastapp,Message
dismissedAppOpening,breathingExercise,1751129092.858005,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,breathingExercise,1751129095.106811,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,breathingExercise,1751129096.7324538,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,breathingExercise,1751129098.973968,False,,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751130685.564155,False,300.0,3.0,Asia/Kolkata,whastapp,Message
dismissedAppOpening,breathingExercise,1751130804.061969,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,breathingExercise,1751130955.5676641,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,breathingExercise,1751131057.0559359,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,breathingExercise,1751132799.121642,False,,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751135241.6259642,False,60.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,breathingExercise,1751135335.038567,True,60.0,3.0,Asia/Kolkata,whastapp,Message
dismissedAppOpening,breathingExercise,1751135562.3525329,False,,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751173293.408268,False,180.0,3.0,Asia/Kolkata,whastapp,Message
dismissedAppOpening,breathingExercise,1751174384.983052,False,,3.0,Asia/Kolkata,whastapp,
openedApp,,1751174414.1988668,False,,,Asia/Kolkata,whastapp,
closedApp,,1751174474.1988668,False,,,Asia/Kolkata,whastapp,
dismissedAppOpening,,1751174474.198868,False,,,Asia/Kolkata,whastapp,
openedApp,,1751174437.6293368,False,,,Asia/Kolkata,whastapp,
closedApp,,1751174497.6293368,False,,,Asia/Kolkata,whastapp,
dismissedAppOpening,,1751174497.629338,False,,,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751177975.298636,False,,3.0,Asia/Kolkata,whastapp,Message
openedApp,breathingExercise,1751183955.117533,False,,3.0,Asia/Kolkata,whastapp,Message
openedApp,breathingExercise,1751201457.24495,False,,3.0,Asia/Kolkata,whastapp,Message
openedApp,breathingExercise,1751207333.2966251,False,,3.0,Asia/Kolkata,whastapp,Message
openedApp,breathingExercise,1751208886.070966,False,,3.0,Asia/Kolkata,whastapp,Message
dismissedAppOpening,askForTimeLimit,1751209361.108543,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751212270.8800092,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751212547.1589952,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751212554.3237062,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751213704.582644,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751213781.896076,True,1800.0,3.0,Asia/Kolkata,whastapp,Message
dismissedAppOpening,askForTimeLimit,1751214113.352828,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751216264.254164,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751224221.0889769,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751251183.575173,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751254509.590091,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751254511.901485,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751254589.578998,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751260649.6824431,False,120.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751261064.450018,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751261067.6402512,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751262564.017132,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751262861.018259,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751264189.225523,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751264263.9225879,False,60.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751264967.1290832,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751265112.528681,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751265270.6529331,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751265806.117775,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751265918.698545,False,1800.0,3.0,Asia/Kolkata,whastapp,Message
dismissedAppOpening,askForTimeLimit,1751266328.150135,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751266405.845152,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751266539.410809,True,960.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751266619.8204489,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751268734.212476,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751269044.774931,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751269047.510038,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751273268.246454,False,360.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751273804.330286,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751279560.157985,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751279767.887908,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751280069.834507,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751281717.106267,False,540.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751281842.257111,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751290252.0353122,False,480.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751290459.64991,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751291775.594584,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,breathingExercise,1751291901.703422,True,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751293249.428053,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751293488.510415,False,2700.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751293677.087479,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751293752.0847669,True,2220.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751294195.169924,False,1140.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751295605.954602,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751296819.820833,False,420.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751297421.615099,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751297650.829792,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751303137.472995,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751303145.270829,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751305628.424475,False,840.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751306255.693125,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751309401.9308429,False,1140.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751309743.898656,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751314150.728386,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751314434.668297,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751343283.874084,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751346780.500605,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751347239.301546,True,300.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751347330.897348,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751347536.955724,False,1020.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751348658.513115,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751350083.8587399,False,540.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751351365.1501951,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751351668.174429,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751353754.848445,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751353764.849427,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751353904.522005,False,420.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751354006.930856,False,360.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751354126.1366081,False,660.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751354298.22538,False,360.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751354445.66286,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751354447.3601851,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751354590.219561,False,900.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751355033.894287,False,480.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751355114.284779,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751356099.395397,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751356510.902071,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751356818.210012,False,360.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751356964.1206288,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751357110.9459472,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751359191.322439,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751360400.982862,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751361287.137097,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751361935.913522,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751366648.636683,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751366650.142343,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751368377.494299,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751368453.923298,True,2700.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751368628.19749,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751368976.472707,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751369744.0201778,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751373058.034398,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751373176.081846,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751379061.195936,False,600.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751383235.6030378,False,360.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751386967.756106,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751387052.9601111,True,2700.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751387327.243774,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751387401.4615831,True,2700.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751387841.488954,False,1200.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751388251.32169,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751388253.978485,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751388431.3212008,False,540.0,3.0,Asia/Kolkata,whastapp,Message
dismissedAppOpening,askForTimeLimit,1751388512.2161899,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751390875.599004,False,240.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751390985.718216,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,breathingExercise,1751391089.341226,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,breathingExercise,1751391092.846106,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751392626.0214791,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751392628.383652,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751392638.627064,False,660.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751392946.530714,False,1140.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751393273.3593612,False,900.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751393475.767212,False,900.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751393633.323914,False,540.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751393749.09204,False,660.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751393824.9865608,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751393847.6177402,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751393851.103486,False,960.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751394365.548567,False,480.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751394434.535578,False,540.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751394505.2394872,False,360.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751402831.611079,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751405011.657321,False,300.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751405121.574415,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751423927.3152518,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751424172.803735,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751424382.57376,False,600.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751428484.044431,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751430975.944129,False,780.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751431059.650888,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751432432.941287,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,breathingExercise,1751432502.6413279,True,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751433167.205317,False,360.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751433511.377763,False,360.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751434041.359303,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751434499.31459,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751435706.9047499,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751436416.508171,True,480.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751436667.6806731,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751438899.1626282,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751439659.013345,False,360.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751440377.054381,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751440460.7012649,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751441574.209992,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751441577.117734,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751441586.8767838,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751441645.4346352,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751441949.909265,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751444975.321305,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751445069.278441,False,60.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,breathingExercise,1751445124.516992,True,540.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751449179.0751538,False,480.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751451314.619905,False,60.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751452372.9754472,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751454059.405113,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751455018.693661,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751455533.411278,True,60.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751456342.37868,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751457221.7809381,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751459303.537107,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751459475.224752,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751459890.762988,False,420.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751460066.97242,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751461706.188981,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751465379.7144818,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751465455.014436,True,660.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751466650.8939881,False,2700.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751467889.898345,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751480259.904963,False,960.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751480334.949473,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751480973.808162,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751481141.900975,False,1140.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751481340.336638,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751491355.577385,False,540.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751510211.029817,False,120.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,breathingExercise,1751510502.842047,True,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751512393.916672,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751518123.544088,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751526241.336587,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751526243.526854,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751526381.684092,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751529863.029113,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751529866.33607,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751531404.270838,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751531523.513089,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751531599.657861,True,2700.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751536438.5088038,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,breathingExercise,1751536510.543858,False,,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751536674.3648639,False,420.0,3.0,Asia/Kolkata,whastapp,Message
dismissedAppOpening,askForTimeLimit,1751536845.4894872,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751542109.666098,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751542202.743604,True,60.0,3.0,Asia/Kolkata,whastapp,Message
dismissedAppOpening,breathingExercise,1751542297.426145,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751545918.85143,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751546003.7690182,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751548568.044205,False,360.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751548656.11005,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751549081.730514,False,360.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751551107.310539,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751551183.098909,True,480.0,3.0,Asia/Kolkata,whastapp,Message
dismissedAppOpening,askForTimeLimit,1751553147.133572,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751557310.150341,False,360.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751557472.992456,False,1800.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751558024.284737,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751558027.683797,False,480.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751558409.894712,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751560132.575395,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751566083.879123,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751566193.288902,True,960.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751566381.5021238,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751566575.3966641,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751566578.8765159,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751566890.922347,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751566962.627119,True,840.0,3.0,Asia/Kolkata,whastapp,Message
dismissedAppOpening,askForTimeLimit,1751567116.254745,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751572668.556519,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751572848.4193459,False,,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751600486.692031,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751605452.712852,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751606735.3589978,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751611956.032382,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751611961.066263,False,60.0,3.0,Asia/Kolkata,whastapp,
dismissedAppOpening,askForTimeLimit,1751612058.766944,False,,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751612060.801971,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,breathingExercise,1751612134.127392,True,60.0,3.0,Asia/Kolkata,whastapp,Message
openedApp,askForTimeLimit,1751613489.617487,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751614237.893684,False,60.0,3.0,Asia/Kolkata,whastapp,
openedApp,askForTimeLimit,1751617350.962524,False,60.0,3.0,Asia/Kolkata,whastapp,
