interventionDuration,timestamp,timezone,app,resolution,isReIntervention,interventionType
3,1753356592.5902119,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753356594.179254,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753357863.877521,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753358170.492389,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753360212.832864,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753361424.967555,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753362407.8784351,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753362412.053361,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753362415.566356,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753362419.5254889,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753363879.682891,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753363882.519367,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753365326.577094,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753366438.364778,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366440.545419,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366477.119813,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366480.4157019,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366483.599062,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366485.467793,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366488.142974,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366491.147336,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366559.731956,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366562.121753,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753366564.8052301,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
