resolution,interventionDuration,interventionType,isReIntervention,purpose,timeIntervalUntilReIntervention,timezone,timestamp,app
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749228549.1270761,youtube
openedApp,3,breathingExercise,False,Mensaje,900.0,America/Denver,1749229005.249692,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749229179.1698542,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749251211.917686,telegram
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749251469.161941,youtube
openedApp,3,breathingExercise,False,Mantente Informado,900.0,America/Denver,1749265824.533422,youtube
openedApp,3,breathingExercise,False,Mantente Informado,900.0,America/Denver,1749315830.094644,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749321417.564942,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749322369.9860392,youtube
openedApp,3,breathingExercise,False,Escapar / Evitar,900.0,America/Denver,1749326626.3477511,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749345345.536377,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749355625.998842,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749356150.950221,youtube
openedApp,3,breathingExercise,False,Mensaje,900.0,America/Denver,1749357545.50541,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749397070.1783829,youtube
openedApp,3,breathingExercise,False,Mensaje,900.0,America/Denver,1749397993.1043959,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749399494.087317,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749418498.28637,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749434490.298979,telegram
openedApp,3,breathingExercise,False,Entretenimiento,840.0,America/Denver,1749434544.59765,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749484442.641959,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1749485366.309897,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1749486266.955534,youtube
openedApp,3,breathingExercise,False,Mensaje,900.0,America/Denver,1749495470.001174,youtube
openedApp,3,breathingExercise,False,Mensaje,900.0,America/Denver,1749512562.008758,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749606420.013568,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749608406.5923839,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749611757.177895,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749612122.7012138,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749612147.9464002,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749616736.326367,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749660832.158908,youtube
dismissedAppOpening,3,breathingExercise,True,,,America/Denver,1749661741.110112,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749661821.500385,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749662910.114341,youtube
openedApp,3,breathingExercise,False,Mensaje,900.0,America/Denver,1749662935.215104,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749663387.7447882,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749664552.799545,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749664567.4262571,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749666168.419338,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749674923.763955,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749675023.39917,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749675056.711173,youtube
openedApp,3,breathingExercise,False,Relajarse,900.0,America/Denver,1749675973.1297212,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749681250.0202699,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749681617.8195071,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749694812.053485,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749746322.251342,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749746988.6880898,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749746999.697459,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749747044.766131,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749747242.5739632,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749751140.450193,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749772990.412812,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749773786.397465,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749773814.959774,youtube
openedApp,3,breathingExercise,False,Entretenimiento,840.0,America/Denver,1749835340.7409549,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749836156.822301,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749837135.207878,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749838424.010191,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749838593.462669,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749839515.3170881,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749840386.482125,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749842437.5264978,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749842837.743453,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749850563.493686,youtube
openedApp,3,breathingExercise,False,Entretenimiento,,America/Denver,1749858818.931559,telegram
openedApp,3,breathingExercise,False,Entretenimiento,,America/Denver,1749858961.050179,telegram
openedApp,3,breathingExercise,False,Entretenimiento,,America/Denver,1749859052.5701709,telegram
openedApp,3,breathingExercise,False,Entretenimiento,,America/Denver,1749859236.7736359,telegram
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749863237.424917,youtube
openedApp,3,breathingExercise,False,Entretenimiento,,America/Denver,1749868449.467355,telegram
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749870990.9936051,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749872513.911164,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749874394.401011,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749875353.748145,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749875447.724474,youtube
openedApp,3,breathingExercise,False,Entretenimiento,,America/Denver,1749916685.0303059,telegram
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749936648.052271,telegram
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749936650.205206,telegram
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749941808.754349,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749961895.577386,telegram
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749963170.346163,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749963189.5919142,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1750023560.446506,youtube
openedApp,3,breathingExercise,False,Entretenimiento,,America/Denver,1750029717.053292,telegram
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750029761.173814,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750030277.3428612,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750030417.9334068,youtube
openedApp,3,breathingExercise,False,Relajarse,900.0,America/Denver,1750031140.905356,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750032254.361043,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750033173.353548,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1750048661.8480139,telegram
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750049533.092389,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750050448.012738,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750051349.754797,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1750055329.171006,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1750055336.358516,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750055361.0858788,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750056285.1631088,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750091267.39013,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750091903.2687979,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750092223.845909,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750093065.774709,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750093382.485084,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750093526.938494,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750093723.111681,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750094003.150836,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750094088.869444,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750094555.1316972,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750094693.501857,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750094913.023635,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750105269.3862162,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750106184.548801,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750107987.858276,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750108905.64957,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1750115458.68979,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750117168.356392,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750118082.402858,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750118991.799659,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750128200.7183309,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750130312.721811,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750131229.421802,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750131559.0143971,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750174571.415316,youtube
dismissedAppOpening,3,breathingExercise,True,,,America/Denver,1750175490.783716,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750177097.05029,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750192698.6216369,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750193307.525007,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750196036.7626262,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750196297.8894482,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750196521.985242,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750202102.479642,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750204189.7254791,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750205241.4510322,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750208249.24034,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750209169.693125,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750210071.282371,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750210969.9698849,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750254328.796259,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750255247.5101562,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750255920.2982721,youtube
openedApp,3,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750256837.482654,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750258257.693561,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750259220.3595428,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750269742.1437879,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750291484.534358,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750291937.739709,youtube
openedApp,6,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750292859.8557591,youtube
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750350303.600815,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750350366.6210032,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750351293.770911,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750352172.9395509,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750352948.4136019,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750361727.0625548,youtube
openedApp,6,breathingExercise,True,Entretenimiento,120.0,America/Denver,1750362652.572544,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750364945.2778249,youtube
openedApp,6,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750365869.480125,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750366903.3398008,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750367329.060052,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750372138.185283,youtube
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750372236.9545488,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750373658.250485,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750393548.465613,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750394473.028204,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750431405.9935842,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750438726.1026,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750438752.870069,youtube
openedApp,6,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750439673.703559,youtube
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750440552.763828,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750441901.599434,youtube
openedApp,6,breathingExercise,True,Entretenimiento,900.0,America/Denver,1750442829.019001,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750464001.9607859,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750465684.6749501,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750479874.2309442,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750521042.065895,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750522375.383278,youtube
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750531287.4130921,youtube
openedApp,6,breathingExercise,False,Buscar info,900.0,America/Denver,1750533995.901273,youtube
openedApp,6,breathingExercise,True,Buscar info,900.0,America/Denver,1750534927.136167,youtube
openedApp,6,breathingExercise,False,Buscar info,,America/Denver,1750539317.001951,duoLingo
openedApp,6,breathingExercise,False,Estudio ,,America/Denver,1750539741.146851,duoLingo
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750539794.068198,duoLingo
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750539798.545426,duoLingo
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750539823.1863499,duoLingo
openedApp,6,askForTimeLimit,False,,1800.0,America/Denver,1750539939.4469519,duoLingo
openedApp,6,askForTimeLimit,False,,1800.0,America/Denver,1750539982.948028,duoLingo
dismissedAppOpening,6,askForTimeLimit,False,,,America/Denver,1750540063.725412,duoLingo
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750540296.2961202,duoLingo
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750540310.0453901,duoLingo
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750540322.7045832,duoLingo
openedApp,6,breathingExercise,False,Entretenimiento,360.0,America/Denver,1750540349.214446,duoLingo
openedApp,6,breathingExercise,False,Entretenimiento,360.0,America/Denver,1750540448.584666,duoLingo
openedApp,6,breathingExercise,False,Entretenimiento,900.0,America/Denver,1750540538.005645,youtube
openedApp,6,breathingExercise,True,Entretenimiento,300.0,America/Denver,1750541464.7346392,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750561975.139431,youtube
openedApp,6,breathingExercise,False,Entertainment,240.0,America/Denver,1750562421.350563,duoLingo
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750599787.410386,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750600146.384015,youtube
openedApp,6,breathingExercise,True,Entertainment,900.0,America/Denver,1750601099.937351,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750603005.823543,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750604250.126974,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750605481.6190472,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750606475.774199,youtube
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750607311.508294,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750607460.7586842,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750608124.10128,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750610108.360841,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750622306.1239529,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750623160.176309,youtube
openedApp,6,breathingExercise,False,Entertainment,1800.0,America/Denver,1750626196.9993072,duoLingo
openedApp,6,breathingExercise,True,Entertainment,1800.0,America/Denver,1750628023.691623,duoLingo
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750639937.424748,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750640744.48651,youtube
openedApp,6,breathingExercise,True,Entertainment,900.0,America/Denver,1750641667.702327,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750643040.547974,youtube
openedApp,6,breathingExercise,True,Entertainment,120.0,America/Denver,1750643965.010415,youtube
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750686804.536938,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750686824.0664191,youtube
openedApp,6,breathingExercise,True,Entertainment,900.0,America/Denver,1750687747.0951,youtube
openedApp,6,breathingExercise,True,Entertainment,900.0,America/Denver,1750688646.5416632,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750689733.454523,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750690334.44062,youtube
openedApp,6,breathingExercise,False,Entertainment,1800.0,America/Denver,1750737322.520396,duoLingo
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750739713.1478748,youtube
openedApp,6,breathingExercise,True,Entertainment,900.0,America/Denver,1750740641.0157151,youtube
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750780367.085472,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750781411.0025039,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750781968.644557,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750785149.569598,youtube
openedApp,6,breathingExercise,False,Entertainment,1800.0,America/Denver,1750822828.427649,duoLingo
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750860924.220704,youtube
openedApp,6,breathingExercise,True,Entertainment,900.0,America/Denver,1750861847.1185799,youtube
openedApp,6,breathingExercise,True,Entertainment,240.0,America/Denver,1750862762.256347,youtube
openedApp,6,breathingExercise,False,Entertainment,600.0,America/Denver,1750863028.6856852,youtube
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750864717.97691,youtube
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750866461.826809,youtube
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750869047.876812,duoLingo
openedApp,6,breathingExercise,False,Entertainment,1800.0,America/Denver,1750869079.7441401,duoLingo
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750869173.148096,youtube
openedApp,6,breathingExercise,False,Search Info,1800.0,America/Denver,1750869720.5210562,duoLingo
openedApp,6,breathingExercise,True,Search Info,1080.0,America/Denver,1750871605.949744,duoLingo
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750891626.834714,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750899610.323053,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750899963.130115,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750901520.589504,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750912532.848079,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750954545.8074121,youtube
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1750955171.4554482,youtube
openedApp,6,breathingExercise,False,Entertainment,1800.0,America/Denver,1750958859.041609,duoLingo
openedApp,6,breathingExercise,True,Entertainment,1800.0,America/Denver,1750960738.141214,duoLingo
openedApp,6,breathingExercise,False,Entertainment,540.0,America/Denver,1750962259.0983791,duoLingo
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1750976811.953685,youtube
openedApp,6,breathingExercise,True,Entertainment,900.0,America/Denver,1750977737.573471,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1751035279.339566,youtube
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1751038966.748421,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1751039019.247882,youtube
openedApp,6,breathingExercise,True,Entertainment,900.0,America/Denver,1751039942.385404,youtube
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1751041644.0639591,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1751042014.07238,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1751042668.152782,youtube
openedApp,6,breathingExercise,True,Search Info,900.0,America/Denver,1751043594.262815,youtube
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1751057514.194234,duoLingo
openedApp,6,breathingExercise,False,Entertainment,1800.0,America/Denver,1751057558.5892448,duoLingo
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1751062383.747894,duoLingo
openedApp,6,breathingExercise,False,Search Info,1800.0,America/Denver,1751066978.034223,duoLingo
openedApp,6,breathingExercise,True,Search Info,1800.0,America/Denver,1751068800.6399221,duoLingo
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1751083875.523645,youtube
openedApp,6,breathingExercise,True,Entertainment,900.0,America/Denver,1751084804.56771,youtube
openedApp,6,breathingExercise,True,Entertainment,900.0,America/Denver,1751085721.0753999,youtube
openedApp,6,breathingExercise,False,Entertainment,900.0,America/Denver,1751086995.332272,youtube
dismissedAppOpening,6,breathingExercise,False,,,America/Denver,1751138920.998855,duoLingo
openedApp,6,breathingExercise,False,Search Info,1800.0,America/Denver,1751138990.13259,duoLingo
openedApp,6,breathingExercise,False,Entertainment,1800.0,America/Denver,1751139396.831509,duoLingo
