resolution,app,timezone,interventionType,interventionDuration,timestamp,isReIntervention,purpose
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749288747.779675,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749289330.9744592,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749293159.398004,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749293315.4230409,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749293741.043515,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749294994.4970288,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749295964.367141,False,
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749298682.883676,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749321471.072637,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749321665.500752,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749322329.342058,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749322915.866372,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749325165.3361979,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749329079.244279,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749329544.541599,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749329879.561096,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749330257.661734,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749333105.283366,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749337413.112958,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749338393.470901,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749340488.309026,False,
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749340622.09589,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749340633.6023211,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749344928.461028,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749345079.676856,False,
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749355968.022983,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749356211.796938,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749365390.518466,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749365828.687674,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749370293.575597,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749370453.925469,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749371925.9640641,False,
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749379745.222487,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749379926.898812,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749380015.7850351,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749380171.766149,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749407423.060878,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749407519.793244,False,
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749407523.203944,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749407552.891957,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749407718.948926,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749407765.284617,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749408190.186211,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749417297.973329,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749440262.469921,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749440492.937131,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749441870.459406,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749442041.232767,False,
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749444688.2494879,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749447811.10077,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749448771.4792318,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749448947.985069,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749449371.835857,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749449522.780132,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749457241.6335878,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749493339.6533031,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749494228.6142411,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749507260.771838,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749514560.702894,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749525165.303488,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749525357.793099,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749543143.190835,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749543473.3734322,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749543511.3616009,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749543624.939868,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749546920.53059,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749547724.3897839,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749549556.066399,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749578056.287236,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749585496.908037,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749585606.288344,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749592150.855819,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749592380.2090368,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749592517.0031018,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749602452.923264,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749602486.20084,False,Search Info
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749605686.9407701,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749607522.8659558,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749609872.8252711,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749617765.722886,False,Message
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749618689.871539,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749618707.913612,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749621010.406052,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749622087.7678518,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749627294.8833299,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749627740.916666,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749631056.158077,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749631073.564228,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749655753.6526098,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749676658.995452,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749685129.914349,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749685307.5941238,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749685415.5013208,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749685504.628694,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749690984.4940739,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749691443.1786032,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749691455.356567,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749698191.16179,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749698259.290207,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749713991.854285,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749714156.498184,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749722924.556283,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749725022.854234,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749725951.45504,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749745268.65677,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749745409.934111,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749747001.133398,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749747083.292644,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749747724.242028,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749755959.8697119,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749755972.7786942,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749756064.366777,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749759901.604698,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749764882.6453319,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749765483.515778,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749765861.552713,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749769069.2463799,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749772757.891008,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749772986.660269,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749774033.707611,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749775142.035056,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749784932.0613751,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749797836.744021,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749797917.5875049,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749798961.1706228,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749799195.742264,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749800321.276694,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749800737.4602342,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749800806.463203,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749801571.392926,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749802970.661403,False,
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749836449.046493,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749836922.079201,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749842051.853176,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749842452.5543551,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749842538.621043,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749842655.558477,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749851302.607501,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749851425.191036,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749851692.986938,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749851939.3920798,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749851987.7113972,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749853234.726531,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749853950.229064,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749854125.339556,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749854659.102384,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749885426.815129,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749885597.254777,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749888628.9023209,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749894683.3857121,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749894985.526894,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749895160.613801,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749895210.759115,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749895472.174934,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749896478.2338529,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749896686.981934,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749897395.331176,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749928714.3472838,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749929087.2609491,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749929183.909677,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749929281.2981,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749929811.3881521,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749933340.0004969,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749933563.1312032,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749934616.101423,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749934856.047307,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749935050.858667,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749939174.9018059,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749939272.582722,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749939287.395396,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749964773.907584,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749967516.7812362,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749980085.278969,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749981688.035192,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750006755.647387,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750007608.7588592,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750007767.558588,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1750008983.604435,False,
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1750008990.7747831,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750009002.4845052,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750010358.472801,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750020731.188678,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1750022330.058189,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750022348.1681871,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750044280.370823,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750046137.014641,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750046703.4832358,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750048045.541239,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750048522.3907762,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1750049906.352761,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750049920.279413,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1750091920.75719,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750091932.806169,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750092104.446089,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750092175.350288,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750092203.181027,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750092522.537574,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750092612.127239,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750092811.3317552,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750092885.969996,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750096424.6439419,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750097082.397798,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750113428.644242,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750114214.986404,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750114637.064004,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750116822.441745,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1750124683.371982,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750125057.047985,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750125158.922637,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750125211.8276381,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750130917.040909,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1750135862.838002,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750135875.131569,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750137162.237187,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1750137586.748627,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750185562.940195,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750191483.6275868,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750198039.50847,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1750199081.840849,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750204168.271299,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750206341.291023,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750206393.4395761,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750208307.185772,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1750211618.301674,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750211629.624732,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750211865.36438,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750213483.106007,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750217035.4178681,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750225541.5045,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1750227496.3147879,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750227529.301805,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1750234692.951761,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750241385.4159698,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750268663.122571,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750273140.250218,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750277131.897914,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750296068.5152922,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750302066.5512261,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750303169.123807,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750309540.161885,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750310285.1773582,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1750315153.1686358,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,6,1750324683.288594,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,6,1750364774.208185,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,6,1750365175.608934,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,6,1750367426.3882031,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,6,1750369475.969753,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,6,1750374981.1179972,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,6,1750375039.005089,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,6,1750375760.4976301,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,6,1750376489.527004,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,6,1750377335.2183418,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,6,1750380221.862156,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,6,1750389762.34232,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,6,1750389778.9033298,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,6,1750390027.520458,False,Escape / Avoid
openedApp,instagram,America/Los_Angeles,breathingExercise,6,1750390066.9971561,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,6,1750445730.329825,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,6,1750446008.9605742,False,Stay In the Loop
