app,isReIntervention,resolution,timestamp,timezone,purpose,interventionDuration,interventionType
facebook,False,openedApp,1751288328.056024,America/Chicago,Stay In the Loop,6.0,breathingExercise
facebook,False,openedApp,1751320000.0990329,America/Chicago,Search Info,6.0,breathingExercise
facebook,False,openedApp,1751326866.514361,America/Chicago,Search Info,6.0,breathingExercise
yahooMail,False,openedApp,1751464106.827804,America/Chicago,Stay In the Loop,6.0,breathingExercise
yahooMail,False,dismissedAppOpening,1751467116.541918,America/Chicago,,6.0,breathingExercise
yahooMail,False,openedApp,1751467155.13656,America/Chicago,Search Info,6.0,breathingExercise
facebook,False,openedApp,1751774218.2906651,America/Chicago,Search Info,6.0,breathingExercise
instagram,False,openedApp,1751852916.199198,America/Chicago,Search Info,6.0,breathingExercise
pinterest,False,openedApp,1751912874.144012,America/Chicago,Relax,6.0,breathingExercise
pinterest,False,openedApp,1751915732.860721,America/Chicago,Relax,6.0,breathingExercise
yahooMail,False,openedApp,1751917306.213986,America/Chicago,Search Info,6.0,breathingExercise
facebook,False,openedApp,1751982012.2788548,America/Chicago,Relax,6.0,breathingExercise
facebook,False,openedApp,1751984222.4653769,America/Chicago,Relax,6.0,breathingExercise
facebook,False,openedApp,1751987738.685421,America/Chicago,Relax,6.0,breathingExercise
instagram,False,openedApp,1751999609.847579,America/Chicago,Relax,6.0,breathingExercise
facebook,False,openedApp,1752169233.184822,America/Chicago,Relax,6.0,breathingExercise
facebook,False,openedApp,1752171327.438802,America/Chicago,Relax,6.0,breathingExercise
facebook,False,openedApp,1752303469.447073,America/Chicago,Relax,6.0,breathingExercise
yahooMail,False,openedApp,1752303588.528539,America/Chicago,Relax,6.0,breathingExercise
instagram,False,openedApp,1752327225.141249,America/Chicago,Relax,6.0,breathingExercise
facebook,False,openedApp,1752408932.121866,America/Chicago,Relax,6.0,breathingExercise
yahooMail,False,openedApp,1752408987.600297,America/Chicago,Relax,6.0,breathingExercise
facebook,False,openedApp,1752428416.061925,America/Chicago,Relax,6.0,breathingExercise
yahooMail,False,openedApp,1752428616.591988,America/Chicago,Relax,6.0,breathingExercise
walmart,False,openedApp,1752446911.345587,America/Chicago,Search Info,6.0,breathingExercise
facebook,False,openedApp,1752450362.434351,America/Chicago,Search Info,6.0,breathingExercise
yahooMail,False,openedApp,1752607160.634688,America/Chicago,Search Info,6.0,breathingExercise
yahooMail,False,openedApp,1752677138.25353,America/Chicago,Search Info,6.0,breathingExercise
