isReIntervention,interventionType,resolution,timestamp,app,interventionDuration,timeIntervalUntilReIntervention,timezone
False,breathingExercise,openedApp,1752892678.198632,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1752892981.862999,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1752893634.70884,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1752893840.3134809,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1752940081.454694,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1752940283.720262,instagram,,,America/Guayaquil
False,,closedApp,1752940407.519697,instagram,,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1752940499.403342,instagram,3.0,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1752943018.899009,instagram,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1752943156.13798,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1752943183.045774,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1752943290.8260221,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1752943601.0618448,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1752945024.048902,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1752959509.0196161,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1752959610.270354,instagram,,,America/Guayaquil
False,,closedApp,1752961220.789921,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1752970367.1240978,instagram,3.0,240.0,America/Guayaquil
False,,closedApp,1752970406.416738,instagram,,,America/Guayaquil
False,,closedApp,1752970469.105767,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1752970639.135985,instagram,3.0,300.0,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1752970759.181761,instagram,3.0,,America/Guayaquil
False,,closedApp,1752970652.1169128,instagram,,,America/Guayaquil
False,,closedApp,1752970694.1520839,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1752970788.5966501,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1752970848.357167,instagram,,,America/Guayaquil
False,,closedApp,1752970884.216411,instagram,,,America/Guayaquil
False,,closedApp,1752970978.17156,instagram,,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1752971743.6305351,instagram,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1752973185.2033792,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1752973269.8929849,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1752987477.116609,instagram,3.0,240.0,America/Guayaquil
False,,closedApp,1752987518.057983,instagram,,,America/Guayaquil
False,,closedApp,1752988331.315073,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1752990777.751422,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1752990810.736247,instagram,,,America/Guayaquil
False,,closedApp,1752990888.45561,instagram,,,America/Guayaquil
False,,closedApp,1752990907.565376,instagram,,,America/Guayaquil
False,,closedApp,1752990937.4251761,instagram,,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1752995238.181298,instagram,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1752995788.804988,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1752995837.105319,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1752996081.51373,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1752996200.9534888,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1752998865.778553,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1752998935.8475518,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1752999084.753766,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1752999159.598545,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753026419.446735,instagram,3.0,240.0,America/Guayaquil
False,,closedApp,1753026582.1869102,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753030986.784902,instagram,3.0,240.0,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1753040973.4864821,instagram,3.0,,America/Guayaquil
False,,closedApp,1753031135.7156649,instagram,,,America/Guayaquil
False,,closedApp,1753031278.828608,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753041046.707782,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753041088.4300098,instagram,,,America/Guayaquil
False,,closedApp,1753041172.556278,instagram,,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1753042593.181145,instagram,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753042668.516288,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753042923.6952438,instagram,,,America/Guayaquil
False,,closedApp,1753043143.483148,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753043320.09513,instagram,3.0,240.0,America/Guayaquil
False,,closedApp,1753043393.486998,instagram,,,America/Guayaquil
False,,closedApp,1753043458.9743109,instagram,,,America/Guayaquil
False,,closedApp,1753043709.651641,instagram,,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1753047139.077913,instagram,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753048447.086241,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753048478.674552,instagram,,,America/Guayaquil
False,,closedApp,1753048530.336067,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753054516.082717,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753054606.917179,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753055269.550844,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753055397.0374122,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753056238.369679,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753056270.1189818,instagram,,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1753056608.31568,instagram,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753059477.996814,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753059520.3820329,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753059615.046344,instagram,3.0,240.0,America/Guayaquil
False,,closedApp,1753059689.986339,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753115565.670955,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753115864.570239,instagram,,,America/Guayaquil
False,,closedApp,1753115902.73367,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753119107.263928,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753120151.8836842,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753123532.182976,youtube,3.0,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1753123537.768248,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753125718.277488,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753125800.1150599,instagram,,,America/Guayaquil
False,,closedApp,1753126210.814435,instagram,,,America/Guayaquil
True,breathingExercise,openedApp,1753126246.973027,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753126379.406862,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753126489.438692,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753127507.900244,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753127811.6353679,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753128017.198166,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753128152.221225,instagram,,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1753128305.82838,instagram,3.0,,America/Guayaquil
False,,closedApp,1753137786.577667,instagram,,,America/Guayaquil
False,,closedApp,1753137900.746167,instagram,,,America/Guayaquil
False,,closedApp,1753140098.073075,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753183546.0850801,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753183598.506278,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753183611.595079,youtube,3.0,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1753185418.586637,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753185428.552733,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753207399.10763,instagram,3.0,240.0,America/Guayaquil
False,,closedApp,1753209044.69243,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753212390.909689,instagram,3.0,240.0,America/Guayaquil
False,,closedApp,1753212634.326299,instagram,,,America/Guayaquil
True,breathingExercise,openedApp,1753212647.806824,instagram,3.0,240.0,America/Guayaquil
False,,closedApp,1753212891.2678928,instagram,,,America/Guayaquil
True,breathingExercise,openedApp,1753212904.147469,instagram,3.0,240.0,America/Guayaquil
False,,closedApp,1753213008.44987,instagram,,,America/Guayaquil
False,,closedApp,1753213194.151073,instagram,,,America/Guayaquil
True,breathingExercise,openedApp,1753213202.033278,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753213357.425808,instagram,,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1753213424.085788,instagram,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753213438.081246,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753213524.511464,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753213672.988895,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753213702.573053,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753214031.1219192,instagram,3.0,240.0,America/Guayaquil
False,,closedApp,1753214083.599056,instagram,,,America/Guayaquil
False,,closedApp,1753214125.371501,instagram,,,America/Guayaquil
False,,closedApp,1753214225.5396051,instagram,,,America/Guayaquil
False,,closedApp,1753214292.2477798,instagram,,,America/Guayaquil
False,,closedApp,1753214338.105187,instagram,,,America/Guayaquil
True,breathingExercise,openedApp,1753214345.957586,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753214474.4082642,instagram,,,America/Guayaquil
False,,closedApp,1753214478.749175,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753220122.6475291,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753220199.684308,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753220504.8584619,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753220598.6998692,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753220713.820451,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753221064.815144,instagram,3.0,240.0,America/Guayaquil
False,,closedApp,1753221091.515743,instagram,,,America/Guayaquil
False,,closedApp,1753221184.318618,instagram,,,America/Guayaquil
False,,closedApp,1753221351.505903,instagram,,,America/Guayaquil
True,breathingExercise,openedApp,1753221359.113379,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753221613.252975,instagram,,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1753221784.965541,instagram,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753229509.650609,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753235121.3937058,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753235173.571631,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753235293.996474,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753235314.171794,instagram,,,America/Guayaquil
False,,closedApp,1753235437.0228472,instagram,,,America/Guayaquil
False,,closedApp,1753235679.356674,instagram,,,America/Guayaquil
False,,closedApp,1753236856.260927,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753238415.986362,instagram,3.0,240.0,America/Guayaquil
False,,closedApp,1753238452.670552,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753240193.8087811,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753240221.5634952,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753241043.2589312,instagram,3.0,300.0,America/Guayaquil
True,breathingExercise,openedApp,1753241356.908249,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753241349.007879,instagram,,,America/Guayaquil
False,,closedApp,1753241659.019672,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753241705.238785,instagram,3.0,120.0,America/Guayaquil
False,,closedApp,1753241830.268156,instagram,,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1753249138.3145819,instagram,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753284689.1853561,instagram,3.0,240.0,America/Guayaquil
False,,closedApp,1753284706.1285372,instagram,,,America/Guayaquil
False,,closedApp,1753284937.163917,instagram,,,America/Guayaquil
True,breathingExercise,openedApp,1753284950.624898,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753285253.597598,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753293873.8100219,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753294183.848459,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753297002.477134,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753297463.113316,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753297756.828757,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753298428.484199,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753300629.022016,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753300807.720135,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753302282.695266,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753302366.390778,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753305896.255424,instagram,3.0,180.0,America/Guayaquil
False,,closedApp,1753305995.5892391,instagram,,,America/Guayaquil
False,,closedApp,1753306157.237983,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753306569.115412,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753306603.472701,instagram,,,America/Guayaquil
False,,closedApp,1753306733.247258,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753315478.6496491,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753315785.633075,instagram,,,America/Guayaquil
True,breathingExercise,openedApp,1753315796.849639,instagram,3.0,240.0,America/Guayaquil
False,,closedApp,1753315811.328053,instagram,,,America/Guayaquil
False,,closedApp,1753315837.377378,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753316824.7699242,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753316950.2995281,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753336550.177065,instagram,3.0,300.0,America/Guayaquil
True,breathingExercise,openedApp,1753336925.3793669,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753336917.4591541,instagram,,,America/Guayaquil
False,,closedApp,1753336985.5228128,instagram,,,America/Guayaquil
False,,closedApp,1753337068.440105,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753337401.379684,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753337439.525924,instagram,,,America/Guayaquil
False,,closedApp,1753337498.444199,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753338086.190569,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753338120.445986,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753375396.977487,instagram,3.0,240.0,America/Guayaquil
False,,closedApp,1753375645.146267,instagram,,,America/Guayaquil
True,breathingExercise,openedApp,1753375654.32792,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753375794.785904,instagram,,,America/Guayaquil
False,,closedApp,1753375948.96331,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753376242.734325,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753376694.319644,instagram,,,America/Guayaquil
True,breathingExercise,openedApp,1753376702.378488,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753376828.817747,instagram,,,America/Guayaquil
False,,closedApp,1753377034.448972,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753378668.425089,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753379456.35355,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753381992.9429169,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753383453.8888779,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753384397.63767,youtube,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753401760.905416,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753402003.485538,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753403122.785286,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753403482.959451,instagram,,,America/Guayaquil
False,breathingExercise,openedApp,1753409086.0643501,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753409329.7593231,instagram,,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1753409393.795258,instagram,3.0,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1753409395.978307,instagram,3.0,,America/Guayaquil
False,breathingExercise,dismissedAppOpening,1753410144.9822369,instagram,3.0,,America/Guayaquil
False,breathingExercise,openedApp,1753427864.313731,instagram,3.0,300.0,America/Guayaquil
False,,closedApp,1753428053.354949,instagram,,,America/Guayaquil
