timestamp,app,interventionType,resolution,isReIntervention,timezone,interventionDuration,timeIntervalUntilReIntervention,purpose
1752681642.843014,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Stay In the Loop
1752682000.7124481,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Stay In the Loop
1752682342.2296638,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Stay In the Loop
1752682596.257606,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Stay In the Loop
1752683119.929408,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,300.0,Stay In the Loop
1752683408.099969,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,360.0,Bored
1752683720.221873,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,240.0,Escape / Avoid
1752684244.608451,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,420.0,Stay In the Loop
1752684634.865571,tikTok,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752684676.450448,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,360.0,Escape / Avoid
1752685070.38869,tikTok,breathingExercise,openedApp,True,America/Montevideo,3.0,300.0,Escape / Avoid
1752685616.468246,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,360.0,Escape / Avoid
1752687959.626312,instagram,breathingExercise,openedApp,False,America/Montevideo,3.0,240.0,Escape / Avoid
1752688472.7675471,instagram,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752688548.792763,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,420.0,Escape / Avoid
1752689217.9249458,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,780.0,Escape / Avoid
1752689532.686329,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,360.0,Escape / Avoid
1752689748.903698,twitter,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752689760.66473,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,360.0,Escape / Avoid
1752690187.293264,twitter,breathingExercise,openedApp,True,America/Montevideo,3.0,600.0,Escape / Avoid
1752691027.9038281,twitter,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752693194.6117659,twitter,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752696502.7335591,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Escape / Avoid
1752696757.6030622,tikTok,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752696859.8689098,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,720.0,Escape / Avoid
1752703651.940315,twitter,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752713816.92663,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,480.0,Escape / Avoid
1752714022.6063051,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,420.0,Escape / Avoid
1752719622.939858,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,360.0,Search Info
1752720000.798369,tikTok,breathingExercise,openedApp,True,America/Montevideo,3.0,540.0,Search Info
