resolution,app,timestamp,isReIntervention,interventionType,interventionDuration,timezone
closedApp,linkedin,1753820258.092013,False,,,Europe/Amsterdam
closedApp,pinterest,1753724090.067594,False,,,Europe/Amsterdam
openedApp,instagram,1753820276.578995,False,breathingExercise,6.0,Europe/Amsterdam
closedApp,instagram,1753820894.257187,False,,,Europe/Amsterdam
closedApp,linkedin,1753820897.82933,False,,,Europe/Amsterdam
closedApp,linkedin,1753820980.909821,False,,,Europe/Amsterdam
closedApp,linkedin,1753959532.957135,False,,,Europe/Amsterdam
closedApp,linkedin,1753959538.445957,False,,,Europe/Amsterdam
closedApp,linkedin,1753975449.309891,False,,,Europe/Amsterdam
dismissedAppOpening,instagram,1754003135.471661,False,breathingExercise,6.0,Europe/Amsterdam
openedApp,instagram,1754027352.169868,False,breathingExercise,6.0,Europe/Amsterdam
closedApp,instagram,1754028029.5782418,False,,,Europe/Amsterdam
closedApp,linkedin,1754035760.43194,False,,,Europe/Amsterdam
closedApp,linkedin,1754036950.188074,False,,,Europe/Amsterdam
closedApp,linkedin,1754036957.286741,False,,,Europe/Amsterdam
openedApp,instagram,1754037475.487586,False,breathingExercise,6.0,Europe/Amsterdam
closedApp,instagram,1754037754.730495,False,,,Europe/Amsterdam
closedApp,linkedin,1754054524.052726,False,,,Europe/Amsterdam
closedApp,NOS,1754056270.7840939,False,,,Europe/Amsterdam
openedApp,instagram,1754089313.325486,False,breathingExercise,6.0,Europe/Amsterdam
closedApp,instagram,1754090238.1568542,False,,,Europe/Amsterdam
openedApp,instagram,1754124530.627568,False,breathingExercise,6.0,Europe/Amsterdam
closedApp,instagram,1754125943.285383,False,,,Europe/Amsterdam
openedApp,instagram,1754171275.128586,False,breathingExercise,6.0,Europe/Amsterdam
closedApp,instagram,1754171945.373018,False,,,Europe/Amsterdam
closedApp,instagram,1754172291.3790479,False,,,Europe/Amsterdam
closedApp,instagram,1754172406.331811,False,,,Europe/Amsterdam
openedApp,instagram,1754172487.0805411,False,breathingExercise,6.0,Europe/Amsterdam
closedApp,instagram,1754172714.1927729,False,,,Europe/Amsterdam
closedApp,linkedin,1754206785.924841,False,,,Europe/Amsterdam
closedApp,linkedin,1754214603.735684,False,,,Europe/Amsterdam
closedApp,linkedin,1754215796.203157,False,,,Europe/Amsterdam
closedApp,deVolkskrant,1754215768.531574,False,,,Europe/Amsterdam
openedApp,instagram,1754251073.334027,False,breathingExercise,6.0,Europe/Amsterdam
closedApp,instagram,1754251383.954324,False,,,Europe/Amsterdam
openedApp,instagram,1754324259.3919392,False,breathingExercise,6.0,Europe/Amsterdam
closedApp,instagram,1754325130.67131,False,,,Europe/Amsterdam
closedApp,linkedin,1754327144.556746,False,,,Europe/Amsterdam
openedApp,instagram,1754337954.9535642,False,breathingExercise,6.0,Europe/Amsterdam
