resolution,app,timestamp,interventionDuration,interventionType,isReIntervention,timezone,purpose
openedApp,instagram,1751051899.079859,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751082280.732448,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751088368.685862,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751092755.616467,3,breathingExercise,False,Asia/Kolkata,Bored
dismissedAppOpening,instagram,1751093443.160952,3,breathingExercise,False,Asia/Kolkata,
dismissedAppOpening,instagram,1751094831.587676,3,breathingExercise,False,Asia/Kolkata,
dismissedAppOpening,instagram,1751115643.382905,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751124027.707859,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751126704.059039,3,breathingExercise,False,Asia/Kolkata,Message
dismissedAppOpening,instagram,1751126769.109127,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751127917.731313,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751131045.263661,3,breathingExercise,False,Asia/Kolkata,Message
dismissedAppOpening,instagram,1751131188.0198488,3,breathingExercise,False,Asia/Kolkata,
dismissedAppOpening,instagram,1751131189.614157,3,breathingExercise,False,Asia/Kolkata,
dismissedAppOpening,instagram,1751131246.044547,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751131260.2944221,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751131791.935563,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751133057.08198,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751135046.740376,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751136696.724803,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751138121.231653,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751141861.480983,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751167167.242269,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751167602.555797,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751167841.606241,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751176087.343183,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751178409.609266,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751178780.316701,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751181581.2765021,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1751192290.277148,3,breathingExercise,False,Asia/Kolkata,
dismissedAppOpening,instagram,1751192309.364667,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751217248.636856,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1751217522.838491,3,breathingExercise,False,Asia/Kolkata,
dismissedAppOpening,instagram,1751217526.200238,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751222423.921462,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1751222988.3636808,3,breathingExercise,False,Asia/Kolkata,
dismissedAppOpening,instagram,1751222989.714375,3,breathingExercise,False,Asia/Kolkata,
dismissedAppOpening,instagram,1751222991.8685,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751223221.0120091,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751228272.544534,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751257446.55773,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751257865.063058,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751258463.1601682,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751261182.381206,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751262363.765795,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751264770.4826798,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751266711.0170898,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751267781.743592,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751272444.638959,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751275623.245613,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751276408.1979132,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751279401.769505,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751283987.0460238,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751285046.8012,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751288590.6651921,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751296623.720669,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1751297047.654049,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751297958.468549,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1751298259.4607491,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751298268.226438,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751301055.674432,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751303758.469039,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751304433.756479,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751305191.4784322,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751305459.647821,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751307891.3257961,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751309470.547333,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751340993.284772,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751654363.136067,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1751654954.352902,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751654962.3545098,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1751656080.6070619,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751658852.9072819,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751660060.892,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751687444.900278,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751688073.7883558,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751688523.428131,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1751688813.692668,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751689461.749552,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751694089.411828,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751694662.6979752,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751695282.886826,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1751697173.4920979,3,breathingExercise,False,Asia/Kolkata,
dismissedAppOpening,instagram,1751697176.2428122,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751697213.461045,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751705423.660688,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751707667.1436539,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751708287.154643,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751777677.25875,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751782297.214954,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751785734.048491,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751799758.095948,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751804094.765067,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751804871.597796,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751810943.990593,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751811215.320187,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751814004.791028,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751814230.782477,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751826778.8380718,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751827139.894021,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1751830893.180015,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751830985.0479178,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751831801.541435,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751860302.519393,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751860513.008687,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751862023.6881418,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751866006.2337599,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751867121.171476,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751872854.81939,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751876028.3365788,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751878742.795686,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751882697.072402,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751890755.072995,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1751892464.558566,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751906875.45363,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751909742.393556,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751910344.241288,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
