timestamp,interventionType,timezone,app,interventionDuration,resolution,isReIntervention,purpose
1752811848.4335241,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Can’t sleep
1752812385.079798,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Post something
1752814374.824944,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Check likes
1752875246.847456,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Post something
1752988156.1149821,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Stay In the Loop
1753027464.419619,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Toilet
1753054529.688498,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Stay In the Loop
1753070581.304607,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Escape / Avoid
1753133187.24501,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Bored
1753162017.659531,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Can’t sleep
1753164083.523522,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Can’t sleep
1753164743.661829,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Can’t sleep
1753202798.0194669,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Search Info
1753203276.490247,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Post something
1753205314.1631641,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Stay In the Loop
1753210850.830502,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Bored
1753219101.675304,breathingExercise,America/Los_Angeles,instagram,6,dismissedAppOpening,False,
1753226615.2457829,breathingExercise,America/Los_Angeles,instagram,6,dismissedAppOpening,False,
1753235552.532905,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Stay In the Loop
1753313729.642571,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Stay In the Loop
1753382636.65968,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Bored
1753383271.1810842,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Bored
1753396975.493816,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Escape / Avoid
1753398938.623194,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Bored
1753410156.619421,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Escape / Avoid
1753473991.7286072,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Bored
1753577564.768506,breathingExercise,America/Los_Angeles,instagram,6,dismissedAppOpening,False,
1753602366.761736,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Escape / Avoid
1753629449.3091068,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Stay In the Loop
1753641004.2131839,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Post something
1753642828.897001,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Bored
1753644167.3649158,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Bored
1753764335.703263,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Can’t sleep
1753852987.226289,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Escape / Avoid
1753853563.569816,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Escape / Avoid
1753856266.8396292,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Escape / Avoid
1753857328.946898,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Escape / Avoid
1753905590.928313,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Bored
1753934557.6626902,breathingExercise,America/Los_Angeles,instagram,6,dismissedAppOpening,False,
1753934599.34148,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Escape / Avoid
1753940163.4654899,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Escape / Avoid
1753947372.088853,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Escape / Avoid
1753948364.649435,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Escape / Avoid
1753949060.778664,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Escape / Avoid
1753998034.958991,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Bored
1754001185.220474,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Escape / Avoid
1754007334.459084,breathingExercise,America/Los_Angeles,instagram,6,openedApp,False,Escape / Avoid
1754012841.498924,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1754013565.613164,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1754014096.706331,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1754024776.446937,breathingExercise,America/New_York,instagram,6,openedApp,False,Can’t sleep
1754025128.540318,breathingExercise,America/New_York,instagram,6,openedApp,False,Can’t sleep
1754055497.5471559,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1754056570.740076,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1754060040.693572,breathingExercise,America/New_York,instagram,6,openedApp,False,Bored
1754060535.109956,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1754060802.213299,breathingExercise,America/New_York,instagram,6,openedApp,False,Bored
1754077207.985899,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1754077217.108932,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1754077288.082047,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1754078259.587768,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1754087371.712164,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1754089801.403518,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1754091470.729002,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1754093066.571148,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1754094264.002825,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1754113478.859137,breathingExercise,America/New_York,instagram,6,openedApp,False,Can’t sleep
1754117183.5563068,breathingExercise,America/New_York,instagram,6,openedApp,False,Can’t sleep
