participant_id,condition,phase,study_week,attempted,dismissed,executed,delay_type,delay_secs
C0A39B95-E668-4558-973A-0BF34FA04031,BCC,phase2,5,15,0,15,C,10
C0A39B95-E668-4558-973A-0BF34FA04031,BCC,phase2,6,2,0,2,C,10
C124C1DA-31B6-4D80-86C9-E62F987A7356,ABC,phase2,1,270,61,209,A,3
C124C1DA-31B6-4D80-86C9-E62F987A7356,ABC,phase2,2,108,23,85,A,3
C124C1DA-31B6-4D80-86C9-E62F987A7356,ABC,phase2,3,62,15,47,B,6
C124C1DA-31B6-4D80-86C9-E62F987A7356,ABC,phase2,4,27,2,25,B,6
C124C1DA-31B6-4D80-86C9-E62F987A7356,ABC,phase2,5,47,10,37,C,10
C124C1DA-31B6-4D80-86C9-E62F987A7356,ABC,phase2,6,24,7,17,C,10
C1BDCC49-1964-484E-BB42-54085EC56A51,ABC,phase2,1,1,1,0,A,3
C1DA3B14-4343-4F09-B047-B617E95A2AF1,CCC,phase1,1,285,101,184,C,10
C1DA3B14-4343-4F09-B047-B617E95A2AF1,CCC,phase1,2,187,19,168,C,10
C1DA3B14-4343-4F09-B047-B617E95A2AF1,CCC,phase1,3,244,29,215,C,10
C1DA3B14-4343-4F09-B047-B617E95A2AF1,CCC,phase1,4,153,13,140,C,10
C1DA3B14-4343-4F09-B047-B617E95A2AF1,CCC,phase1,5,36,7,29,C,10
C1E9D493-867B-40C0-A1F4-7F7A5C5A1FB7,ABC,phase1,1,108,41,67,A,3
C1E9D493-867B-40C0-A1F4-7F7A5C5A1FB7,ABC,phase1,2,44,6,38,A,3
C20214F6-0B3C-4FD3-931A-5599232E31B8,ACC,phase2,1,1,0,1,A,3
C21CAC81-F33A-47D3-8F0B-80B9BAA978B5,ACC,phase1,1,10,3,7,A,3
C21CAC81-F33A-47D3-8F0B-80B9BAA978B5,ACC,phase1,2,18,4,14,A,3
C21CAC81-F33A-47D3-8F0B-80B9BAA978B5,ACC,phase1,3,6,0,6,C,10
C2273632-E8B0-45E6-9030-C2294FA486CD,CCC,phase2,1,87,6,81,C,10
C2273632-E8B0-45E6-9030-C2294FA486CD,CCC,phase2,2,67,7,60,C,10
C2273632-E8B0-45E6-9030-C2294FA486CD,CCC,phase2,3,33,2,31,C,10
C2273632-E8B0-45E6-9030-C2294FA486CD,CCC,phase2,4,9,0,9,C,10
C2273632-E8B0-45E6-9030-C2294FA486CD,CCC,phase2,5,24,2,22,C,10
C2273632-E8B0-45E6-9030-C2294FA486CD,CCC,phase2,6,14,1,13,C,10
C256891C-C6C6-4CB1-871F-F4FC2E44B0E5,BCC,phase1,1,170,79,91,B,6
C256891C-C6C6-4CB1-871F-F4FC2E44B0E5,BCC,phase1,2,42,13,29,B,6
C29D20A5-D8F9-466B-A5E9-6F9DEA0E1F9C,CCC,phase1,1,124,64,60,C,10
C29D20A5-D8F9-466B-A5E9-6F9DEA0E1F9C,CCC,phase1,2,130,65,65,C,10
C29D20A5-D8F9-466B-A5E9-6F9DEA0E1F9C,CCC,phase1,3,90,24,66,C,10
C29D20A5-D8F9-466B-A5E9-6F9DEA0E1F9C,CCC,phase1,4,113,32,81,C,10
C29D20A5-D8F9-466B-A5E9-6F9DEA0E1F9C,CCC,phase1,5,34,6,28,C,10
C29D20A5-D8F9-466B-A5E9-6F9DEA0E1F9C,CCC,phase1,6,14,2,12,C,10
C2AED583-30DF-4D53-A445-A2CA0BB2824F,ACC,phase1,1,1,0,1,A,3
C2D4DB57-AFB1-4558-88CA-0A73DDAF54B5,ACC,phase1,1,66,12,54,A,3
C2D4DB57-AFB1-4558-88CA-0A73DDAF54B5,ACC,phase1,2,46,1,45,A,3
C2D4DB57-AFB1-4558-88CA-0A73DDAF54B5,ACC,phase1,3,37,10,27,C,10
C2D4DB57-AFB1-4558-88CA-0A73DDAF54B5,ACC,phase1,4,58,15,43,C,10
C2D4DB57-AFB1-4558-88CA-0A73DDAF54B5,ACC,phase1,5,56,11,45,C,10
C2D4DB57-AFB1-4558-88CA-0A73DDAF54B5,ACC,phase1,6,16,5,11,C,10
