participant_id,condition,dismissed_w1,dismissed_w6,attempted_w1,attempted_w6
354A35BB-1EB0-4913-BF96-73238B0A13C8,ABC,5,NA,27,NA
354FCFF2-2085-4F55-891D-F03A6054FA0A,BCC,2,NA,6,NA
35A8F1C0-3FE7-4F44-BAF0-8D4AA3C0FF55,ABC,6,NA,59,NA
35B88BEF-07DB-450B-A99A-204E4B000055,BCC,243,NA,356,NA
35E9CEAD-14F1-453C-AD77-09DB1EADFB5C,ACC,15,NA,105,NA
35FF53BA-951A-4C1E-96D1-141DF91BAA49,BCC,31,NA,112,NA
36326542-8129-4DA7-92CD-9CD8971F6CE8,ABC,8,NA,39,NA
3649BCD2-0F59-41BD-BB58-BA6785C4F281,ACC,364,NA,619,NA
36C86988-813D-433D-BF85-3F866186CC1E,ACC,11,NA,151,NA
36D0EE39-C23A-423B-8C48-D25690F62819,BCC,33,NA,65,NA
370C89A7-1791-4E7B-8297-943107CCE87D,CCC,0,NA,1,NA
37929737-637B-46AC-8C99-B9745BAF1B32,CCC,14,NA,55,NA
379C8858-7419-4E30-9A67-3EE523989C8F,ACC,1,NA,1,NA
37F22EA8-490E-4EB8-BA0B-C5FA90A1692E,CCC,1,NA,1,NA
38483A33-B46D-4945-A56E-092A48E0E6AE,BCC,9,NA,24,NA
38F3E3EE-6BB4-4CD8-B9EC-15F630B1F2F9,BCC,10,4,55,13
38F9D9A9-6B6A-49C3-8B00-35C1E79E7EE3,ABC,3,NA,5,NA
394E3A05-7C69-4B7C-9929-27D1D9C998B5,ABC,1,NA,1,NA
39DB0619-8DC9-4DFB-84E7-EF31902AD71C,CCC,54,6,130,50
39EF3BB5-704F-4682-A888-81257DD00A24,ACC,31,NA,143,NA
3A3C5D0E-FB8F-4BCA-88AB-0E13A91214FB,ABC,61,NA,271,NA
3A6A1F9F-11E3-4028-B88F-068F3468CEF7,ACC,25,NA,54,NA
3A7212C6-0EC6-4D2B-AEA7-C5591BE33E2E,ACC,95,NA,254,NA
3B0EE149-9FBB-4732-BF31-83F2229C7B4D,ABC,21,NA,88,NA
3B14EB90-C712-40F3-A037-2C7F8BC98AB2,CCC,13,NA,35,NA
3B1E9452-4DC3-4B74-B71C-0620A081358B,ABC,59,NA,194,NA
3B1EDEF7-F7AB-41B5-801B-783822C66F66,CCC,33,7,172,55
3C2C37F2-95B1-431C-BA27-3A3A0E2065C3,BCC,29,NA,100,NA
3C3F26DC-B48E-4CEF-ADF0-274313F04531,BCC,27,NA,84,NA
3C430345-E130-4283-8F98-EDCE06136F31,ACC,13,NA,29,NA
3C77A8E5-5802-470D-9E5F-2BBA39D90CAE,ACC,69,NA,150,NA
3CD5FB45-6F1C-4841-9FF9-56965FF92E28,ACC,14,NA,91,NA
3D430DA9-EDB3-4685-9EE9-D0255AF313AC,CCC,1,NA,1,NA
3D4BC01B-C831-4DB2-BD20-D789933FE913,ABC,2,NA,26,NA
3D4C267E-D1A1-4A6C-9F79-C8F084121DC0,ACC,14,NA,61,NA
3D6493A2-96B9-4621-9877-1A9CC2B0756B,BCC,0,NA,1,NA
3DF645A6-7068-4832-A94F-6124BD1DC601,ACC,83,NA,294,NA
3E597416-2977-4A1E-87EC-EB9A6AAE011D,ABC,37,NA,269,NA
400EE5DB-775A-41B4-9257-CB7AE5C3BB10,ABC,33,NA,79,NA
4043F9F1-4E99-4BF7-9DC6-D72F9FFF0DA8,ABC,0,NA,1,NA
4154C3FE-9674-4DC2-B130-069C689CEAF1,ACC,1,NA,1,NA
41619804-3BBD-47DC-A178-D5966254226B,ACC,31,NA,202,NA
