isReIntervention,interventionDuration,app,interventionType,timezone,purpose,resolution,timestamp
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753519931.3117151
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753520089.053416
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753522168.610742
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753522524.931694
False,1.5,brave,breathingExercise,Europe/London,,dismissedAppOpening,1753524004.355643
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753526037.62614
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753526046.2319021
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753527644.365346
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753530315.035318
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753531778.419354
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753531791.811259
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753532115.422421
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753532312.976846
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753532387.892534
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753532578.8048859
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753533040.757225
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753533352.641111
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753533668.508929
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753533927.9540792
False,1.5,brave,breathingExercise,Europe/London,Message,openedApp,1753533934.634773
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753534260.125891
False,1.5,snapchat,breathingExercise,Europe/London,Entertainment,openedApp,1753534272.504559
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753542279.486407
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753542352.160321
False,1.5,telegram,breathingExercise,Europe/London,Stay In the Loop,openedApp,1753547559.9358091
False,1.5,snapchat,breathingExercise,Europe/London,Entertainment,openedApp,1753547570.3798552
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753568506.997459
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753569000.8040829
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753569016.035728
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753569202.921808
