resolution,interventionDuration,app,timestamp,isReIntervention,interventionType,timezone
openedApp,1.5,instagram,1749574899.641815,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749576000.898252,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749576666.786701,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749577579.154759,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749588394.698472,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749592869.068002,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749593002.639293,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749593271.09849,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749597023.2474499,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749599951.383027,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749600299.873186,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749600305.216428,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749611956.743371,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749630798.798461,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749631164.781277,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749631171.320516,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749633089.797339,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749673014.015991,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749673071.334295,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749673071.9614801,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749673147.7992349,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749685103.029515,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749686514.3013458,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749689122.143556,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749689716.921701,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749691724.580193,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749691785.584933,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749693586.8987908,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749694650.941887,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749706786.775619,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749711927.067491,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749712806.911535,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749712853.739478,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749746141.0676842,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749746694.024004,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749746947.363603,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749747567.843099,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749748692.460743,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749755060.001779,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749755384.068634,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749755498.4510741,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749755504.9734359,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749755668.866016,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749756127.0196,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749756882.170604,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749758271.3908648,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749758407.691082,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749758754.454856,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749767573.8493981,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749768449.0327811,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749770702.917779,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749772014.199579,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749778000.609438,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749778033.711415,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749778896.5386472,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749779321.26145,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749801296.3206959,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749802664.6348681,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749803875.7287722,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749803971.15092,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749804609.870553,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749808244.096389,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749808964.5296822,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749809064.170762,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749824964.761499,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749825050.44585,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749825379.2146258,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749825838.754339,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749825845.609303,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749833970.1909208,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749835873.8925328,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749836047.447486,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749836592.81151,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749836688.652509,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749837751.47819,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749837906.691941,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749838180.497534,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749838183.106379,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749838264.637401,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749838363.0141501,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749838431.343566,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749838871.4867969,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749838916.156436,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749842883.3056011,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749843798.569889,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749849985.484973,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749850427.090375,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749850726.195564,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749855806.156156,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749856787.116325,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749856834.121221,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749857807.466968,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749858795.1936831,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749865049.48577,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749878025.782199,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749893036.687708,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749894411.732084,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749914650.009213,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749914723.7549372,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749914773.762024,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749915026.773809,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749915117.604394,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749915226.979292,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749918437.4782429,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749938899.7323608,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749939102.1623511,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749939456.620012,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749939706.117717,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749942359.854373,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749943689.0610518,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749958921.455638,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749960283.1359,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749961129.7513828,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749967723.642132,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749969097.901434,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749969106.167278,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749970204.899384,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749970481.8296762,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749971265.270464,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749972166.697155,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749974504.2381148,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749977138.7375321,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749985537.679579,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749986164.483108,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749994652.140487,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749995008.96906,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749995262.207866,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749995695.018682,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749995738.619169,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749996668.428936,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750000189.215938,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750011036.482449,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750011086.696584,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750011131.127195,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750011141.578507,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750012737.68801,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750015342.7562861,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750018091.47829,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750018264.138915,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750022704.445792,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750022709.486862,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750022769.576562,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750022772.552617,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750023641.2957978,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750024397.032483,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750026289.72429,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750027158.580134,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750027932.921428,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750030963.897814,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750034474.253315,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750034840.460853,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750035280.381388,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750035917.6081948,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750036283.241265,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750036388.395165,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750036392.0466418,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750036400.85143,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750038001.147128,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750038072.323746,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750042350.257226,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750042363.666902,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750042749.544317,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750057039.540236,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750057097.143568,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750057621.036799,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750057926.830625,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750058605.386116,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750059167.2080889,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750083480.235341,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750085182.587718,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750087592.25893,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750088216.869669,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750093565.137226,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750096220.194396,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750098455.086093,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750119367.632735,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750124003.915794,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750124210.228889,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750128182.750205,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750131507.386764,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750138140.125453,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750138152.103457,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750141815.839272,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750141990.940899,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750142162.1637821,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750142231.018611,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750143786.510452,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750145139.90502,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750146261.095511,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750146307.70175,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750174240.3828158,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750175001.4481091,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750182205.3559442,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750199250.8666759,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750204131.747015,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750207000.012885,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750210764.4594111,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750211301.45474,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750211458.83024,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750212500.998866,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750217662.262924,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750220316.4243588,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750227824.9546971,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750227830.392603,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750227964.140552,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750228901.420732,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750242712.909857,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750255495.610406,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750262775.414238,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750309608.032928,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750311288.5921469,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750311646.148988,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750312253.42384,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750312348.4119802,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750345574.5150418,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750347120.55906,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750347830.422029,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750354677.8094711,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750365681.503829,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750365820.917743,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750365914.469456,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750393750.601532,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750393852.587377,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750395164.479965,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750415745.940249,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750426590.9725518,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750427184.274226,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750427228.2873368,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750427599.845076,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750435625.407773,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750444131.943711,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750447826.114602,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750449616.914932,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750449780.971641,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750449820.8781009,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750450234.4156342,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750468627.054222,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750468941.408632,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750469144.875515,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750469151.3321018,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750480656.9867659,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750481733.33289,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750482497.333154,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750482689.887619,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750483949.383502,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750484687.8382602,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750521766.2283049,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750522070.787692,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750522970.1903582,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750523361.5838552,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750523961.4521232,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750524563.87376,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750532448.401177,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750532738.601917,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750534332.1625252,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750537160.350584,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750537461.00001,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750539257.116839,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750542505.576339,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1750542758.748101,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1750542769.8036141,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750560930.849349,False,breathingExercise,America/Boise
dismissedAppOpening,6.0,instagram,1750560966.1224198,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750561388.827653,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750570843.452107,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750572154.97586,False,breathingExercise,America/Boise
dismissedAppOpening,6.0,instagram,1750572550.890326,False,breathingExercise,America/Boise
dismissedAppOpening,6.0,instagram,1750573699.42486,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750573719.161243,False,breathingExercise,America/Boise
dismissedAppOpening,6.0,instagram,1750574293.797608,False,breathingExercise,America/Boise
dismissedAppOpening,6.0,instagram,1750575636.477481,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750605499.7124062,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750616620.5416589,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750629235.391156,False,breathingExercise,America/Boise
dismissedAppOpening,6.0,instagram,1750629653.376998,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750638930.686122,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750640805.2121649,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750647580.83948,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750650711.8660688,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750659035.281942,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750661706.342936,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750665995.282656,False,breathingExercise,America/Boise
dismissedAppOpening,6.0,instagram,1750668388.245737,False,breathingExercise,America/Boise
openedApp,6.0,instagram,1750672344.4301229,False,breathingExercise,America/Boise
