timezone,timestamp,interventionType,isReIntervention,interventionDuration,resolution,app,purpose
Europe/Bucharest,1749940877.930626,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749941234.763236,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749941399.35608,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749941713.623818,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749941739.117661,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749942264.7062368,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749942282.810782,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749942607.415484,breathingExercise,False,1.5,dismissedAppOpening,tikTok,
Europe/Bucharest,1749942613.5797591,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749942716.3879719,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749943201.970783,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749943228.1828089,breathingExercise,False,1.5,openedApp,tikTok,Escape / Avoid
Europe/Bucharest,1749943655.307826,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749943668.920096,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749961196.4108071,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749961224.033163,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749965878.850559,breathingExercise,False,1.5,dismissedAppOpening,tikTok,
Europe/Bucharest,1749965884.9704208,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749968691.1584768,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749968709.832654,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749969227.139412,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749969246.807022,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749969792.005017,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749969798.750227,breathingExercise,False,1.5,openedApp,tikTok,Escape / Avoid
