timezone,isReIntervention,purpose,app,interventionType,interventionDuration,timestamp,resolution
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1750916763.1915789,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1750935390.571814,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1750949620.973403,openedApp
Asia/Kolkata,False,,twitter,,,1750959267.06535,openedApp
Asia/Kolkata,False,,twitter,,,1750959867.06535,closedApp
Asia/Kolkata,False,,twitter,,,1750959867.06535,dismissedAppOpening
Asia/Kolkata,False,,twitter,,,1750959284.840664,openedApp
Asia/Kolkata,False,,twitter,,,1750959884.840664,closedApp
Asia/Kolkata,False,,twitter,,,1750959884.840664,dismissedAppOpening
Asia/Kolkata,False,,twitter,,,1750959295.784977,openedApp
Asia/Kolkata,False,,twitter,,,1750959895.784977,closedApp
Asia/Kolkata,False,,twitter,,,1750959895.784977,dismissedAppOpening
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1750959947.991545,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1750988497.795195,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751000150.0300941,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751011772.127574,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751016169.8225288,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751019953.1489859,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751033132.436698,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751046029.962689,openedApp
Asia/Kolkata,False,,twitter,breathingExercise,6.0,1751085998.293742,dismissedAppOpening
Asia/Kolkata,False,,twitter,breathingExercise,6.0,1751086024.815002,dismissedAppOpening
Asia/Kolkata,False,,twitter,breathingExercise,6.0,1751086753.300568,dismissedAppOpening
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751086801.766099,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751105788.459134,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751119133.536741,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751194660.407958,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751251681.272729,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,6.0,1751253246.061847,openedApp
Asia/Kolkata,False,,youtube,,,1751256049.0338311,openedApp
Asia/Kolkata,False,,youtube,,,1751256649.033832,closedApp
Asia/Kolkata,False,,youtube,,,1751256649.033832,dismissedAppOpening
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751334799.1735249,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751336157.214086,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751368671.912328,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751372436.6912599,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751418241.276678,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751419590.062079,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751420423.873101,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751421660.086272,openedApp
Asia/Kolkata,False,,whastapp,breathingExercise,6.0,1751453902.893503,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751453927.428997,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751455429.1418638,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751456423.4944801,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751466360.8006659,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751474969.593643,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751594021.974555,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751607923.901144,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751615575.856299,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,6.0,1751626260.67894,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751627881.590842,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751643700.471283,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,6.0,1751650827.150157,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751652065.526972,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751653636.393498,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751696862.668292,openedApp
Asia/Kolkata,False,,whastapp,breathingExercise,6.0,1751697918.928385,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751705932.264957,openedApp
Asia/Kolkata,False,,whastapp,breathingExercise,6.0,1751724966.136059,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751725014.2839189,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751728666.271079,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751738657.391227,openedApp
Asia/Kolkata,False,,youtube,,,1751772868.215918,openedApp
Asia/Kolkata,False,,youtube,,,1751773468.215918,closedApp
Asia/Kolkata,False,,youtube,,,1751773468.215918,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751816881.656598,openedApp
Asia/Kolkata,False,,whastapp,,,1751819860.673139,openedApp
Asia/Kolkata,False,,whastapp,,,1751820760.67314,closedApp
Asia/Kolkata,False,,whastapp,,,1751820760.67314,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751820792.651947,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,6.0,1751821119.499323,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1751891209.002079,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751907364.404856,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751950308.7207851,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751951801.6630712,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1751953543.836144,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752020378.760755,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752021630.081413,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752038109.772255,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752043801.53235,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752073693.925818,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752078415.2026448,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752158770.1669269,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752196421.9497828,openedApp
Asia/Kolkata,False,,twitter,breathingExercise,6.0,1752198048.259558,dismissedAppOpening
Asia/Kolkata,False,,twitter,,,1752197650.4031382,openedApp
Asia/Kolkata,False,,twitter,,,1752198250.4031382,closedApp
Asia/Kolkata,False,,twitter,,,1752198250.4031382,dismissedAppOpening
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1752198268.9161692,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,6.0,1752199518.7730951,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,6.0,1752201736.502953,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,6.0,1752222146.405906,openedApp
