timestamp,app,interventionType,resolution,timezone,isReIntervention,interventionDuration,purpose
1751017480.583753,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751019989.393112,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751021102.791024,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751021111.83517,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751021329.357229,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751022373.5018868,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751024293.649002,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751025995.7296271,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751026316.774857,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751028418.456081,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751028426.551472,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751028618.758082,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751028625.8943272,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751028749.877202,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751028897.546442,tikTok,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751029733.059515,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751029846.18756,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751030108.032198,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751030154.049789,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751032905.145575,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751033089.636526,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751033812.1507711,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751035652.35318,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751036086.140654,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751036625.4723,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751037787.9878402,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751039379.686881,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751040489.349361,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751044189.392743,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751044300.6696491,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751045420.319103,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751045997.422439,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751049249.662267,tikTok,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751049259.686521,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751052523.924403,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751052684.526988,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751052779.383476,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751052817.343862,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751055038.058948,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751058180.03299,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751059655.7563782,tikTok,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751059663.221902,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751062057.979639,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751062476.712834,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751089223.956944,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751090005.808553,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751091125.1356769,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751091190.1236439,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751092270.817124,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751092804.655411,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751092811.96769,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751094258.566739,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751094529.676223,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751095211.077054,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751095218.5130439,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751096328.522657,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751097339.471274,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751099120.6343188,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751099126.120391,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751099650.016255,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751100728.092473,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751100747.3545918,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751101775.593861,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
