interventionDuration,interventionType,isReIntervention,resolution,timestamp,app,timezone,timeIntervalUntilReIntervention
,,False,closedApp,1749825705.259327,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749835807.130076,instagram,Europe/Lisbon,240.0
,,False,closedApp,1749835951.826453,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749835980.923399,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749845729.150259,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749845796.847628,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749849500.218991,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749849595.342749,instagram,Europe/Lisbon,
,,False,closedApp,1749851862.72441,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749853444.794378,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749853633.768457,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749896464.496629,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749896543.6888208,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749898556.187218,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749898658.786144,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749899755.410608,instagram,Europe/Lisbon,300.0
,,False,closedApp,1749900045.1666641,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749900051.879782,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749903908.430544,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749904104.131318,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749904114.9103951,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749904196.288487,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749905910.855928,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749906022.412926,instagram,Europe/Lisbon,
,,False,closedApp,1749906044.877984,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749907153.496649,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749907256.079401,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749907884.80427,instagram,Europe/Lisbon,60.0
,,False,closedApp,1749907919.3314018,instagram,Europe/Lisbon,
,,False,closedApp,1749908211.2192202,instagram,Europe/Lisbon,
,,False,closedApp,1749908438.694099,instagram,Europe/Lisbon,
,,False,closedApp,1749908744.62449,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749908809.608859,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749910560.064431,instagram,Europe/Lisbon,120.0
1.5,breathingExercise,False,dismissedAppOpening,1749912076.079094,instagram,Europe/Lisbon,
,,False,closedApp,1749910603.996194,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749914676.300915,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749914747.631901,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749915236.1794782,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749915293.358746,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749916337.402499,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749916457.877053,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749919513.917396,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749919646.0603771,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749919651.932472,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749919661.4920359,instagram,Europe/Lisbon,60.0
1.5,breathingExercise,False,dismissedAppOpening,1749920560.287431,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749922061.9580789,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749922145.435307,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749922411.1048431,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749922428.941483,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749922717.754228,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749922722.391293,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749923499.546664,instagram,Europe/Lisbon,180.0
1.5,breathingExercise,False,dismissedAppOpening,1749924204.008813,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749925508.92599,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749925636.04781,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749931256.873456,instagram,Europe/Lisbon,60.0
,,False,closedApp,1749931291.40267,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749932311.293767,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749932422.645406,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749934385.973912,instagram,Europe/Lisbon,60.0
,,False,closedApp,1749934414.907518,instagram,Europe/Lisbon,
,,False,closedApp,1749934721.833095,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749934737.3214002,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749934740.222849,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749936600.7200751,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749971542.366929,instagram,Europe/Lisbon,60.0
,,False,closedApp,1749971595.120673,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749982885.6282191,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749982990.197402,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749983581.4488769,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749983587.913113,instagram,Europe/Lisbon,60.0
1.5,breathingExercise,False,dismissedAppOpening,1749983942.141449,instagram,Europe/Lisbon,
,,False,closedApp,1749983655.248208,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749987763.852776,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749987845.160575,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749988526.6673179,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749988534.308302,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749995233.330246,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749995361.810763,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750001323.778018,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750001974.8210878,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1750002685.554647,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750002699.790286,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750002767.723795,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750005305.588372,instagram,Europe/Lisbon,240.0
,,False,closedApp,1750005431.1914392,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1750017841.787959,instagram,Europe/Lisbon,120.0
,,False,closedApp,1750017941.035458,instagram,Europe/Lisbon,
