timestamp,interventionType,isReIntervention,app,timezone,resolution,purpose,interventionDuration
1753254073.002487,breathingExercise,False,twitter,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753255919.772423,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753261370.033581,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Оставайтесь в курсе событий,1.5
1753264716.822108,breathingExercise,False,instagram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753265953.234037,breathingExercise,False,instagram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753266467.483769,breathingExercise,False,instagram,Asia/Tbilisi,dismissedAppOpening,,1.5
1753267449.783251,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Оставайтесь в курсе событий,1.5
1753268176.825972,breathingExercise,False,instagram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753275458.157772,breathingExercise,False,instagram,Asia/Tbilisi,dismissedAppOpening,,1.5
1753275489.539876,breathingExercise,False,instagram,Asia/Tbilisi,openedApp,В туалете,1.5
1753279702.750928,breathingExercise,False,instagram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753281628.434565,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753282610.220783,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753284892.5584989,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Оставайтесь в курсе событий,1.5
1753288111.4659638,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753288334.326293,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753288460.287823,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753288918.352326,breathingExercise,False,instagram,Asia/Tbilisi,dismissedAppOpening,,1.5
1753288932.168154,breathingExercise,False,telegram,Asia/Tbilisi,dismissedAppOpening,,1.5
1753291492.651917,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Оставайтесь в курсе событий,1.5
1753291634.073513,breathingExercise,False,telegram,Asia/Tbilisi,dismissedAppOpening,,1.5
1753291644.9458718,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753291771.191637,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753292015.743011,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753292415.365673,breathingExercise,False,telegram,Asia/Tbilisi,dismissedAppOpening,,1.5
1753292418.309308,breathingExercise,False,telegram,Asia/Tbilisi,dismissedAppOpening,,1.5
1753294792.336597,breathingExercise,False,instagram,Asia/Tbilisi,openedApp,Оставайтесь в курсе событий,1.5
1753304421.07213,breathingExercise,False,instagram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753339845.903506,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Оставайтесь в курсе событий,1.5
1753347061.740871,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753348154.819094,breathingExercise,False,instagram,Asia/Tbilisi,openedApp,Оставайтесь в курсе событий,1.5
