timestamp,app,timezone,isReIntervention,resolution,interventionType,interventionDuration,purpose,timeIntervalUntilReIntervention
1749339089.867163,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,
1749342132.164509,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,120.0
1749342319.126895,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Bored,
1749350986.166874,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,120.0
1749351119.1878052,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,
1749351378.132788,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,
1749352266.786409,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749352330.814382,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,
1749353384.906496,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,
1749355141.265609,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,
1749355518.769233,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Search Info,
1749356489.568201,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749356493.4654179,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749357803.706836,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749393243.792237,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,180.0
1749393503.679196,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,600.0
1749394118.091306,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749394119.481238,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749394130.025502,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749394132.723521,facebook,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749395615.307239,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,900.0
1749396538.844003,tikTok,America/Los_Angeles,True,openedApp,breathingExercise,1.5,Entertainment,900.0
1749397956.441473,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Bored,600.0
