interventionType,timestamp,resolution,interventionDuration,isReIntervention,timezone,app,purpose
breathingExercise,1752691723.2383199,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752692691.076007,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752692848.369987,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752693127.046114,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752693342.950489,openedApp,1.5,False,Asia/Tehran,instagram,Post something
breathingExercise,1752693568.176399,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752693722.0355248,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752694198.739825,openedApp,1.5,False,Asia/Tehran,instagram,Entertainment
breathingExercise,1752694841.046284,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752695117.7987208,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752695579.0520701,openedApp,1.5,False,Asia/Tehran,instagram,Post something
breathingExercise,1752695753.044796,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752695828.702441,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752696164.236135,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752696247.89259,openedApp,1.5,False,Asia/Tehran,instagram,Post something
breathingExercise,1752696407.5873342,openedApp,1.5,False,Asia/Tehran,instagram,Post something
breathingExercise,1752696720.708942,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752696920.788866,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752696934.821673,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752696953.997501,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752697005.693104,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752697025.822525,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752697288.768316,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752697389.822509,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752697441.828367,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752698259.275625,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752698285.843427,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752698345.959878,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752698617.6960912,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752698689.320334,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752698740.2225518,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752718769.709731,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752718956.8834891,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752720550.6029859,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752732388.629797,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752732650.646185,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752733575.778364,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752735689.1670299,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752735717.5383,openedApp,1.5,False,Asia/Tehran,instagram,Search Info
