timezone,app,isReIntervention,timestamp,resolution,interventionDuration,interventionType
Asia/Tehran,instagram,False,1752643932.946218,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752644905.04677,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752645866.868876,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752649493.769336,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752654490.4554229,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752654736.784956,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752663013.910589,openedApp,,
Asia/Tehran,instagram,False,1752663133.9105902,closedApp,,
Asia/Tehran,instagram,False,1752663133.9105902,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752665326.974329,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752670139.399818,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752671408.2504358,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752674915.469201,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752676505.616331,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752680680.795968,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752690437.294886,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752695880.093092,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752697959.651527,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752699745.380999,openedApp,,
Asia/Tehran,instagram,False,1752699865.381,closedApp,,
Asia/Tehran,instagram,False,1752699865.381,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752699876.964488,openedApp,,
Asia/Tehran,instagram,False,1752699996.964489,closedApp,,
Asia/Tehran,instagram,False,1752699996.964489,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752700174.255289,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752701530.592537,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752703511.4897861,openedApp,,
Asia/Tehran,instagram,False,1752703631.4897861,closedApp,,
Asia/Tehran,instagram,False,1752703631.4897861,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752703732.317295,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752705291.608448,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752707572.2300801,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752709021.2623038,openedApp,,
Asia/Tehran,instagram,False,1752709141.2623038,closedApp,,
Asia/Tehran,instagram,False,1752709141.2623038,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752731661.4387841,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752733050.94141,openedApp,,
Asia/Tehran,instagram,False,1752733170.94141,closedApp,,
Asia/Tehran,instagram,False,1752733170.94141,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752734050.835987,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752739273.6706672,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752746749.80521,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752748460.689709,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752750216.045064,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752751930.4359632,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752757909.743367,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752759910.103982,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752786073.310457,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752787943.420964,dismissedAppOpening,1.5,breathingExercise
Asia/Tehran,instagram,False,1752787955.861322,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752823654.4104052,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752823931.821203,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752828632.493979,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752831129.63196,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752834602.990474,openedApp,,
Asia/Tehran,instagram,False,1752834722.9904752,closedApp,,
Asia/Tehran,instagram,False,1752834722.9904752,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752834728.814009,openedApp,,
Asia/Tehran,instagram,False,1752834848.814009,closedApp,,
Asia/Tehran,instagram,False,1752834848.814009,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752836905.093299,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752840400.051264,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752842744.0318022,dismissedAppOpening,1.5,breathingExercise
Asia/Tehran,instagram,False,1752849873.234771,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752851647.046097,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752861225.321207,dismissedAppOpening,1.5,breathingExercise
Asia/Tehran,instagram,False,1752861238.551836,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752864020.425232,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752868735.554984,openedApp,,
Asia/Tehran,instagram,False,1752868855.554985,closedApp,,
Asia/Tehran,instagram,False,1752868855.554985,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752868881.1666431,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752876706.561913,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752877932.07773,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752923721.531695,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752935860.936054,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752937097.271014,openedApp,,
Asia/Tehran,instagram,False,1752937217.2710152,closedApp,,
Asia/Tehran,instagram,False,1752937217.2710152,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752937345.378413,dismissedAppOpening,1.5,breathingExercise
Asia/Tehran,instagram,False,1752939297.4549398,openedApp,,
Asia/Tehran,instagram,False,1752939417.4549398,closedApp,,
Asia/Tehran,instagram,False,1752939417.454941,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752941816.061957,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752943344.937049,dismissedAppOpening,1.5,breathingExercise
Asia/Tehran,instagram,False,1752943467.240972,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752952015.461835,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752953585.076966,openedApp,1.5,breathingExercise
