timestamp,interventionType,resolution,interventionDuration,app,timezone,isReIntervention
1751578817.258584,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751581918.819868,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751581922.06406,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751592091.989053,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751598044.005064,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751598201.000267,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751598284.424419,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751599659.738923,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751599686.570407,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751637753.066953,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751639712.155746,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751641697.311579,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751651423.7476711,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751652915.5997481,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751667494.410733,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751675435.354961,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751679656.6118689,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751681092.026459,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751681341.864826,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751695763.287444,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751723862.492271,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751723893.641808,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751736733.847578,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751736770.9215698,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751739968.1399379,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751739980.724035,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751745317.90105,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751745462.587484,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751761253.43186,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751761746.328882,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751781172.916893,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751781564.7846332,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751782230.679908,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751811000.020597,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751813700.016289,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751822030.163947,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751830455.006068,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751836053.4338288,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751836353.383981,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751838979.107327,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751839741.5567,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751842875.329836,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751844891.8246732,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751845246.699504,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751846162.191319,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751854685.45112,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751855562.8709931,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751895091.127236,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751900623.775559,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751902954.086168,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751904828.510778,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751905904.03988,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751912609.992467,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751919826.119884,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751927507.4065208,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751932308.56158,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751932963.977062,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751935801.236357,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751935842.977137,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751942385.5705009,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751948772.776052,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1751985162.797361,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1751989074.5006151,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752008616.526272,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752014138.896044,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752037916.3365688,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752038358.071682,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752039779.8527188,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752039809.01925,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752076917.081572,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752081574.090241,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752082773.709132,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752086225.061924,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752086403.9160151,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752087019.890501,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752088743.499343,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752090222.104553,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752090849.388177,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752090867.930709,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752094000.627657,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752094870.196187,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752100320.927217,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752102164.346066,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752102355.791918,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752102454.215852,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752105241.2863588,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752105909.245658,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752105927.763802,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752111811.646552,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752155845.262385,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752161119.210806,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752165725.199271,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752170224.422194,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752174159.319538,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752176634.733986,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752181800.5574,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752185541.682939,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752188829.922371,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752191623.339508,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752191953.083354,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752193248.835315,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752198346.894028,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752211658.8818321,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752211707.785468,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752241337.550705,breathingExercise,dismissedAppOpening,6.0,instagram,America/Bogota,False
1752244931.222269,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
1752252598.287215,breathingExercise,openedApp,6.0,instagram,America/Bogota,False
