timezone,app,isReIntervention,interventionDuration,resolution,interventionType,timestamp
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750585847.580605
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750615608.777534
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750625354.9009151
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750631554.803565
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750667031.618596
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750682021.347103
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750685092.6699982
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750687416.226326
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750687555.542385
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750687892.062755
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750691530.661335
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1750692889.979313
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750697676.575865
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750710093.286417
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750765230.860564
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750782623.2973409
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750782698.867848
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750795864.60681
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1750796280.0884461
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750802279.960946
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750851902.545685
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750852094.92284
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750855801.047519
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1750856806.9155111
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750868438.750876
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750882976.2877278
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750883504.653857
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750944271.145633
