resolution,timestamp,isReIntervention,app,timezone,interventionType,interventionDuration
openedApp,1750766234.2713451,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750767022.31911,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750767027.342054,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750767029.200663,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750767031.895831,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750767034.365168,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750768458.460248,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750769697.9119968,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750773200.140679,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750773287.6043348,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750774753.929322,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750775029.16188,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750775383.796136,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750775939.292965,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750776445.305132,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750777145.8053,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750778267.0946078,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750779620.469506,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750782106.042994,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750782252.984305,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750782813.195472,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750783422.7503,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750784029.0355392,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750787837.837251,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750788154.1602268,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750788784.04282,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750789160.916374,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750789259.599138,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750797942.25955,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750799154.651791,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750799324.052826,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750830829.524541,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750830881.7991982,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750833285.032343,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750835438.1678538,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750835444.407864,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750837654.601513,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750837810.445894,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750840295.055517,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750840300.898937,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750840602.604051,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750842832.3245301,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750843318.294039,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750843571.8071651,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750843688.762866,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750845354.125813,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750847691.6921148,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750847818.609322,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750848417.501896,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750850276.232705,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750851136.63723,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750853499.344687,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750853635.246603,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750856270.9957461,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750857556.049631,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750858795.59371,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750859627.402616,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750863137.289676,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750863156.4767919,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750869404.337842,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750869474.013402,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750869533.395036,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750870020.803647,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750870479.712861,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750871597.409908,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750872010.363709,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750872505.4247441,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750873196.4839501,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750874086.522976,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750874709.586341,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750875139.754143,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750875928.486809,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750877700.574967,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750877924.347199,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750878091.026229,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750878339.6259642,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750879797.3723068,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750881764.9394689,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750882617.887125,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750934729.384087,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750942856.645896,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750943467.926683,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750946244.652248,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750946803.811094,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750946884.733714,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750947241.686979,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750951554.5487661,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750955935.162548,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750956328.625197,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750956607.019837,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750957156.312118,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750957161.475195,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750957621.516058,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750957900.616074,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750958035.368022,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750958160.953049,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750958177.667484,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750958328.248201,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750959419.460308,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750961375.108679,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750966480.130938,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750966950.528997,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750972007.757248,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750974263.997541,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750975649.1505818,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750975837.6342568,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750976496.1899881,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751001639.4962811,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751002030.703888,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751002508.761424,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751004616.290433,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751005026.112743,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1751006026.6942282,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751006033.1295938,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751008117.157061,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751009567.573413,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751010529.097657,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751012712.603146,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751014366.484456,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751015722.477988,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751015815.929553,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751015930.47854,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751016398.2212272,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751016560.390521,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1751016666.624947,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751016814.44296,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751017397.640874,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751018587.6269789,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751018879.006849,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751018915.748135,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751024033.540708,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751024172.74348,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751024289.025432,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751025457.3781772,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751025485.636075,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1751025883.836887,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751025891.469866,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751026373.8556728,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751027907.781785,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751028257.809249,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751028947.952999,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751030050.221181,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751030133.231797,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751030250.160695,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751032287.114409,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751035840.02864,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751036396.738387,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751037979.356756,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751038255.58795,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751038756.105447,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751040777.768614,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751041008.041652,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751041215.923454,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751041237.139271,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751041470.571003,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751041580.6913671,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751041612.507625,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751041705.8061008,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751042148.9978452,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751042489.5084882,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751042549.2935262,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751042649.2301621,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751042768.973095,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751042880.1623611,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751043044.289336,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751043182.886028,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751043302.1411572,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751043471.660788,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1751043703.891087,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751043909.8240051,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751044822.538804,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751044919.7386088,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751045089.856139,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751046360.09181,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751048751.041666,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751048891.52871,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751049423.272562,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751050334.723575,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751050573.260088,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751051129.443633,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751051440.2238379,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751051484.261481,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751051554.3728318,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751051591.552099,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1751051635.756784,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1751052156.920474,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751052163.5846891,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751052185.671144,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751052371.539104,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751052924.553478,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1751053402.797542,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751053410.125498,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751059381.633471,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751062643.776212,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751062986.78443,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751077842.439553,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751089474.9042768,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751090990.3675761,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751091996.200659,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751093584.2386909,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751098749.636847,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751099230.81533,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751099478.746091,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751100920.003247,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751101257.709399,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751101503.381084,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751105737.876478,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751106330.223017,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751106416.858951,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751106529.630124,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751107621.5969548,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751107852.2900062,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751108206.893289,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751108437.562045,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751109610.3007622,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751116809.194926,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751120381.819757,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751120434.901606,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751121986.343976,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751122783.409385,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751124237.212916,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751125600.563005,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751127473.383926,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751128098.0841842,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751128160.221367,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751128191.4068189,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751130802.893532,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751131632.032368,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751131660.5052009,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751131847.8231921,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1751133047.1591392,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751133432.009239,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751133648.100302,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751133752.8474941,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751133792.6083732,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751134728.2985759,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751135113.307245,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751135445.236277,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751138239.658513,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751138441.785502,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751156803.5640612,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751160115.1255841,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751160374.477178,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751161833.47125,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751164521.668518,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751164629.6404471,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751164677.5328531,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751165587.6329908,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751165791.1103048,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751166899.71243,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751167271.9224792,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751169991.811487,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751172125.149545,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1751177157.8983111,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751177164.758559,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751180305.835674,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751180499.625379,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751181614.499209,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751181793.39598,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751182652.224958,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751184091.407817,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751206914.682248,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751207740.573958,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751207981.5486488,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751209980.833276,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1751210029.2617989,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751211210.251396,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751214412.580071,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751215738.64537,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751216456.542412,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751217568.8214989,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751217694.868021,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751219195.410524,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751220160.752503,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751221758.7406502,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751222333.551056,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751222877.823519,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1751224816.992344,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751226334.3816,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751226742.281455,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751227592.333879,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751267211.03563,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751272843.735794,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751273932.804514,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751274280.5316648,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751276625.9352999,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751277004.784349,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751278489.07689,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751279053.8314419,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1751281424.361733,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1751282125.450037,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751282132.398508,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751294930.6647801,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751295745.046896,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751296219.950711,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751296312.742598,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751297782.502016,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1751297990.7749228,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751298058.1805801,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751298115.630265,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751298161.141964,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751298254.130313,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751299518.3891091,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1751300073.46051,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751300104.456935,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751300239.610074,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751300407.515952,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1751301012.683461,False,instagram,Asia/Kolkata,breathingExercise,1.5
