timezone,isReIntervention,resolution,timestamp,app
America/New_York,False,closedApp,1750651080.323766,safari
America/New_York,False,closedApp,1750651107.451185,safari
America/New_York,False,closedApp,1750651123.168404,safari
America/New_York,False,closedApp,1750651187.778734,safari
America/New_York,False,closedApp,1750652166.0962691,safari
America/New_York,False,closedApp,1750652206.564289,safari
America/New_York,False,closedApp,1750682538.950982,safari
America/New_York,False,closedApp,1750822239.123478,chrome
America/New_York,False,closedApp,1750822645.679115,chrome
America/New_York,False,closedApp,1750822656.012208,chrome
America/New_York,False,closedApp,1750823235.586359,chrome
America/New_York,False,closedApp,1750823322.836494,chrome
America/New_York,False,closedApp,1750853322.979181,chrome
America/New_York,False,closedApp,1750788729.767428,safari
America/New_York,False,closedApp,1750788801.2663121,safari
America/New_York,False,closedApp,1750788916.192844,safari
America/New_York,False,closedApp,1750789034.095549,safari
America/New_York,False,closedApp,1750822234.834979,safari
America/New_York,False,closedApp,1750853414.3885012,chrome
America/New_York,False,closedApp,1750854031.9481711,chrome
America/New_York,False,closedApp,1750854920.671062,chrome
America/New_York,False,closedApp,1750855040.733374,chrome
America/New_York,False,closedApp,1750992672.6835508,chrome
America/New_York,False,closedApp,1750992683.1474319,chrome
America/New_York,False,closedApp,1750992731.791428,chrome
America/New_York,False,closedApp,1750993112.74585,chrome
America/New_York,False,closedApp,1750996100.3638391,chrome
America/New_York,False,closedApp,1750855170.494492,safari
America/New_York,False,closedApp,1750874920.338396,safari
America/New_York,False,closedApp,1750874985.502651,safari
America/New_York,False,closedApp,1750905017.405369,safari
America/New_York,False,closedApp,1750940125.52807,safari
America/New_York,False,closedApp,1751159199.4120421,safari
America/New_York,False,closedApp,1751211510.801626,safari
