resolution,isReIntervention,timeIntervalUntilReIntervention,timezone,purpose,timestamp,app,interventionDuration,interventionType
openedApp,False,,Europe/Madrid,Escape / Avoid,1753021448.716466,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753021796.826679,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Entertainment,1753022737.784127,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753022761.3954592,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Bored,1753022777.487352,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753022794.898401,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753024197.8930202,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Can’t sleep,1753024439.338577,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Entertainment,1753028770.2855859,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753030049.937599,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753030136.847732,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753031341.420586,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753033705.0500798,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Entertainment,1753034626.773252,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753036593.110725,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753037585.075014,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753038407.003968,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Bored,1753039274.104496,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753041035.875997,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753047479.689358,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753048826.106885,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753048847.9475741,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753050255.922495,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753080689.761922,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753080944.816303,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753082320.403672,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753082338.060306,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753085967.774831,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753086642.827362,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753091424.9462829,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753093956.179709,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753095196.996942,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753096884.675159,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753099288.833936,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753115241.143117,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753122251.208169,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753123285.3193989,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753123646.45605,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753124926.465355,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753124928.866818,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753126752.8736491,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753135440.666394,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753135514.342001,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753170659.9051719,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753171001.9886951,instagram,6.0,breathingExercise
openedApp,False,300.0,Europe/Madrid,Escape / Avoid,1753171294.6104279,tikTok,6.0,breathingExercise
openedApp,False,300.0,Europe/Madrid,Escape / Avoid,1753171594.0695581,tikTok,6.0,breathingExercise
openedApp,False,300.0,Europe/Madrid,Bored,1753174257.055959,tikTok,6.0,breathingExercise
openedApp,False,300.0,Europe/Madrid,Escape / Avoid,1753174627.502034,tikTok,6.0,breathingExercise
openedApp,False,240.0,Europe/Madrid,Escape / Avoid,1753174691.0286632,tikTok,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Bored,1753174972.298327,tikTok,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Bored,1753177330.881085,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753177769.923018,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753177917.282527,tikTok,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Message,1753181901.390063,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Bored,1753183113.337277,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753183388.813134,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Bored,1753183833.879908,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753184480.770802,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753184899.940074,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753185443.642302,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Bored,1753185700.524269,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Message,1753186113.687783,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753186359.0717258,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753186586.269126,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753187707.9796638,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753188322.1670818,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1753205735.372019,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Message,1753206752.8053389,instagram,6.0,breathingExercise
