timezone,timestamp,interventionType,app,resolution,interventionDuration,isReIntervention,timeIntervalUntilReIntervention,purpose
America/Argentina/Buenos_Aires,1751167278.317481,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751167584.022956,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751173508.519841,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751217471.458239,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751218131.643925,breathingExercise,instagram,openedApp,1.5,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751218431.750694,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751221161.113258,breathingExercise,instagram,openedApp,1.5,False,120.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751221287.84342,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751309197.808173,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751309399.354687,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751313508.627637,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751332310.819672,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751335760.947397,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751338958.269444,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751408966.3556461,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751423179.298168,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751423375.564014,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751456497.937015,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751459866.708846,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751460178.245451,breathingExercise,instagram,openedApp,1.5,True,60.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751476004.439733,breathingExercise,instagram,openedApp,1.5,False,60.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751477855.387672,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751478029.885951,breathingExercise,instagram,openedApp,1.5,False,120.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751478161.518287,breathingExercise,instagram,openedApp,1.5,True,180.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751491369.420164,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751491486.258103,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751491741.233838,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751493734.356803,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
