timestamp,interventionDuration,interventionType,timezone,resolution,timeIntervalUntilReIntervention,app,isReIntervention,purpose
1753079946.140998,6.0,askForTimeLimit,Europe/Helsinki,openedApp,900.0,tikTok,False,
1753100298.661341,6.0,askForTimeLimit,Europe/Helsinki,openedApp,660.0,tikTok,False,
1753121073.3092608,6.0,askForTimeLimit,Europe/Helsinki,openedApp,960.0,tikTok,False,
1753121090.468653,6.0,askForTimeLimit,Europe/Helsinki,openedApp,1080.0,tikTok,False,
1753191000.636742,6.0,askForTimeLimit,Europe/Helsinki,openedApp,540.0,tikTok,False,
1753191572.918088,6.0,breathingExercise,Europe/Helsinki,openedApp,720.0,tikTok,False,Waiting
1753192237.775173,6.0,askForTimeLimit,Europe/Helsinki,openedApp,720.0,tikTok,False,
1753207600.413159,6.0,askForTimeLimit,Europe/Helsinki,openedApp,900.0,tikTok,False,
1753215324.9666572,6.0,askForTimeLimit,Europe/Helsinki,openedApp,2700.0,tikTok,False,
1753215684.4470859,6.0,askForTimeLimit,Europe/Helsinki,openedApp,2280.0,tikTok,False,
1753253906.0324469,6.0,askForTimeLimit,Europe/Helsinki,openedApp,1740.0,tikTok,False,
1753340080.683279,6.0,askForTimeLimit,Europe/Helsinki,openedApp,1680.0,tikTok,False,
1753372073.691051,6.0,askForTimeLimit,Europe/Helsinki,openedApp,720.0,tikTok,False,
1753419574.3361669,6.0,askForTimeLimit,Europe/Helsinki,openedApp,480.0,tikTok,False,
1753626979.838498,6.0,askForTimeLimit,Europe/Helsinki,openedApp,1800.0,tikTok,False,
1753872012.7676601,6.0,askForTimeLimit,Europe/Helsinki,openedApp,600.0,tikTok,False,
1753895612.971775,6.0,askForTimeLimit,Europe/Helsinki,openedApp,600.0,tikTok,False,
1753904757.944931,6.0,askForTimeLimit,Europe/Helsinki,openedApp,600.0,tikTok,False,
1753906042.416799,6.0,askForTimeLimit,Europe/Helsinki,openedApp,300.0,tikTok,False,
1754057692.397235,6.0,askForTimeLimit,Europe/Helsinki,openedApp,900.0,tikTok,False,
1754063017.820528,6.0,askForTimeLimit,Europe/Helsinki,openedApp,600.0,tikTok,False,
1754064802.836726,6.0,askForTimeLimit,Europe/Helsinki,openedApp,1800.0,tikTok,False,
1754065328.0549421,6.0,askForTimeLimit,Europe/Helsinki,openedApp,600.0,tikTok,False,
1754133199.130225,6.0,askForTimeLimit,Europe/Helsinki,openedApp,1200.0,tikTok,False,
1754159569.7213612,6.0,askForTimeLimit,Europe/Helsinki,openedApp,540.0,tikTok,False,
1754217879.2523499,6.0,askForTimeLimit,Europe/Helsinki,openedApp,60.0,tikTok,False,
1754276459.121233,6.0,askForTimeLimit,Europe/Helsinki,openedApp,900.0,tikTok,False,
1754277394.899174,6.0,breathingExercise,Europe/Helsinki,openedApp,1800.0,tikTok,True,Waiting
1754279218.709471,6.0,breathingExercise,Europe/Helsinki,openedApp,480.0,tikTok,True,Waiting
