app,isReIntervention,purpose,timestamp,timezone,resolution,interventionType,interventionDuration,timeIntervalUntilReIntervention
google,False,,1751266990.7926369,Asia/Kolkata,openedApp,askForTimeLimit,1.5,480.0
google,False,,1751271429.2009149,Asia/Kolkata,openedApp,askForTimeLimit,1.5,900.0
google,False,,1751273223.158636,Asia/Kolkata,dismissedAppOpening,askForTimeLimit,1.5,
google,False,Search Info,1751273268.020592,Asia/Kolkata,openedApp,breathingExercise,1.5,600.0
google,False,Bored,1751273417.315237,Asia/Kolkata,openedApp,breathingExercise,1.5,420.0
google,True,,1751273863.703827,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Bored,1751273890.3765101,Asia/Kolkata,openedApp,breathingExercise,1.5,1320.0
google,False,Bored,1751274004.937367,Asia/Kolkata,openedApp,breathingExercise,1.5,1140.0
google,False,Bored,1751274833.817772,Asia/Kolkata,openedApp,breathingExercise,1.5,600.0
google,False,,1751275491.009939,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Bored,1751275555.632211,Asia/Kolkata,openedApp,breathingExercise,1.5,900.0
google,False,Bored,1751275660.146599,Asia/Kolkata,openedApp,breathingExercise,1.5,780.0
google,False,,1751276592.5782762,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Bored,1751276604.527103,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,True,,1751276707.080272,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751277043.3746948,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Entertainment,1751278635.794073,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751284017.977875,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751284960.3880029,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751285508.342123,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751285682.641626,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751285743.77941,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751285753.215186,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751285817.767469,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Stalk crush,1751289584.793155,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Toilet,1751289890.3610048,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Toilet,1751289913.421704,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Toilet,1751289927.400755,Asia/Kolkata,openedApp,breathingExercise,1.5,300.0
google,False,,1751289934.432941,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751289942.127997,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,Toilet,1751289952.292671,Asia/Kolkata,openedApp,breathingExercise,1.5,300.0
google,False,,1751289957.721853,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751289968.685646,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751289980.966001,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,,1751289985.194221,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Toilet,1751290006.275471,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Toilet,1751290019.021123,Asia/Kolkata,openedApp,breathingExercise,1.5,300.0
google,False,,1751290023.508466,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751290028.6143122,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751290032.821673,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,,1751290039.797163,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751290045.87656,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Toilet,1751290055.14074,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751291713.1246529,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751291723.175997,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751296240.894733,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Toilet,1751296730.048293,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Relax,1751299236.895745,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Can’t sleep,1751303616.3708801,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751303793.8917232,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751303869.935752,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751330249.571614,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Entertainment,1751330568.0778341,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751331193.388308,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751331202.966051,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751337352.486454,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751338134.079876,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,Message,1751338154.401842,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751338158.3075252,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751338159.522922,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Entertainment,1751340863.727407,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Escape / Avoid,1751340885.554819,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751340887.059957,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,Can’t sleep,1751340951.060608,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Search Info,1751342077.605633,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751348976.7603579,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Stalk crush,1751355468.666224,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751355694.53666,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751356327.9174252,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Toilet,1751357776.588883,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751360896.260333,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751363160.725033,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751363373.121803,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751363925.580097,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751365600.013586,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751365818.648335,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751366077.866286,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751366086.943624,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751366387.139149,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751367081.457977,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751370305.8559399,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751370937.852206,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751371133.116373,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751371163.841068,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751371240.339014,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751371366.059793,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751376307.150749,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751376522.552707,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751377639.002407,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751379937.242683,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751380406.8698921,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751380682.633142,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751387304.098007,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751387753.6750011,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751388854.821625,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751388913.906402,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751390722.123997,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751390804.374755,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751392779.4018831,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751418185.435968,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751424882.589062,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751424891.861793,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751425347.76234,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751426043.138616,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751428379.56458,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751432857.4138842,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751432986.802168,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751433048.54631,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Bored,1751433127.408259,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751434527.306991,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751439040.391385,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751439307.6818318,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751439329.2934918,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751440374.48472,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751445651.549574,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751446895.760491,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751447017.777703,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751447096.4184299,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751447118.164814,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751447295.740511,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751447766.401332,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751447766.81981,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751448330.587481,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751449711.839594,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751452099.608865,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751456015.639823,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751458067.813127,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751461880.325598,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751462336.943986,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751463158.313968,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751463269.804102,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751463321.781043,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751463605.345868,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751476672.206437,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751477230.0729651,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751505769.581602,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751508874.79314,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751509060.895938,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751509183.1591768,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751509370.355564,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751509621.158115,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751509885.806592,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751510032.804363,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751510388.622402,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751510702.922555,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751513866.452252,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,,1751515217.7134,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,Message,1751515228.595677,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751517451.167801,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751517507.2229428,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751517627.782289,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751519008.49472,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751519899.502023,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751519916.547168,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751520313.64499,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751521842.035912,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751525640.039115,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751525928.992037,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,Message,1751527884.237154,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751529619.862606,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751530625.061821,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,,1751530893.490625,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751532083.440676,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751532567.880608,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751534509.308604,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751534513.865232,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751534516.656355,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751534519.104723,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751534522.141432,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751534525.2619529,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751534533.682698,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751534550.40518,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751535785.0481582,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751536203.55083,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751537019.011259,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,,1751537368.468977,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751538407.849135,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751538448.8161302,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751538470.924418,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751538528.617309,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751538954.789054,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751547776.8426142,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751548897.528809,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751548944.196539,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751548985.44699,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751549463.487585,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751549471.72891,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751550109.903099,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751551426.137442,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751555249.5931082,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751560367.067677,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751560513.9530149,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751560521.415354,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751560777.922823,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751560927.7704391,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751561635.5882611,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751562123.0959082,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751562721.665525,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,Message,1751562742.330414,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,,1751564244.901891,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,Message,1751564252.8229508,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751598592.181333,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751607337.6563191,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751607826.914967,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751609854.595684,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751610399.4915318,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751610461.0654368,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751610471.132858,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751611531.310375,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751614658.413867,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751614976.204001,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751619289.800494,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751620733.308229,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751620861.912617,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751624802.0072289,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751627366.45441,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751633286.6437411,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751634659.701237,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751634701.128768,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751643376.524342,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751643830.609657,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751649046.4666681,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751649056.143317,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751688750.8957748,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751692860.087599,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751693838.0214062,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751694573.404739,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751695033.5422149,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751695467.9590201,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751698386.443095,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751698643.58707,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751699387.002234,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751699494.6244721,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751699502.911768,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751700735.547353,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751701379.027429,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751701435.142436,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,,1751702018.385808,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751702146.969394,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751702286.49126,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751703232.367364,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751710682.096318,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751716957.639287,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751718485.006861,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751718496.6473541,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,Message,1751718505.7122889,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751718707.060079,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751719221.672244,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751722894.5311499,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,,1751722903.371418,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751727067.5077372,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751727150.3249059,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751730353.9855862,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751733310.8392072,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751733659.203388,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751768813.928308,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751772372.08129,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751773083.385206,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751777511.5026898,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751777517.79327,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751778333.5820708,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751781629.907897,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751781904.6139379,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751792858.533839,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751795396.9637651,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751796382.188618,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751796413.864424,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751810860.384031,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,Message,1751811176.492601,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751811296.455011,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751811362.075688,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751811811.000479,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751811883.498843,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751812022.90138,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751812115.7241201,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751812213.945559,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751812863.155302,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751814630.1765351,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751814672.602421,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751814780.396305,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751815642.994142,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751819907.673727,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,,1751859007.958393,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,Message,1751859013.756024,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751861182.431293,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,,1751864156.2066622,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751869053.949034,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751872622.9307652,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751878676.179573,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,Message,1751880111.8627229,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,Message,1751881138.884561,Asia/Kolkata,openedApp,breathingExercise,1.5,
