app,timestamp,timezone,isReIntervention,resolution,interventionDuration,interventionType
facebook,1750234727.375016,Europe/London,False,closedApp,,
facebook,1750234727.375016,Europe/London,False,dismissedAppOpening,,
instagram,1750312746.760505,Europe/London,False,openedApp,,
instagram,1750312866.760505,Europe/London,False,closedApp,,
instagram,1750312866.760505,Europe/London,False,dismissedAppOpening,,
instagram,1750314517.760153,Europe/London,False,openedApp,1.5,breathingExercise
instagram,1750316853.757216,Europe/London,False,openedApp,,
instagram,1750316973.757217,Europe/London,False,closedApp,,
instagram,1750316973.757217,Europe/London,False,dismissedAppOpening,,
instagram,1750342066.6446838,Europe/London,False,openedApp,,
instagram,1750342186.644685,Europe/London,False,closedApp,,
instagram,1750342186.644685,Europe/London,False,dismissedAppOpening,,
instagram,1750347324.259723,Europe/London,False,openedApp,,
instagram,1750347444.2597241,Europe/London,False,closedApp,,
instagram,1750347444.2597241,Europe/London,False,dismissedAppOpening,,
instagram,1750357937.7783089,Europe/London,False,openedApp,,
instagram,1750358057.7783089,Europe/London,False,closedApp,,
instagram,1750358057.7783089,Europe/London,False,dismissedAppOpening,,
instagram,1750366904.9159942,Europe/London,False,openedApp,,
instagram,1750367024.9159942,Europe/London,False,closedApp,,
instagram,1750367024.9159942,Europe/London,False,dismissedAppOpening,,
instagram,1750445380.0886788,Europe/London,False,openedApp,,
instagram,1750445500.0886788,Europe/London,False,closedApp,,
instagram,1750445500.0886788,Europe/London,False,dismissedAppOpening,,
instagram,1750450713.9581308,Europe/London,False,openedApp,1.5,breathingExercise
instagram,1750450799.623417,Europe/London,False,openedApp,1.5,breathingExercise
facebook,1750455278.112984,Europe/London,False,openedApp,,
facebook,1750455338.112984,Europe/London,False,closedApp,,
facebook,1750455338.112984,Europe/London,False,dismissedAppOpening,,
facebook,1750485744.10357,Europe/London,False,openedApp,,
facebook,1750485804.10357,Europe/London,False,closedApp,,
facebook,1750485804.10357,Europe/London,False,dismissedAppOpening,,
facebook,1750491277.0672421,Europe/London,False,openedApp,,
facebook,1750491337.0672421,Europe/London,False,closedApp,,
facebook,1750491337.0672421,Europe/London,False,dismissedAppOpening,,
facebook,1750535877.4438639,Europe/London,False,openedApp,,
facebook,1750535937.4438639,Europe/London,False,closedApp,,
facebook,1750535937.4438639,Europe/London,False,dismissedAppOpening,,
facebook,1750537688.695689,Europe/London,False,openedApp,1.5,breathingExercise
facebook,1750538424.417505,Europe/London,False,openedApp,1.5,breathingExercise
facebook,1750568928.308584,Europe/London,False,openedApp,1.5,breathingExercise
facebook,1750568996.744594,Europe/London,False,openedApp,1.5,breathingExercise
facebook,1750575140.562921,Europe/London,False,openedApp,1.5,breathingExercise
instagram,1750613521.67663,Europe/London,False,openedApp,1.5,breathingExercise
instagram,1750623738.206764,Europe/London,False,openedApp,,
instagram,1750623858.206764,Europe/London,False,closedApp,,
instagram,1750623858.206764,Europe/London,False,dismissedAppOpening,,
instagram,1750624531.310071,Europe/London,False,dismissedAppOpening,1.5,breathingExercise
instagram,1750624545.159614,Europe/London,False,openedApp,1.5,breathingExercise
instagram,1750624656.817984,Europe/London,False,openedApp,1.5,breathingExercise
instagram,1750625198.931954,Europe/London,False,openedApp,1.5,breathingExercise
instagram,1750628192.107389,Europe/London,False,openedApp,1.5,breathingExercise
instagram,1750628273.2150521,Europe/London,False,openedApp,1.5,breathingExercise
facebook,1750713358.519182,Europe/London,False,openedApp,1.5,breathingExercise
facebook,1750713420.160075,Europe/London,False,openedApp,1.5,breathingExercise
instagram,1750717756.230669,Europe/London,False,openedApp,,
instagram,1750717876.230669,Europe/London,False,closedApp,,
instagram,1750717876.230669,Europe/London,False,dismissedAppOpening,,
instagram,1750745721.786869,Europe/London,False,openedApp,,
instagram,1750745841.78687,Europe/London,False,closedApp,,
instagram,1750745841.78687,Europe/London,False,dismissedAppOpening,,
instagram,1750801938.211395,Europe/London,False,openedApp,1.5,breathingExercise
instagram,1750917516.4849591,Europe/London,False,openedApp,1.5,breathingExercise
instagram,1750917799.568434,Europe/London,False,openedApp,1.5,breathingExercise
