resolution,timestamp,isReIntervention,timezone,app,interventionType,interventionDuration,timeIntervalUntilReIntervention
dismissedAppOpening,1751921286.246675,False,America/Vancouver,instagram,breathingExercise,1.5,
dismissedAppOpening,1751921289.839273,False,America/Vancouver,instagram,breathingExercise,1.5,
openedApp,1751921297.842655,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1751921485.225841,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1751960037.911871,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1751960951.664792,True,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1751962114.868727,True,America/Vancouver,instagram,breathingExercise,1.5,300.0
openedApp,1752032675.998248,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752131689.0280719,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752167000.9476008,False,America/Vancouver,instagram,breathingExercise,1.5,600.0
openedApp,1752190981.194518,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
dismissedAppOpening,1752192269.2649112,False,America/Vancouver,instagram,breathingExercise,1.5,
openedApp,1752197274.833077,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752200341.1516252,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752214648.949298,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752259973.1954122,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752267197.850268,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752270266.3790622,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752299388.305435,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752300308.954952,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752300894.2871919,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752301983.12648,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752304946.340025,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752305862.0746489,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752306771.090086,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752308149.082437,False,America/Vancouver,instagram,breathingExercise,1.5,600.0
openedApp,1752368797.892868,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752369001.1479669,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752384953.8066711,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752460635.9043899,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752461623.1224608,False,America/Vancouver,instagram,breathingExercise,1.5,60.0
dismissedAppOpening,1752461696.761489,True,America/Vancouver,instagram,breathingExercise,1.5,
dismissedAppOpening,1752461732.72331,False,America/Vancouver,instagram,breathingExercise,1.5,
openedApp,1752473762.803124,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
dismissedAppOpening,1752474681.760639,False,America/Vancouver,instagram,breathingExercise,1.5,
openedApp,1752474731.712245,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
dismissedAppOpening,1752475644.3313699,False,America/Vancouver,instagram,breathingExercise,1.5,
openedApp,1752475655.0256271,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
dismissedAppOpening,1752476567.021922,False,America/Vancouver,instagram,breathingExercise,1.5,
openedApp,1752476588.083311,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
dismissedAppOpening,1752477500.3157248,False,America/Vancouver,instagram,breathingExercise,1.5,
openedApp,1752477520.055152,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
openedApp,1752607848.034581,False,America/Vancouver,instagram,breathingExercise,1.5,900.0
dismissedAppOpening,1752608444.1589088,False,America/Vancouver,instagram,breathingExercise,1.5,
openedApp,1752624913.000876,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
dismissedAppOpening,1752624973.249639,False,America/Vancouver,instagram,breathingExercise,3.0,
openedApp,1752627288.802829,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1752634250.751708,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
dismissedAppOpening,1752695001.9144669,False,America/Vancouver,instagram,breathingExercise,3.0,
openedApp,1752698920.431026,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1752700971.325333,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1752703856.7849069,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1752709417.4698482,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
dismissedAppOpening,1752710598.3304539,False,America/Vancouver,instagram,breathingExercise,3.0,
dismissedAppOpening,1752710600.645424,False,America/Vancouver,instagram,breathingExercise,3.0,
dismissedAppOpening,1752710603.884804,False,America/Vancouver,instagram,breathingExercise,3.0,
openedApp,1752717812.1631908,False,America/Vancouver,instagram,breathingExercise,3.0,120.0
openedApp,1752720258.437745,False,America/Vancouver,instagram,breathingExercise,3.0,480.0
dismissedAppOpening,1752720466.551667,False,America/Vancouver,instagram,breathingExercise,3.0,
dismissedAppOpening,1752720505.3951368,False,America/Vancouver,instagram,breathingExercise,3.0,
dismissedAppOpening,1752724921.063297,False,America/Vancouver,instagram,breathingExercise,3.0,
openedApp,1752807096.902626,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1752822651.117395,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1752823921.17141,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1752824292.405983,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1752824508.9652529,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1752825427.4980268,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1752826342.737006,False,America/Vancouver,instagram,breathingExercise,3.0,600.0
openedApp,1752850718.470142,False,America/Vancouver,instagram,breathingExercise,3.0,180.0
openedApp,1752851601.098919,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
dismissedAppOpening,1752854364.732386,False,America/Vancouver,instagram,breathingExercise,3.0,
openedApp,1752854384.534117,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1752872873.068136,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
dismissedAppOpening,1752873334.850728,False,America/Vancouver,instagram,breathingExercise,3.0,
openedApp,1752873345.728997,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1752906626.0834188,False,America/Vancouver,instagram,breathingExercise,3.0,420.0
dismissedAppOpening,1752906720.13721,False,America/Vancouver,instagram,breathingExercise,3.0,
dismissedAppOpening,1752906761.639152,False,America/Vancouver,instagram,breathingExercise,3.0,
openedApp,1752969628.160255,False,America/Vancouver,instagram,breathingExercise,3.0,540.0
openedApp,1752991116.173369,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1753069087.97059,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1753070007.814773,False,America/Vancouver,instagram,breathingExercise,3.0,360.0
dismissedAppOpening,1753071103.221006,False,America/Vancouver,instagram,breathingExercise,3.0,
dismissedAppOpening,1753071106.9764872,False,America/Vancouver,instagram,breathingExercise,3.0,
dismissedAppOpening,1753072478.612453,False,America/Vancouver,instagram,breathingExercise,3.0,
dismissedAppOpening,1753072481.513002,False,America/Vancouver,instagram,breathingExercise,3.0,
dismissedAppOpening,1753077570.2170281,False,America/Vancouver,instagram,breathingExercise,3.0,
openedApp,1753111425.665501,False,America/Vancouver,instagram,breathingExercise,3.0,420.0
openedApp,1753112732.718694,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
dismissedAppOpening,1753112733.1055589,False,America/Vancouver,instagram,breathingExercise,3.0,
openedApp,1753156690.72716,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1753210229.399493,False,America/Vancouver,instagram,breathingExercise,3.0,300.0
openedApp,1753229459.0146508,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1753244435.1580849,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1753245746.813048,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1753246127.926204,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1753247280.9696422,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
dismissedAppOpening,1753249166.312471,False,America/Vancouver,instagram,breathingExercise,3.0,
dismissedAppOpening,1753249168.272108,False,America/Vancouver,instagram,breathingExercise,3.0,
openedApp,1753318704.978074,False,America/Vancouver,instagram,breathingExercise,3.0,60.0
openedApp,1753382817.375856,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1753398970.174137,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1753403645.1423469,False,America/Vancouver,instagram,breathingExercise,3.0,660.0
dismissedAppOpening,1753406140.206229,False,America/Vancouver,instagram,breathingExercise,3.0,
openedApp,1753406152.990258,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1753407101.3346539,True,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1753456971.295824,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1753457421.895877,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1753458338.1720471,True,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1753459283.367043,True,America/Vancouver,instagram,breathingExercise,3.0,840.0
openedApp,1753459816.120829,False,America/Vancouver,instagram,breathingExercise,3.0,420.0
dismissedAppOpening,1753477005.762233,False,America/Vancouver,instagram,breathingExercise,3.0,
dismissedAppOpening,1753477008.371474,False,America/Vancouver,instagram,breathingExercise,3.0,
dismissedAppOpening,1753477036.957515,False,America/Vancouver,instagram,breathingExercise,3.0,
openedApp,1753477059.955193,False,America/Vancouver,instagram,breathingExercise,3.0,60.0
openedApp,1753503184.3081331,False,America/Vancouver,instagram,breathingExercise,3.0,60.0
dismissedAppOpening,1753548586.516447,False,America/Vancouver,instagram,breathingExercise,3.0,
openedApp,1753658400.705779,False,America/Vancouver,instagram,breathingExercise,3.0,900.0
openedApp,1753659318.248083,True,America/Vancouver,instagram,breathingExercise,3.0,900.0
dismissedAppOpening,1753867537.898685,False,America/Vancouver,instagram,breathingExercise,6.0,
openedApp,1753919256.010701,False,America/Vancouver,instagram,breathingExercise,6.0,900.0
openedApp,1753919283.132864,False,America/Vancouver,instagram,breathingExercise,6.0,900.0
openedApp,1753920393.484657,True,America/Vancouver,instagram,breathingExercise,6.0,900.0
openedApp,1753921298.728945,True,America/Vancouver,instagram,breathingExercise,6.0,900.0
openedApp,1753927870.504558,False,America/Vancouver,instagram,breathingExercise,6.0,900.0
openedApp,1753929498.9658232,True,America/Vancouver,instagram,breathingExercise,6.0,900.0
openedApp,1753935165.3088489,False,America/Vancouver,instagram,breathingExercise,6.0,900.0
openedApp,1753936086.856282,True,America/Vancouver,instagram,breathingExercise,6.0,900.0
openedApp,1753943375.481076,False,America/Vancouver,instagram,breathingExercise,6.0,900.0
openedApp,1753995557.2206101,False,America/Vancouver,instagram,breathingExercise,6.0,900.0
openedApp,1753999123.578144,False,America/Vancouver,instagram,breathingExercise,6.0,900.0
dismissedAppOpening,1753999243.1809568,False,America/Vancouver,instagram,breathingExercise,6.0,
openedApp,1753999259.5726,False,America/Vancouver,instagram,breathingExercise,6.0,900.0
dismissedAppOpening,1754017856.876204,False,America/Vancouver,instagram,breathingExercise,6.0,
dismissedAppOpening,1754054687.836127,False,America/Vancouver,instagram,breathingExercise,6.0,
openedApp,1754054709.243353,False,America/Vancouver,instagram,breathingExercise,6.0,900.0
openedApp,1754055638.684922,False,America/Vancouver,instagram,breathingExercise,6.0,900.0
openedApp,1754090631.802505,False,America/Vancouver,instagram,breathingExercise,6.0,600.0
openedApp,1754091352.1865702,False,America/Vancouver,instagram,breathingExercise,6.0,900.0
openedApp,1754097303.244751,False,America/Vancouver,instagram,breathingExercise,6.0,900.0
openedApp,1754097404.93019,False,America/Vancouver,instagram,breathingExercise,6.0,900.0
openedApp,1754107999.028429,False,America/Vancouver,instagram,breathingExercise,6.0,900.0
