interventionType,timezone,timestamp,app,resolution,isReIntervention,interventionDuration,purpose
,Europe/Berlin,1751576336.5822349,instagram,closedApp,False,,
,Europe/Berlin,1751576673.326744,instagram,closedApp,False,,
,Europe/Berlin,1751576714.352271,instagram,closedApp,False,,
,Europe/Berlin,1751576883.499452,instagram,closedApp,False,,
,Europe/Berlin,1751588461.670984,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751622812.531332,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751623159.8629122,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751623987.170991,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751642669.9655418,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751652351.833648,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751652510.281306,instagram,closedApp,False,,
,Europe/Berlin,1751654840.178252,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751655124.2601318,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751655181.018252,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751663649.441735,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751664613.692284,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751664797.682386,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751710905.370367,instagram,openedApp,False,3.0,Search Info
breathingExercise,Europe/Berlin,1751753187.1287599,instagram,dismissedAppOpening,False,3.0,
,Europe/Berlin,1751710922.196671,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751786597.750225,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751786804.7320728,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751789155.479744,instagram,openedApp,False,3.0,Search Info
breathingExercise,Europe/Berlin,1751810439.3777661,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751810539.80792,instagram,closedApp,False,,
,Europe/Berlin,1751810584.954452,instagram,closedApp,False,,
,Europe/Berlin,1751810759.444135,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751811302.869221,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751811363.991523,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751815809.367237,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751816104.427201,instagram,closedApp,False,,
,Europe/Berlin,1751816284.8507462,instagram,closedApp,False,,
,Europe/Berlin,1751816353.65007,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751817746.144625,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751818203.486989,instagram,closedApp,False,,
,Europe/Berlin,1751818329.325224,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751820427.840901,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751820492.922631,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751825704.144352,instagram,openedApp,False,3.0,Search Info
breathingExercise,Europe/Berlin,1751826163.4056392,instagram,dismissedAppOpening,False,3.0,
,Europe/Berlin,1751825721.754992,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751826167.5903049,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751837242.539974,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751837834.868016,instagram,closedApp,False,,
,Europe/Berlin,1751838344.143795,instagram,closedApp,False,,
,Europe/Berlin,1751838485.194094,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751900806.10048,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751900978.3052812,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751965626.7040029,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751965670.832268,instagram,closedApp,False,,
,Europe/Berlin,1751965762.97316,instagram,closedApp,False,,
,Europe/Berlin,1751965935.986335,instagram,closedApp,False,,
,Europe/Berlin,1751966128.794656,instagram,closedApp,False,,
,Europe/Berlin,1751966239.642733,instagram,closedApp,False,,
,Europe/Berlin,1751966955.5624561,instagram,closedApp,False,,
,Europe/Berlin,1751967371.7566,instagram,closedApp,False,,
,Europe/Berlin,1751968484.977468,instagram,closedApp,False,,
,Europe/Berlin,1751969383.783109,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751973839.2466002,instagram,openedApp,False,3.0,Message
,Europe/Berlin,1751973941.557145,instagram,closedApp,False,,
,Europe/Berlin,1751974201.78567,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751984850.065003,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751984871.380337,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751985350.336093,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751986587.379225,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751986636.8570762,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751987015.867723,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1752065237.478411,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1752065409.075855,instagram,closedApp,False,,
,Europe/Berlin,1752065730.868331,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1752157601.8293118,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1752157665.309515,instagram,closedApp,False,,
,Europe/Berlin,1752157777.610754,instagram,closedApp,False,,
,Europe/Berlin,1752157822.8175302,instagram,closedApp,False,,
,Europe/Berlin,1752157890.742773,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1752220814.7903671,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1752221057.8542972,instagram,closedApp,False,,
,Europe/Berlin,1752221164.064825,instagram,closedApp,False,,
,Europe/Berlin,1752221584.360137,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1752223289.0265079,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1752223688.245954,instagram,closedApp,False,,
,Europe/Berlin,1752224396.323442,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1752240140.6409159,instagram,openedApp,False,6.0,Search Info
breathingExercise,Europe/Berlin,1752240449.1633182,instagram,openedApp,False,6.0,Search Info
,Europe/Berlin,1752240508.726877,instagram,closedApp,False,,
