timestamp,resolution,interventionDuration,isReIntervention,timezone,app,interventionType,timeIntervalUntilReIntervention
1753212676.3360782,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753212858.201966,closedApp,,False,America/New_York,tikTok,,
1753212884.853498,closedApp,,False,America/New_York,tikTok,,
1753212947.104712,closedApp,,False,America/New_York,tikTok,,
1753270165.087532,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753273950.700846,closedApp,,False,America/New_York,tikTok,,
1753274050.538979,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753275278.222336,closedApp,,False,America/New_York,tikTok,,
1753275283.6122699,closedApp,,False,America/New_York,tikTok,,
1753288748.6660771,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753288853.3021588,closedApp,,False,America/New_York,tikTok,,
1753315524.6497312,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753315689.487098,closedApp,,False,America/New_York,tikTok,,
1753315976.476979,closedApp,,False,America/New_York,tikTok,,
1753316083.0968962,closedApp,,False,America/New_York,tikTok,,
1753316905.58252,closedApp,,False,America/New_York,tikTok,,
1753363379.119154,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753381882.512986,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753383351.663457,closedApp,,False,America/New_York,tikTok,,
1753383728.134056,closedApp,,False,America/New_York,tikTok,,
1753385028.9214392,closedApp,,False,America/New_York,tikTok,,
1753386290.104131,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753441891.655908,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,600.0
1753442374.028815,closedApp,,False,America/New_York,tikTok,,
1753478788.920061,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753479382.81983,closedApp,,False,America/New_York,tikTok,,
1753480015.760468,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753480310.059994,closedApp,,False,America/New_York,tikTok,,
1753485151.253792,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753485405.177911,closedApp,,False,America/New_York,tikTok,,
1753485794.822864,closedApp,,False,America/New_York,tikTok,,
1753486520.277007,closedApp,,False,America/New_York,tikTok,,
1753488074.8640919,closedApp,,False,America/New_York,tikTok,,
1753525691.538358,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753525987.470547,closedApp,,False,America/New_York,tikTok,,
1753526711.5013242,closedApp,,False,America/New_York,tikTok,,
1753528651.200529,closedApp,,False,America/New_York,tikTok,,
1753535001.369544,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753535788.5881162,closedApp,,False,America/New_York,tikTok,,
1753538059.210252,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753538073.3960838,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753539046.3774981,closedApp,,False,America/New_York,tikTok,,
1753566114.350131,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753568740.139865,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753614551.6780782,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753614855.923435,closedApp,,False,America/New_York,tikTok,,
1753653044.628542,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753653389.482698,closedApp,,False,America/New_York,tikTok,,
1753653966.46833,closedApp,,False,America/New_York,tikTok,,
1753657077.529468,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753658134.303292,closedApp,,False,America/New_York,tikTok,,
1753658805.776478,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753658823.083386,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753659232.97736,closedApp,,False,America/New_York,tikTok,,
1753719004.610498,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753721459.10641,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753752497.266011,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753752547.292944,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753800589.932012,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753800601.321826,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753800811.705984,closedApp,,False,America/New_York,tikTok,,
1753800953.182934,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753813291.936837,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753813892.677695,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753813954.875576,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1560.0
1753813314.9671211,closedApp,,False,America/New_York,tikTok,,
1753813804.796999,closedApp,,False,America/New_York,tikTok,,
1753813946.13521,closedApp,,False,America/New_York,tikTok,,
1753813983.140455,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753814104.3620272,closedApp,,False,America/New_York,tikTok,,
1753814172.514789,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753814194.357321,closedApp,,False,America/New_York,tikTok,,
1753814219.281163,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753814731.29211,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753814780.5774488,closedApp,,False,America/New_York,tikTok,,
1753815265.288064,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753815331.396137,closedApp,,False,America/New_York,tikTok,,
1753817263.003483,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753817321.699707,closedApp,,False,America/New_York,tikTok,,
1753817501.5949259,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753817565.53337,closedApp,,False,America/New_York,tikTok,,
1753817620.67735,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753878295.721202,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
