resolution,isReIntervention,interventionDuration,interventionType,timezone,app,timestamp
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752856063.143976
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752856147.036447
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752856713.448854
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752856772.419133
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752856975.15797
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752861398.135001
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752861582.666434
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752861790.95151
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752861847.130255
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752861879.7900429
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752862100.360997
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752899577.2510881
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752901705.413711
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752901834.458898
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752903487.242185
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752903539.039291
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752903944.032887
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752904051.552661
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752904106.210843
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752904170.13329
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752904390.028311
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752904587.170754
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752904803.100851
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752904870.980952
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752908836.516218
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752911345.180867
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752911869.223238
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752912762.307197
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752912977.552156
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752913006.241794
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752913209.759587
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752915387.6969109
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752915706.225445
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752916472.8156152
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752916938.645472
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752917039.984812
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752917351.354171
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752919323.714591
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752922692.75493
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752922974.127616
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752923599.3667111
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752923783.291064
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752923789.86588
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752923816.8838801
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752924453.692725
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752924731.72127
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752925551.585964
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752925685.566719
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752925743.8944101
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752925757.235486
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752926465.333887
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752926834.469099
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752926905.743279
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752926978.046021
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752927004.644829
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752927020.556356
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752927498.446379
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752928053.471344
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752929299.653683
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752929352.276798
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752930839.938901
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752934901.791607
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752935163.0046592
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752936007.592576
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752938539.033195
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752938661.324151
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752939438.370003
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752939879.5485811
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752941143.33904
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752943715.120023
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752943804.3627648
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752943972.378234
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752944047.415014
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752945167.732314
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752945377.130361
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752948868.046552
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752949439.312202
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752950274.673367
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752950432.7553248
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752951188.7450938
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752952263.660008
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752956144.510736
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752957531.438912
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752957741.158502
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752957872.1570969
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752959040.4786081
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752959226.396342
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752959242.19647
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752959443.170435
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752964250.351109
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752994083.700175
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752994262.952757
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752997132.411557
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752997506.270012
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752997799.6936378
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752998123.6201649
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752998331.115371
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752998444.751463
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752999018.989543
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752999061.432802
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752999883.663076
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753000264.688215
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753000396.438026
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753000533.242281
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753000655.931229
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753000770.823858
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753001195.682893
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753001453.1655579
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753001857.3089972
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753001993.457875
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753002019.271699
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753002163.794355
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753002236.323596
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753002531.128396
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753003408.3798351
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753005680.793498
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753005766.3776789
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753005904.169353
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753006164.613251
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753006189.99562
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753006260.553396
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753006297.5194201
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753013473.349904
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753013574.861901
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753013676.136462
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753014048.257897
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753014087.795846
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753014858.739399
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753015217.169486
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753017534.843813
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753024145.960793
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753026130.901324
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753032274.0502071
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753032376.197176
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753032507.98283
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753032911.752572
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753036624.98665
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753070375.428406
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753070924.5066009
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753071659.184547
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753071808.5574632
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753071810.4621801
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753072177.273181
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753072300.9087992
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753073115.921551
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753073201.045346
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753073225.4124188
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753074405.230991
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753075229.283307
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753076660.665519
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753079300.657522
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753079411.029007
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753079422.0718498
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753081325.923176
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753086207.042289
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753086230.2514849
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753086284.674271
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753087614.796592
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753097568.174007
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753097638.290814
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753097704.43261
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753098936.4626942
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753099342.701791
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753100278.062574
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753100488.504462
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753101367.2046509
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753102488.24227
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753102690.371392
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753102731.157737
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753104671.290693
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753105322.347419
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753105393.598569
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753105397.373997
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753117397.944118
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753117492.7007809
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753119093.74155
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753119127.5312781
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753119555.47966
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753119618.572973
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753119699.84168
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753153635.247151
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753155052.351358
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753155733.186369
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753156274.9628701
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753156386.335309
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753156677.406033
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753156763.256966
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753156786.6042418
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753156836.572351
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753160566.534123
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753160741.73568
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753161322.95206
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753161779.1336188
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753162159.003134
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753162268.20063
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753162754.932105
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753163813.676445
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753164038.149136
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753164063.729892
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753164222.887869
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753164341.6800508
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753164429.644477
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753167682.641714
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753167762.158989
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753167948.096977
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753168238.5673041
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753168971.3177528
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753171428.306735
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753171625.854419
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753171747.039074
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753173611.3581219
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753175795.775676
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753176211.723462
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753178707.529482
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753178962.9585261
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753180670.144511
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753181562.1326509
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753184359.307674
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753184361.560758
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753185809.132505
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753186826.7488751
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753189539.614089
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753189558.904634
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753189688.467237
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753189725.175394
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1753189816.4556708
